"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","1,515.00","1,516.00","1,533.00","1,497.00","58.37K","0.20%"
"29/09/2025","1,512.00","1,535.00","1,535.00","1,510.00","39.17K","-1.43%"
"26/09/2025","1,534.00","1,554.00","1,556.00","1,529.00","37.05K","-1.29%"
"25/09/2025","1,554.00","1,575.00","1,597.00","1,547.00","38.00K","-0.70%"
"24/09/2025","1,565.00","1,575.00","1,575.00","1,545.00","42.23K","-0.38%"
"23/09/2025","1,571.00","1,583.00","1,588.00","1,556.00","64.94K","-1.81%"
"22/09/2025","1,600.00","1,628.00","1,652.00","1,600.00","80.29K","-0.31%"
"19/09/2025","1,605.00","1,580.00","1,605.00","1,572.00","58.42K","1.39%"
"18/09/2025","1,583.00","1,590.00","1,630.00","1,575.00","67.47K","-0.25%"
"17/09/2025","1,587.00","1,591.00","1,599.00","1,578.00","58.98K","-0.25%"
"16/09/2025","1,591.00","1,554.00","1,596.00","1,544.00","85.58K","2.38%"
"15/09/2025","1,554.00","1,478.00","1,559.00","1,454.00","101.57K","5.14%"
"12/09/2025","1,478.00","1,485.00","1,495.00","1,468.00","68.43K","-0.67%"
"11/09/2025","1,488.00","1,520.00","1,527.00","1,486.00","79.61K","-2.11%"
"10/09/2025","1,520.00","1,510.00","1,546.00","1,503.00","56.08K","0.80%"
"09/09/2025","1,508.00","1,511.00","1,542.00","1,499.00","86.60K","-0.13%"
"08/09/2025","1,510.00","1,532.00","1,534.00","1,504.00","89.45K","-2.39%"
"05/09/2025","1,547.00","1,573.00","1,579.00","1,542.00","101.76K","-1.59%"
"04/09/2025","1,572.00","1,567.00","1,581.00","1,560.00","79.52K","0.32%"
"03/09/2025","1,567.00","1,595.00","1,603.00","1,556.00","93.12K","-1.76%"
"02/09/2025","1,595.00","1,662.00","1,668.00","1,569.00","132.09K","-4.03%"
"01/09/2025","1,662.00","1,677.00","1,686.00","1,659.00","53.72K","-0.30%"
"29/08/2025","1,667.00","1,645.00","1,677.00","1,642.00","79.94K","1.34%"
"28/08/2025","1,645.00","1,664.00","1,680.00","1,645.00","95.68K","-1.14%"
"27/08/2025","1,664.00","1,704.00","1,711.00","1,660.00","141.15K","-2.35%"
"26/08/2025","1,704.00","1,720.00","1,721.00","1,700.00","109.88K","-0.87%"
"25/08/2025","1,719.00","1,705.00","1,746.00","1,698.00","178.78K","1.60%"
"22/08/2025","1,692.00","1,700.00","1,705.00","1,683.00","105.70K","-0.47%"
"21/08/2025","1,700.00","1,710.00","1,718.00","1,693.00","105.91K","0.18%"
"20/08/2025","1,697.00","1,679.00","1,698.00","1,662.00","121.44K","-0.41%"
"19/08/2025","1,704.00","1,709.00","1,714.00","1,693.00","86.18K","0.18%"
"18/08/2025","1,701.00","1,748.00","1,748.00","1,690.00","145.35K","-1.62%"
"15/08/2025","1,729.00","1,695.00","1,737.00","1,690.00","90.55K","2.13%"
"14/08/2025","1,693.00","1,719.00","1,738.00","1,646.00","106.01K","-1.51%"
"13/08/2025","1,719.00","1,745.00","1,746.00","1,710.00","96.02K","-1.49%"
"12/08/2025","1,745.00","1,779.00","1,782.00","1,732.00","106.43K","-1.91%"
"11/08/2025","1,779.00","1,799.00","1,815.00","1,774.00","107.25K","0.17%"
"08/08/2025","1,776.00","1,764.00","1,832.00","1,764.00","213.34K","0.68%"
"07/08/2025","1,764.00","1,756.00","1,777.00","1,741.00","164.60K","0.57%"
"06/08/2025","1,754.00","1,720.00","1,770.00","1,713.00","187.18K","2.10%"
"05/08/2025","1,718.00","1,740.00","1,761.00","1,708.00","143.82K","-1.26%"
"04/08/2025","1,740.00","1,695.00","1,758.00","1,691.00","210.38K","2.90%"
"01/08/2025","1,691.00","1,681.00","1,723.00","1,673.00","136.16K","0.59%"
"31/07/2025","1,681.00","1,660.00","1,691.00","1,657.00","95.57K","1.27%"
"30/07/2025","1,660.00","1,668.00","1,679.00","1,646.00","98.88K","-0.48%"
"29/07/2025","1,668.00","1,692.00","1,695.00","1,666.00","70.88K","-1.30%"
"28/07/2025","1,690.00","1,720.00","1,727.00","1,682.00","100.70K","-1.52%"
"25/07/2025","1,716.00","1,724.00","1,748.00","1,710.00","139.97K","0.00%"
"24/07/2025","1,716.00","1,710.00","1,745.00","1,688.00","196.81K","0.70%"
"23/07/2025","1,704.00","1,671.00","1,759.00","1,671.00","345.82K","2.96%"
"22/07/2025","1,655.00","1,674.00","1,684.00","1,639.00","141.29K","-1.02%"
"21/07/2025","1,672.00","1,668.00","1,692.00","1,666.00","136.35K","-0.12%"
"18/07/2025","1,674.00","1,710.00","1,715.00","1,666.00","93.79K","-1.18%"
"17/07/2025","1,694.00","1,662.00","1,697.00","1,658.00","137.98K","3.74%"
"16/07/2025","1,633.00","1,702.00","1,709.00","1,617.00","159.00K","-4.05%"
"14/07/2025","1,702.00","1,715.00","1,723.00","1,687.00","102.99K","0.12%"
"11/07/2025","1,700.00","1,653.00","1,738.00","1,651.00","264.94K","4.10%"
"10/07/2025","1,633.00","1,642.00","1,655.00","1,622.00","106.64K","1.18%"
"09/07/2025","1,614.00","1,586.00","1,658.00","1,568.00","173.18K","1.77%"
"08/07/2025","1,586.00","1,688.00","1,705.00","1,566.00","218.18K","-5.82%"
"07/07/2025","1,684.00","1,770.00","1,770.00","1,682.00","137.70K","-5.23%"
"04/07/2025","1,777.00","1,795.00","1,810.00","1,760.00","76.76K","-0.67%"
"03/07/2025","1,789.00","1,860.00","1,900.00","1,770.00","207.12K","-1.32%"
"02/07/2025","1,813.00","1,759.00","1,898.00","1,735.00","314.11K","4.68%"
"01/07/2025","1,732.00","1,618.00","1,756.00","1,603.00","265.03K","7.44%"
"30/06/2025","1,612.00","1,536.00","1,628.00","1,526.00","170.77K","5.29%"
"27/06/2025","1,531.00","1,533.00","1,545.00","1,514.00","63.28K","0.13%"
"26/06/2025","1,529.00","1,550.00","1,556.00","1,510.00","78.35K","-0.20%"
"25/06/2025","1,532.00","1,571.00","1,586.00","1,531.00","125.10K","-2.48%"
"24/06/2025","1,571.00","1,547.00","1,600.00","1,501.00","300.20K","7.53%"
"23/06/2025","1,461.00","1,504.00","1,504.00","1,430.00","155.54K","-4.20%"
"20/06/2025","1,525.00","1,544.00","1,569.00","1,507.00","87.75K","-0.20%"
"19/06/2025","1,528.00","1,582.00","1,656.00","1,515.00","149.47K","-3.41%"
"18/06/2025","1,582.00","1,630.00","1,632.00","1,571.00","111.40K","-3.24%"
"17/06/2025","1,635.00","1,715.00","1,718.00","1,633.00","111.45K","-4.39%"
"16/06/2025","1,710.00","1,716.00","1,738.00","1,703.00","49.45K","-0.35%"
"13/06/2025","1,716.00","1,695.00","1,737.00","1,637.00","86.56K","-3.92%"
"12/06/2025","1,786.00","1,841.00","1,842.00","1,777.00","76.05K","-2.99%"
"11/06/2025","1,841.00","1,855.00","1,860.00","1,837.00","75.59K","-0.05%"
"10/06/2025","1,842.00","1,837.00","1,870.00","1,837.00","73.31K","0.27%"
"05/06/2025","1,837.00","1,839.00","1,879.00","1,826.00","56.15K","-0.16%"
"04/06/2025","1,840.00","1,744.00","1,890.00","1,740.00","149.09K","5.14%"
"03/06/2025","1,750.00","1,742.00","1,776.00","1,705.00","183.79K","0.40%"
"02/06/2025","1,743.00","1,777.00","1,780.00","1,720.00","90.81K","-2.79%"
"30/05/2025","1,793.00","1,805.00","1,827.00","1,776.00","93.35K","-0.66%"
"29/05/2025","1,805.00","1,880.00","1,891.00","1,805.00","106.42K","-3.53%"
"28/05/2025","1,871.00","1,946.00","1,963.00","1,871.00","112.39K","-3.95%"
"27/05/2025","1,948.00","2,060.00","2,076.00","1,942.00","195.57K","-3.33%"
"26/05/2025","2,015.00","1,980.00","2,069.00","1,945.00","206.33K","2.44%"
"23/05/2025","1,967.00","1,966.00","2,030.00","1,963.00","205.97K","0.36%"
"22/05/2025","1,960.00","1,941.00","2,085.00","1,891.00","439.30K","0.98%"
"21/05/2025","1,941.00","2,088.00","2,132.00","1,926.00","291.67K","-4.48%"
"20/05/2025","2,032.00","1,923.00","2,202.00","1,923.00","518.06K","1.50%"
"16/05/2025","2,002.00","2,002.00","2,002.00","2,002.00","58.33K","-9.98%"
"15/05/2025","2,224.00","2,471.00","2,482.00","2,224.00","48.39K","-10.00%"
"14/05/2025","2,471.00","2,530.00","2,587.50","2,445.00","73.25K","-2.33%"
"13/05/2025","2,530.00","2,780.00","2,805.00","2,512.50","140.05K","-6.73%"
"12/05/2025","2,712.50","2,582.50","2,712.50","2,537.50","92.14K","10.00%"
"09/05/2025","2,466.00","2,349.00","2,570.00","2,347.00","125.66K","4.98%"
"08/05/2025","2,349.00","2,342.00","2,370.00","2,300.00","62.01K","0.34%"
"07/05/2025","2,341.00","2,436.00","2,439.00","2,331.00","68.96K","-4.53%"
"06/05/2025","2,452.00","2,525.00","2,532.50","2,440.00","42.77K","-2.02%"
"05/05/2025","2,502.50","2,612.50","2,640.00","2,492.00","43.48K","-4.03%"
"02/05/2025","2,607.50","2,505.00","2,690.00","2,476.00","72.04K","3.68%"
"30/04/2025","2,515.00","2,632.50","2,692.50","2,502.50","50.34K","-4.46%"
"29/04/2025","2,632.50","2,730.00","2,742.50","2,620.00","46.59K","-3.92%"
"28/04/2025","2,740.00","2,702.50","2,900.00","2,677.50","50.71K","1.39%"
"25/04/2025","2,702.50","2,835.00","2,835.00","2,700.00","55.84K","-4.67%"
"24/04/2025","2,835.00","2,775.00","2,915.00","2,690.00","91.35K","5.10%"
"22/04/2025","2,697.50","2,818.39","2,820.76","2,678.54","48.16K","-3.64%"
"21/04/2025","2,799.43","2,747.28","2,846.84","2,728.32","55.48K","2.07%"
"18/04/2025","2,742.54","2,737.80","2,778.09","2,702.24","42.13K","0.87%"
"17/04/2025","2,718.83","2,645.35","2,759.13","2,638.24","57.07K","-3.24%"
"16/04/2025","2,810.00","2,870.00","2,950.00","2,780.00","63.66K","-3.27%"
"15/04/2025","2,905.00","2,995.00","3,005.00","2,895.00","72.51K","-2.76%"
"14/04/2025","2,987.50","3,045.00","3,070.00","2,985.00","42.21K","-1.24%"
"11/04/2025","3,025.00","3,057.50","3,102.50","2,990.00","43.09K","-1.06%"
"10/04/2025","3,057.50","3,197.50","3,197.50","3,052.50","53.87K","-1.29%"
"09/04/2025","3,097.50","3,090.00","3,150.00","2,982.50","75.28K","0.16%"
"08/04/2025","3,092.50","3,262.50","3,285.00","3,050.00","102.91K","-3.96%"
"07/04/2025","3,220.00","3,055.00","3,262.50","2,960.00","123.73K","2.22%"
"04/04/2025","3,150.00","3,125.00","3,217.50","3,070.00","83.18K","1.37%"
"03/04/2025","3,107.50","2,915.00","3,150.00","2,915.00","124.56K","6.60%"
"02/04/2025","2,915.00","3,000.00","3,020.00","2,835.00","103.10K","-1.19%"
"28/03/2025","2,950.00","2,830.00","2,985.00","2,777.50","102.15K","4.33%"
"27/03/2025","2,827.50","2,852.50","2,895.00","2,800.00","58.05K","0.18%"
"26/03/2025","2,822.50","2,692.50","2,890.00","2,655.00","141.95K","4.83%"
"25/03/2025","2,692.50","2,530.00","2,705.00","2,525.00","109.45K","6.85%"
"24/03/2025","2,520.00","2,557.50","2,650.00","2,401.00","157.21K","-1.47%"
"21/03/2025","2,557.50","2,590.00","2,622.50","2,450.00","139.56K","-1.63%"
"20/03/2025","2,600.00","2,385.00","2,617.50","2,384.00","174.90K","9.01%"
"19/03/2025","2,385.00","2,352.00","2,482.00","2,343.00","135.29K","-5.07%"
"18/03/2025","2,512.50","2,451.00","2,567.50","2,412.00","109.70K","1.68%"
"17/03/2025","2,471.00","2,499.00","2,500.00","2,434.00","68.48K","-0.44%"
"14/03/2025","2,482.00","2,424.00","2,498.00","2,390.00","111.90K","2.65%"
"13/03/2025","2,418.00","2,385.00","2,462.00","2,370.00","139.07K","2.20%"
"12/03/2025","2,366.00","2,361.00","2,441.00","2,325.00","225.76K","3.59%"
"11/03/2025","2,284.00","2,226.00","2,286.00","2,137.00","117.93K","2.61%"
"10/03/2025","2,226.00","2,245.00","2,265.00","2,214.00","57.80K","-0.04%"
"07/03/2025","2,227.00","2,276.00","2,279.00","2,210.00","60.45K","-2.15%"
"06/03/2025","2,276.00","2,250.00","2,299.00","2,207.00","116.88K","1.20%"
"05/03/2025","2,249.00","2,079.00","2,271.00","2,071.00","173.16K","8.91%"
"04/03/2025","2,065.00","2,070.00","2,125.00","2,040.00","59.99K","0.63%"
"03/03/2025","2,052.00","2,000.00","2,065.00","1,982.00","72.01K","2.75%"
"28/02/2025","1,997.00","2,000.00","2,040.00","1,975.00","47.22K","-0.15%"
"27/02/2025","2,000.00","1,921.00","2,007.00","1,908.00","63.80K","4.11%"
"26/02/2025","1,921.00","1,914.00","1,976.00","1,889.00","90.85K","0.68%"
"25/02/2025","1,908.00","2,065.00","2,070.00","1,899.00","134.92K","-7.60%"
"24/02/2025","2,065.00","2,128.00","2,145.00","2,064.00","62.75K","-2.59%"
"21/02/2025","2,120.00","2,243.00","2,250.00","2,100.00","89.21K","-5.02%"
"20/02/2025","2,232.00","2,246.00","2,268.00","2,214.00","55.34K","-0.36%"
"19/02/2025","2,240.00","2,230.00","2,299.00","2,207.00","104.25K","0.45%"
"18/02/2025","2,230.00","2,121.00","2,244.00","2,094.00","144.59K","5.14%"
"17/02/2025","2,121.00","2,131.00","2,140.00","2,110.00","43.06K","-0.42%"
"14/02/2025","2,130.00","2,118.00","2,172.00","2,100.00","61.23K","0.19%"
"13/02/2025","2,126.00","2,115.00","2,141.00","2,081.00","79.96K","0.76%"
"12/02/2025","2,110.00","2,120.00","2,160.00","2,076.00","101.81K","0.48%"
"11/02/2025","2,100.00","2,007.00","2,110.00","1,983.00","90.96K","4.63%"
"10/02/2025","2,007.00","2,045.00","2,053.00","2,004.00","56.75K","-0.79%"
"07/02/2025","2,023.00","1,982.00","2,045.00","1,979.00","63.76K","1.61%"
"06/02/2025","1,991.00","1,930.00","2,001.00","1,930.00","54.32K","3.16%"
"05/02/2025","1,930.00","1,979.00","1,979.00","1,923.00","48.20K","-2.48%"
"04/02/2025","1,979.00","1,917.00","1,990.00","1,913.00","58.53K","2.86%"
"03/02/2025","1,924.00","1,910.00","1,929.00","1,877.00","39.24K","0.05%"
"31/01/2025","1,923.00","1,920.00","1,948.00","1,914.00","33.21K","-0.72%"
"30/01/2025","1,937.00","1,912.00","1,940.00","1,908.00","35.18K","0.83%"
"29/01/2025","1,921.00","1,896.00","1,939.00","1,880.00","51.43K","1.43%"
"28/01/2025","1,894.00","1,894.00","1,913.00","1,874.00","29.42K","0.05%"
"27/01/2025","1,893.00","1,962.00","1,962.00","1,893.00","42.48K","-3.52%"
"24/01/2025","1,962.00","1,954.00","1,973.00","1,927.00","40.22K","0.62%"
"23/01/2025","1,950.00","1,924.00","1,959.00","1,900.00","35.41K","1.35%"
"22/01/2025","1,924.00","1,880.00","1,932.00","1,876.00","50.85K","2.34%"
"21/01/2025","1,880.00","1,916.00","1,918.00","1,875.00","33.35K","-2.03%"
"20/01/2025","1,919.00","1,922.00","1,945.00","1,915.00","38.16K","0.21%"
"17/01/2025","1,915.00","1,897.00","1,923.00","1,883.00","32.84K","0.84%"
"16/01/2025","1,899.00","1,890.00","1,915.00","1,874.00","30.23K","1.33%"
"15/01/2025","1,874.00","1,878.00","1,891.00","1,856.00","35.60K","-0.21%"
"14/01/2025","1,878.00","1,906.00","1,913.00","1,878.00","41.70K","-1.47%"
"13/01/2025","1,906.00","1,970.00","1,975.00","1,900.00","46.38K","-3.54%"
"10/01/2025","1,976.00","1,964.00","1,988.00","1,953.00","30.90K","0.66%"
"09/01/2025","1,963.00","1,943.00","1,972.00","1,940.00","30.76K","0.62%"
"08/01/2025","1,951.00","1,955.00","1,978.00","1,939.00","36.78K","-0.81%"
"07/01/2025","1,967.00","2,011.00","2,014.00","1,965.00","41.28K","-1.80%"
"06/01/2025","2,003.00","1,990.00","2,035.00","1,959.00","68.75K","3.03%"
"03/01/2025","1,944.00","1,909.00","1,967.00","1,901.00","81.54K","1.62%"
"02/01/2025","1,913.00","1,892.00","1,918.00","1,873.00","48.21K","1.11%"
"31/12/2024","1,892.00","1,923.00","1,938.00","1,887.00","32.66K","-1.61%"
"30/12/2024","1,923.00","1,914.00","1,924.00","1,893.00","36.25K","0.47%"
"27/12/2024","1,914.00","1,925.00","1,927.00","1,897.00","30.34K","-0.57%"
"26/12/2024","1,925.00","1,931.00","1,949.00","1,910.00","36.32K","0.16%"
"25/12/2024","1,922.00","1,925.00","1,936.00","1,913.00","20.88K","2.29%"
"24/12/2024","1,879.00","1,883.00","1,893.00","1,846.00","45.69K","-0.21%"
"23/12/2024","1,883.00","1,921.00","1,929.00","1,872.00","47.32K","-1.77%"
"20/12/2024","1,917.00","1,930.00","1,930.00","1,899.00","34.46K","-0.31%"
"19/12/2024","1,923.00","1,921.00","1,950.00","1,921.00","27.22K","-0.98%"
"18/12/2024","1,942.00","1,956.00","1,965.00","1,926.00","43.25K","-0.66%"
"17/12/2024","1,955.00","1,985.00","1,985.00","1,935.00","53.53K","-1.26%"
"16/12/2024","1,980.00","1,989.00","2,027.00","1,980.00","62.50K","0.25%"
"13/12/2024","1,975.00","2,049.00","2,058.00","1,975.00","61.86K","-3.28%"
"12/12/2024","2,042.00","2,045.00","2,060.00","2,032.00","26.48K","0.10%"
"11/12/2024","2,040.00","2,058.00","2,072.00","2,028.00","41.55K","-0.87%"
"10/12/2024","2,058.00","2,110.00","2,113.00","2,047.00","65.26K","-2.46%"
"09/12/2024","2,110.00","2,120.00","2,167.00","2,104.00","60.23K","0.00%"
"06/12/2024","2,110.00","2,110.00","2,131.00","2,093.00","51.23K","0.33%"
"05/12/2024","2,103.00","2,084.00","2,130.00","2,084.00","44.17K","0.96%"
"04/12/2024","2,083.00","2,086.00","2,118.00","2,070.00","58.03K","-0.14%"
"03/12/2024","2,086.00","2,083.00","2,116.00","2,055.00","53.12K","0.14%"
"02/12/2024","2,083.00","2,080.00","2,117.00","2,066.00","54.06K","-1.93%"
"29/11/2024","2,124.00","2,124.00","2,149.00","2,095.00","57.25K","0.00%"
"28/11/2024","2,124.00","2,185.00","2,208.00","2,046.00","184.95K","-3.80%"
"27/11/2024","2,208.00","2,220.00","2,253.00","2,201.00","57.35K","0.50%"
"26/11/2024","2,197.00","2,225.00","2,231.00","2,183.00","51.09K","-1.26%"
"25/11/2024","2,225.00","2,213.00","2,290.00","2,167.00","145.05K","0.77%"
"22/11/2024","2,208.00","2,221.00","2,238.00","2,168.00","84.09K","-0.59%"
"21/11/2024","2,221.00","2,112.00","2,225.00","2,100.00","103.55K","5.51%"
"20/11/2024","2,105.00","2,109.00","2,170.00","2,100.00","98.56K","-0.19%"
"19/11/2024","2,109.00","2,136.00","2,167.00","2,077.00","81.59K","-1.31%"
"18/11/2024","2,137.00","2,141.00","2,150.00","2,094.00","76.59K","-0.19%"
"15/11/2024","2,141.00","2,137.00","2,178.00","2,110.00","92.28K","0.19%"
"14/11/2024","2,137.00","2,087.00","2,140.00","2,087.00","72.08K","2.49%"
"13/11/2024","2,085.00","2,076.00","2,126.00","2,050.00","99.38K","-0.33%"
"12/11/2024","2,092.00","2,148.00","2,172.00","2,070.00","172.16K","3.98%"
"11/11/2024","2,012.00","2,015.00","2,030.00","1,963.00","74.38K","0.60%"
"08/11/2024","2,000.00","1,882.00","2,000.00","1,867.00","131.88K","6.44%"
"07/11/2024","1,879.00","1,890.00","1,890.00","1,838.00","64.12K","0.70%"
"06/11/2024","1,866.00","1,767.00","1,880.00","1,740.00","87.70K","6.51%"
"05/11/2024","1,752.00","1,792.00","1,795.00","1,733.00","35.46K","-1.46%"
"04/11/2024","1,778.00","1,795.00","1,820.00","1,770.00","42.00K","-1.06%"
"01/11/2024","1,797.00","1,829.00","1,829.00","1,789.00","41.30K","-0.66%"
"31/10/2024","1,809.00","1,773.00","1,819.00","1,766.00","85.22K","2.03%"
"30/10/2024","1,773.00","1,799.00","1,810.00","1,765.00","55.33K","-1.45%"
"28/10/2024","1,799.00","1,761.00","1,840.00","1,761.00","59.30K","2.22%"
"25/10/2024","1,760.00","1,742.00","1,767.00","1,722.00","46.77K","1.03%"
"24/10/2024","1,742.00","1,724.00","1,753.00","1,720.00","33.39K","1.93%"
"23/10/2024","1,709.00","1,775.00","1,780.00","1,700.00","43.18K","-2.73%"
"22/10/2024","1,757.00","1,770.00","1,783.00","1,749.00","49.81K","-0.73%"
"21/10/2024","1,770.00","1,771.00","1,809.00","1,750.00","52.55K","-0.11%"
"18/10/2024","1,772.00","1,775.00","1,858.00","1,767.00","105.01K","-0.17%"
"17/10/2024","1,775.00","1,778.00","1,790.00","1,755.00","46.64K","-0.17%"
"16/10/2024","1,778.00","1,715.00","1,778.00","1,700.00","42.43K","3.92%"
"15/10/2024","1,711.00","1,666.00","1,729.00","1,660.00","60.51K","2.76%"
"14/10/2024","1,665.00","1,739.00","1,739.00","1,664.00","49.77K","-4.69%"
"11/10/2024","1,747.00","1,765.00","1,766.00","1,725.00","32.63K","-1.08%"
"10/10/2024","1,766.00","1,777.00","1,800.00","1,747.00","36.89K","-0.11%"
"09/10/2024","1,768.00","1,778.00","1,785.00","1,741.00","28.16K","-0.51%"
"08/10/2024","1,777.00","1,752.00","1,790.00","1,730.00","39.61K","1.54%"
"07/10/2024","1,750.00","1,740.00","1,793.00","1,730.00","51.41K","0.98%"
"04/10/2024","1,733.00","1,750.00","1,750.00","1,701.00","47.78K","0.17%"
"03/10/2024","1,730.00","1,708.00","1,772.00","1,704.00","61.22K","1.29%"
"02/10/2024","1,708.00","1,792.00","1,792.00","1,708.00","54.39K","-4.95%"
"01/10/2024","1,797.00","1,835.00","1,858.00","1,772.00","59.50K","-2.07%"
"30/09/2024","1,835.00","1,850.00","1,869.00","1,822.00","42.38K","-1.50%"
"27/09/2024","1,863.00","1,909.00","1,930.00","1,859.00","45.45K","-2.46%"
"26/09/2024","1,910.00","1,876.00","1,910.00","1,852.00","58.32K","1.87%"
