"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","10,820.00","10,977.50","10,977.50","10,680.00","2.19K","0.14%"
"29/09/2025","10,805.00","10,900.00","10,962.50","10,720.00","3.45K","1.43%"
"26/09/2025","10,652.50","10,720.00","10,887.50","10,552.50","2.76K","-0.63%"
"25/09/2025","10,720.00","10,807.50","10,870.00","10,680.00","2.83K","-0.81%"
"24/09/2025","10,807.50","11,057.50","11,057.50","10,800.00","3.41K","-1.73%"
"23/09/2025","10,997.50","10,945.00","11,087.50","10,917.50","4.09K","0.48%"
"22/09/2025","10,945.00","11,055.00","11,055.00","10,745.00","4.73K","1.02%"
"19/09/2025","10,835.00","10,902.50","10,915.00","10,800.00","1.12K","-0.60%"
"18/09/2025","10,900.00","11,127.50","11,195.00","10,860.00","3.63K","-2.02%"
"17/09/2025","11,125.00","10,940.00","11,212.50","10,940.00","6.98K","2.06%"
"16/09/2025","10,900.00","10,870.00","11,012.50","10,730.00","4.86K","0.46%"
"15/09/2025","10,850.00","10,750.00","10,880.00","10,650.00","4.16K","0.93%"
"12/09/2025","10,750.00","10,692.50","10,880.00","10,595.00","3.02K","0.54%"
"11/09/2025","10,692.50","10,537.50","10,797.50","10,390.00","5.53K","1.47%"
"10/09/2025","10,537.50","10,830.00","10,837.50","10,520.00","3.87K","-2.70%"
"09/09/2025","10,830.00","10,862.50","10,960.00","10,750.00","2.37K","-0.28%"
"08/09/2025","10,860.00","10,715.00","10,940.00","10,712.50","3.57K","0.65%"
"05/09/2025","10,790.00","10,790.00","10,915.00","10,705.00","2.37K","0.28%"
"04/09/2025","10,760.00","10,770.00","10,852.50","10,675.00","2.91K","1.03%"
"03/09/2025","10,650.00","10,897.50","11,040.00","10,650.00","5.79K","-1.21%"
"02/09/2025","10,780.00","10,865.00","10,900.00","10,560.00","3.79K","-0.81%"
"01/09/2025","10,867.50","10,842.50","10,947.50","10,680.00","5.19K","-0.53%"
"29/08/2025","10,925.00","10,990.00","11,037.50","10,865.00","2.80K","-0.59%"
"28/08/2025","10,990.00","10,780.00","11,040.00","10,780.00","3.74K","1.95%"
"27/08/2025","10,780.00","10,900.00","10,900.00","10,735.00","2.51K","-1.10%"
"26/08/2025","10,900.00","10,890.00","10,985.00","10,725.00","4.93K","0.09%"
"25/08/2025","10,890.00","10,835.00","11,050.00","10,827.50","3.47K","0.51%"
"22/08/2025","10,835.00","10,585.00","10,860.00","10,507.50","5.54K","2.36%"
"21/08/2025","10,585.00","10,735.00","10,867.50","10,565.00","4.20K","-1.21%"
"20/08/2025","10,715.00","10,902.50","10,952.50","10,687.50","4.55K","-1.72%"
"19/08/2025","10,902.50","10,900.00","11,040.00","10,680.00","6.85K","0.23%"
"18/08/2025","10,877.50","11,157.50","11,400.00","10,815.00","6.82K","-2.51%"
"15/08/2025","11,157.50","10,610.00","11,200.00","10,610.00","17.85K","6.34%"
"14/08/2025","10,492.50","9,710.00","10,492.50","9,570.00","22.54K","9.98%"
"13/08/2025","9,540.00","9,637.50","9,752.50","9,530.00","3.21K","-0.99%"
"12/08/2025","9,635.00","9,280.00","9,737.50","9,280.00","6.07K","3.91%"
"11/08/2025","9,272.50","9,600.00","9,600.00","9,230.00","4.35K","-2.65%"
"08/08/2025","9,525.00","9,530.00","9,600.00","9,460.00","1.85K","-0.05%"
"07/08/2025","9,530.00","9,470.00","9,747.50","9,470.00","5.64K","0.79%"
"06/08/2025","9,455.00","9,442.50","9,567.50","9,297.50","4.56K","0.13%"
"05/08/2025","9,442.50","9,405.00","9,475.00","9,310.00","3.09K","0.29%"
"04/08/2025","9,415.00","9,215.00","9,432.50","9,180.00","4.62K","2.73%"
"01/08/2025","9,165.00","9,252.50","9,260.00","9,077.50","5.50K","-0.95%"
"31/07/2025","9,252.50","8,972.50","9,375.00","8,945.00","6.10K","3.06%"
"30/07/2025","8,977.50","9,097.50","9,107.50","8,960.00","2.58K","-1.32%"
"29/07/2025","9,097.50","9,320.00","9,370.00","8,812.50","6.80K","-2.39%"
"28/07/2025","9,320.00","9,412.50","9,620.00","9,315.00","3.40K","-0.64%"
"25/07/2025","9,380.00","9,427.50","9,427.50","9,292.50","2.43K","-0.50%"
"24/07/2025","9,427.50","9,450.00","9,492.50","9,340.00","2.70K","1.56%"
"23/07/2025","9,282.50","9,400.00","9,460.00","9,255.00","3.56K","-0.51%"
"22/07/2025","9,330.00","9,402.50","9,482.50","9,265.00","5.55K","-0.77%"
"21/07/2025","9,402.50","9,312.50","9,482.50","9,207.50","4.37K","0.97%"
"18/07/2025","9,312.50","9,540.00","9,607.50","9,302.50","5.17K","-2.08%"
"17/07/2025","9,510.00","9,452.50","9,702.50","9,400.00","5.93K","0.61%"
"16/07/2025","9,452.50","9,500.00","9,730.00","9,220.00","9.98K","0.13%"
"14/07/2025","9,440.00","9,405.00","9,470.00","9,217.50","4.30K","0.64%"
"11/07/2025","9,380.00","9,180.00","9,380.00","9,090.00","9.92K","3.65%"
"10/07/2025","9,050.00","9,135.00","9,270.00","8,990.00","11.34K","-0.71%"
"09/07/2025","9,115.00","9,017.50","9,152.50","8,952.50","4.85K","1.08%"
"08/07/2025","9,017.50","8,782.50","9,145.00","8,782.50","10.59K","2.71%"
"07/07/2025","8,780.00","8,635.00","8,800.00","8,565.00","7.63K","1.56%"
"04/07/2025","8,645.00","8,660.00","8,695.00","8,500.00","4.56K","-0.17%"
"03/07/2025","8,660.00","8,752.50","8,870.00","8,660.00","8.05K","-0.46%"
"02/07/2025","8,700.00","8,630.00","8,750.00","8,545.00","7.93K","1.22%"
"01/07/2025","8,595.00","8,400.00","8,670.00","8,400.00","7.78K","2.32%"
"30/06/2025","8,400.00","8,437.50","8,505.00","8,320.00","11.63K","-0.44%"
"27/06/2025","8,437.50","8,210.00","8,450.00","8,180.00","7.24K","2.77%"
"26/06/2025","8,210.00","7,995.00","8,300.00","7,995.00","9.13K","2.79%"
"25/06/2025","7,987.50","8,117.50","8,155.00","7,980.00","4.44K","-0.59%"
"24/06/2025","8,035.00","7,802.50","8,072.50","7,802.50","6.74K","5.03%"
"23/06/2025","7,650.00","7,592.50","7,650.00","7,355.00","9.37K","0.66%"
"20/06/2025","7,600.00","7,610.00","7,810.00","7,590.00","5.49K","-0.07%"
"19/06/2025","7,605.00","7,587.50","7,670.00","7,392.50","7.82K","0.33%"
"18/06/2025","7,580.00","7,682.50","7,710.00","7,455.00","8.49K","-1.59%"
"17/06/2025","7,702.50","7,970.00","7,970.00","7,695.00","6.13K","-2.47%"
"16/06/2025","7,897.50","7,700.00","8,017.50","7,680.00","10.15K","1.38%"
"13/06/2025","7,790.00","7,887.50","8,097.50","7,655.00","12.29K","-3.20%"
"12/06/2025","8,047.50","7,800.00","8,522.50","7,800.00","25.21K","3.17%"
"11/06/2025","7,800.00","8,057.50","8,060.00","7,700.00","6.57K","-3.29%"
"10/06/2025","8,065.00","7,897.50","8,107.50","7,800.00","11.67K","2.12%"
"05/06/2025","7,897.50","7,825.00","7,960.00","7,822.50","3.53K","0.93%"
"04/06/2025","7,825.00","7,757.50","7,840.00","7,692.50","5.65K","0.87%"
"03/06/2025","7,757.50","7,925.00","7,937.50","7,685.00","6.11K","-0.74%"
"02/06/2025","7,815.00","7,690.00","7,900.00","7,550.00","9.88K","1.76%"
"30/05/2025","7,680.00","7,592.50","7,690.00","7,500.00","6.10K","0.95%"
"29/05/2025","7,607.50","7,670.00","7,730.00","7,565.00","7.13K","-0.56%"
"28/05/2025","7,650.00","7,492.50","7,810.00","7,485.00","20.33K","2.10%"
"27/05/2025","7,492.50","7,425.00","7,637.50","7,387.50","15.45K","0.91%"
"26/05/2025","7,425.00","7,400.00","7,540.00","7,392.50","8.08K","1.30%"
"23/05/2025","7,330.00","7,575.00","7,652.50","7,170.00","11.75K","-3.23%"
"22/05/2025","7,575.00","7,400.00","7,595.00","7,390.00","9.45K","2.57%"
"21/05/2025","7,385.00","7,607.50","7,620.00","7,302.50","7.81K","-2.83%"
