"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","63.05","65.15","65.15","63.00","748.16K","-3.22%"
"29/09/2025","65.15","66.35","67.20","64.85","563.53K","-2.76%"
"26/09/2025","67.00","69.10","69.10","65.70","652.88K","-2.97%"
"25/09/2025","69.05","70.00","70.75","68.35","688.80K","-0.93%"
"24/09/2025","69.70","68.60","71.15","67.05","1.35M","1.60%"
"23/09/2025","68.60","64.50","69.50","64.00","2.29M","5.21%"
"22/09/2025","65.20","66.20","67.35","64.80","1.13M","-0.23%"
"19/09/2025","65.35","64.45","65.85","64.35","1.14M","1.40%"
"18/09/2025","64.45","66.70","67.95","64.45","1.29M","-2.94%"
"17/09/2025","66.40","64.55","67.90","64.55","1.84M","3.03%"
"16/09/2025","64.45","60.25","64.65","59.45","4.21M","7.42%"
"15/09/2025","60.00","59.80","61.35","56.25","16.51M","-3.92%"
"12/09/2025","62.45","63.00","63.15","61.50","407.33K","-0.48%"
"11/09/2025","62.75","63.90","65.25","62.60","392.88K","-1.80%"
"10/09/2025","63.90","65.10","65.95","63.65","301.36K","-1.39%"
"09/09/2025","64.80","63.45","65.45","63.45","483.91K","2.21%"
"08/09/2025","63.40","65.90","66.00","63.40","666.98K","-4.95%"
"05/09/2025","66.70","67.90","68.40","65.80","709.79K","-1.40%"
"04/09/2025","67.65","67.40","68.00","66.00","768.05K","0.82%"
"03/09/2025","67.10","68.00","68.45","66.00","909.24K","-1.54%"
"02/09/2025","68.15","70.25","71.60","67.40","1.62M","-2.64%"
"01/09/2025","70.00","68.55","70.90","68.40","859.38K","2.12%"
"29/08/2025","68.55","69.20","70.85","68.10","458.86K","-0.94%"
"28/08/2025","69.20","70.80","71.50","68.45","793.35K","-2.19%"
"27/08/2025","70.75","66.90","72.00","66.40","2.88M","5.75%"
"26/08/2025","66.90","67.90","67.90","66.65","503.04K","-1.04%"
"25/08/2025","67.60","66.75","68.15","66.75","703.75K","1.81%"
"22/08/2025","66.40","66.00","66.80","65.15","746.44K","1.07%"
"21/08/2025","65.70","64.70","65.75","64.55","930.12K","2.02%"
"20/08/2025","64.40","63.75","64.50","63.20","752.64K","1.02%"
"19/08/2025","63.75","64.95","66.50","63.25","1.48M","-1.70%"
"18/08/2025","64.85","63.00","65.05","62.55","1.32M","3.93%"
"15/08/2025","62.40","61.65","63.10","61.45","717.26K","1.63%"
"14/08/2025","61.40","60.95","62.65","60.45","1.05M","0.74%"
"13/08/2025","60.95","60.70","61.30","60.50","546.80K","0.66%"
"12/08/2025","60.55","61.90","61.90","60.35","482.51K","-1.70%"
"11/08/2025","61.60","61.75","62.15","61.35","660.90K","0.16%"
"08/08/2025","61.50","62.05","62.25","61.45","763.87K","-0.97%"
"07/08/2025","62.10","62.70","62.85","61.10","1.52M","-2.51%"
"06/08/2025","63.70","62.80","64.40","62.65","1.18M","1.76%"
"05/08/2025","62.60","63.25","63.35","62.40","1.00M","-0.56%"
"04/08/2025","62.95","61.50","63.50","61.50","2.56M","2.69%"
"01/08/2025","61.30","61.60","62.50","60.90","816.76K","-0.33%"
"31/07/2025","61.50","59.65","61.60","59.65","1.19M","3.19%"
"30/07/2025","59.60","59.20","61.00","58.85","873.30K","1.10%"
"29/07/2025","58.95","58.95","60.55","58.55","745.83K","0.26%"
"28/07/2025","58.80","60.35","60.65","58.50","981.72K","-2.24%"
"25/07/2025","60.15","61.45","61.75","59.80","632.52K","-2.12%"
"24/07/2025","61.45","61.00","61.70","59.70","1.58M","0.90%"
"23/07/2025","60.90","57.75","61.60","57.55","3.30M","5.64%"
"22/07/2025","57.65","58.10","58.40","57.45","660.86K","-0.43%"
"21/07/2025","57.90","57.35","58.85","57.25","778.41K","1.40%"
"18/07/2025","57.10","57.50","57.70","56.40","468.41K","0.09%"
"17/07/2025","57.05","55.80","57.10","55.80","629.30K","2.24%"
"16/07/2025","55.80","56.70","57.05","55.00","666.11K","-1.59%"
"14/07/2025","56.70","57.45","57.55","56.35","271.31K","-0.96%"
"11/07/2025","57.25","57.25","58.00","56.25","458.35K","0.35%"
"10/07/2025","57.05","56.85","57.55","56.80","432.50K","1.15%"
"09/07/2025","56.40","55.60","56.60","55.45","274.21K","1.71%"
"08/07/2025","55.45","56.75","57.05","55.45","405.63K","-1.95%"
"07/07/2025","56.55","58.00","58.05","56.50","550.34K","-3.33%"
"04/07/2025","58.50","57.95","58.60","57.10","486.90K","1.39%"
"03/07/2025","57.70","59.00","59.10","57.50","460.14K","1.23%"
"02/07/2025","57.00","57.60","58.40","56.00","1.02M","-1.04%"
"01/07/2025","57.60","55.80","57.95","55.40","662.50K","3.60%"
"30/06/2025","55.60","53.50","55.70","53.50","761.94K","4.02%"
