"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","216.500","216.800","218.800","215.200","20.13M","0.60%"
"29/09/2025","215.200","218.200","220.000","214.300","19.11M","-1.74%"
"26/09/2025","219.000","223.900","224.600","218.300","20.19M","-2.19%"
"25/09/2025","223.900","226.000","228.600","223.100","13.21M","-0.36%"
"24/09/2025","224.700","227.600","228.200","221.700","20.65M","-1.19%"
"23/09/2025","227.400","230.500","232.200","227.100","16.77M","-2.74%"
"22/09/2025","233.800","238.300","238.600","233.700","16.18M","0.52%"
"19/09/2025","232.600","230.500","234.100","227.900","17.67M","1.22%"
"18/09/2025","229.800","232.500","236.200","229.500","24.89M","-0.17%"
"17/09/2025","230.200","232.700","233.400","230.100","16.18M","-0.99%"
"16/09/2025","232.500","234.400","234.500","229.500","22.68M","-0.56%"
"15/09/2025","233.800","222.200","234.200","218.000","33.72M","5.03%"
"12/09/2025","222.600","220.900","223.100","218.800","12.07M","0.77%"
"11/09/2025","220.900","225.900","227.200","219.500","22.03M","-0.85%"
"10/09/2025","222.800","223.000","223.100","218.100","25.14M","0.91%"
"09/09/2025","220.800","221.600","225.000","217.100","28.90M","0.27%"
"08/09/2025","220.200","221.400","227.000","219.500","15.82M","-2.52%"
"05/09/2025","225.900","232.000","233.300","225.800","18.47M","-2.25%"
"04/09/2025","231.100","231.600","233.200","229.700","13.15M","0.04%"
"03/09/2025","231.000","236.200","236.200","228.600","17.59M","-1.95%"
"02/09/2025","235.600","246.700","247.600","225.000","32.47M","-4.23%"
"01/09/2025","246.000","249.200","250.250","245.700","17.76M","-1.20%"
"29/08/2025","249.000","253.250","253.750","248.000","16.23M","-1.48%"
"28/08/2025","252.750","255.750","258.500","252.500","11.95M","-0.88%"
"27/08/2025","255.000","259.750","260.500","255.000","19.37M","-1.16%"
"26/08/2025","258.000","261.000","263.500","258.000","36.11M","-1.24%"
"25/08/2025","261.250","261.750","264.750","261.000","17.83M","0.29%"
"22/08/2025","260.500","262.750","262.750","259.500","9.91M","-0.48%"
"21/08/2025","261.750","260.500","262.500","259.000","13.98M","1.16%"
"20/08/2025","258.750","257.500","261.250","256.500","17.03M","0.78%"
"19/08/2025","256.750","257.500","260.000","256.250","15.90M","0.10%"
"18/08/2025","256.500","258.500","259.250","254.750","14.84M","-0.48%"
"15/08/2025","257.750","253.000","259.000","252.750","18.94M","1.98%"
"14/08/2025","252.750","258.000","260.750","252.750","16.81M","-1.65%"
"13/08/2025","257.000","260.000","262.250","257.000","26.14M","-4.10%"
"12/08/2025","268.000","274.000","274.000","263.750","23.28M","-2.19%"
"11/08/2025","274.000","266.000","274.500","263.250","21.65M","3.89%"
"08/08/2025","263.750","257.250","264.500","255.750","23.60M","0.76%"
"07/08/2025","261.750","260.000","262.500","257.250","16.71M","1.36%"
"06/08/2025","258.250","254.250","260.000","254.250","22.87M","2.18%"
"05/08/2025","252.750","254.750","255.250","252.000","8.04M","-0.30%"
"04/08/2025","253.500","251.500","256.250","251.000","10.58M","1.44%"
"01/08/2025","249.900","253.000","253.000","248.300","8.79M","-0.83%"
"31/07/2025","252.000","247.300","252.000","246.600","11.79M","2.52%"
"30/07/2025","245.800","251.000","254.250","245.800","13.31M","-1.97%"
"29/07/2025","250.750","253.750","255.250","250.750","6.94M","-0.99%"
"28/07/2025","253.250","255.250","258.750","252.500","10.02M","-0.59%"
"25/07/2025","254.750","264.000","264.250","254.750","13.53M","-3.41%"
"24/07/2025","263.750","263.750","265.750","259.750","14.19M","0.29%"
"23/07/2025","263.000","265.750","266.750","262.500","9.13M","-0.66%"
"22/07/2025","264.750","266.500","268.000","262.250","13.50M","-0.28%"
"21/07/2025","265.500","263.000","266.750","262.250","13.79M","2.02%"
"18/07/2025","260.250","262.000","263.250","258.500","9.07M","-0.19%"
"17/07/2025","260.750","260.000","263.250","255.000","14.43M","2.25%"
"16/07/2025","255.000","264.500","267.000","251.500","13.59M","-3.41%"
"14/07/2025","264.000","262.250","267.500","260.500","8.31M","0.67%"
"11/07/2025","262.250","269.000","269.250","261.000","11.15M","-0.19%"
"10/07/2025","262.750","258.500","266.000","258.250","13.26M","2.54%"
"09/07/2025","256.250","253.250","257.500","251.500","6.41M","1.38%"
"08/07/2025","252.750","259.750","260.000","251.500","5.92M","-1.84%"
"07/07/2025","257.500","255.000","259.250","254.750","5.54M","-0.77%"
"04/07/2025","259.500","256.250","261.000","255.750","7.66M","1.47%"
"03/07/2025","255.750","258.750","260.750","255.000","6.51M","-0.20%"
"02/07/2025","256.250","259.000","261.500","252.500","14.03M","-0.58%"
"01/07/2025","257.750","257.000","260.750","254.250","12.30M","0.29%"
"30/06/2025","257.000","241.500","258.500","240.100","15.78M","7.08%"
"27/06/2025","240.000","233.700","240.000","233.500","7.88M","2.43%"
"26/06/2025","234.300","240.300","241.600","234.100","8.31M","-2.33%"
"25/06/2025","239.900","237.600","242.900","234.700","14.37M","1.70%"
"24/06/2025","235.900","232.000","235.900","228.300","22.45M","9.98%"
"23/06/2025","214.500","218.000","219.100","213.600","13.60M","-3.55%"
"20/06/2025","222.400","223.800","226.700","218.500","12.08M","1.97%"
"19/06/2025","218.100","227.400","227.500","218.100","12.21M","-3.28%"
"18/06/2025","225.500","235.000","236.400","224.400","14.23M","-4.77%"
"17/06/2025","236.800","242.800","242.900","236.000","6.71M","-2.55%"
"16/06/2025","243.000","242.500","245.900","236.700","13.31M","0.21%"
"13/06/2025","242.500","237.000","244.500","236.000","11.69M","-5.46%"
"12/06/2025","256.500","258.000","260.750","253.750","7.26M","-2.93%"
"11/06/2025","264.250","262.750","266.500","260.500","7.20M","0.57%"
"10/06/2025","262.750","259.500","266.500","258.750","7.15M","2.14%"
"05/06/2025","257.250","256.000","258.000","253.500","2.37M","-0.29%"
"04/06/2025","258.000","251.500","258.000","249.300","6.49M","2.28%"
"03/06/2025","252.250","249.100","253.000","247.100","9.25M","2.13%"
"02/06/2025","247.000","241.200","248.300","240.000","6.62M","2.40%"
"30/05/2025","241.200","240.600","244.300","240.000","7.81M","0.12%"
"29/05/2025","240.900","242.400","245.100","240.200","5.20M","0.29%"
"28/05/2025","240.200","235.500","241.300","234.500","5.64M","1.91%"
"27/05/2025","235.700","240.700","241.800","235.700","4.81M","-2.00%"
"26/05/2025","240.500","245.000","245.900","239.700","4.92M","-0.95%"
"23/05/2025","242.800","243.500","246.700","241.300","5.72M","-0.53%"
"22/05/2025","244.100","243.400","246.500","239.900","7.79M","0.99%"
"21/05/2025","241.700","249.900","250.750","241.500","6.27M","-3.51%"
"20/05/2025","250.500","250.500","252.750","245.100","7.16M","0.00%"
"16/05/2025","250.500","248.500","255.500","246.600","7.46M","1.95%"
"15/05/2025","245.700","251.250","252.500","244.100","4.69M","-2.21%"
"14/05/2025","251.250","250.250","253.500","246.900","6.72M","0.50%"
"13/05/2025","250.000","253.750","254.000","250.000","6.06M","-1.67%"
"12/05/2025","254.250","253.750","255.000","248.600","10.25M","3.82%"
"09/05/2025","244.900","234.700","246.000","234.600","10.94M","5.79%"
"08/05/2025","231.500","228.000","233.000","225.600","7.35M","2.07%"
"07/05/2025","226.800","231.000","232.800","222.200","7.23M","-2.62%"
"06/05/2025","232.900","234.400","238.600","231.100","5.07M","-0.77%"
"05/05/2025","234.700","235.000","236.000","228.900","6.34M","0.77%"
"02/05/2025","232.900","224.100","235.700","224.100","9.22M","4.49%"
"30/04/2025","222.900","228.600","230.100","222.500","9.09M","-2.19%"
"29/04/2025","227.900","234.500","235.900","227.900","8.07M","-4.16%"
"28/04/2025","237.800","243.600","244.900","237.700","7.24M","-2.14%"
"25/04/2025","243.000","245.700","249.400","241.600","8.80M","-0.69%"
"24/04/2025","244.700","245.000","246.400","241.500","10.03M","0.00%"
"22/04/2025","244.700","250.750","253.000","244.700","9.99M","-2.00%"
"21/04/2025","249.700","249.400","252.500","246.200","10.56M","0.69%"
"18/04/2025","248.000","250.750","253.750","247.300","8.57M","-0.52%"
"17/04/2025","249.300","251.000","255.000","247.500","11.93M","-0.68%"
"16/04/2025","251.000","261.000","263.250","250.000","13.63M","-4.47%"
"15/04/2025","262.750","266.750","268.750","260.500","9.75M","-0.76%"
"14/04/2025","264.750","269.000","270.000","264.500","5.01M","-0.75%"
"11/04/2025","266.750","261.000","268.250","259.000","6.97M","2.40%"
"10/04/2025","260.500","276.000","278.500","260.500","11.47M","-2.25%"
"09/04/2025","266.500","262.250","271.000","261.000","10.25M","0.66%"
"08/04/2025","264.750","264.750","267.750","259.750","8.16M","1.83%"
"07/04/2025","260.000","246.200","263.500","242.800","11.40M","2.06%"
"04/04/2025","254.750","249.600","256.000","249.600","8.93M","3.22%"
"03/04/2025","246.800","246.300","251.750","246.200","9.50M","0.20%"
"02/04/2025","246.300","256.250","256.250","246.300","10.79M","-4.44%"
"28/03/2025","257.750","256.000","257.750","248.500","6.45M","1.38%"
"27/03/2025","254.250","258.000","261.000","252.500","8.21M","0.30%"
"26/03/2025","253.500","257.000","259.250","250.000","8.58M","-1.93%"
"25/03/2025","258.500","265.000","268.250","255.250","11.44M","0.49%"
"24/03/2025","257.250","243.600","258.250","240.000","13.44M","7.46%"
"21/03/2025","239.400","264.000","264.250","239.400","14.83M","-10.00%"
"20/03/2025","266.000","264.000","274.750","261.500","9.78M","1.24%"
"19/03/2025","262.750","262.250","277.000","256.750","12.90M","-6.66%"
"18/03/2025","281.500","279.500","284.000","278.000","5.74M","0.09%"
"17/03/2025","281.250","283.500","285.000","281.250","4.62M","-0.53%"
"14/03/2025","282.750","281.000","287.250","277.500","8.41M","1.43%"
"13/03/2025","278.750","274.750","281.750","274.250","8.79M","2.01%"
"12/03/2025","273.250","273.750","277.750","272.250","5.53M","0.46%"
"11/03/2025","272.000","276.250","278.250","271.250","6.10M","-1.72%"
"10/03/2025","276.750","273.750","277.750","272.750","5.53M","1.00%"
"07/03/2025","274.000","275.750","279.250","271.500","7.64M","-0.63%"
"06/03/2025","275.750","269.500","275.750","267.000","9.07M","2.89%"
"05/03/2025","268.000","255.750","268.000","254.500","13.37M","6.45%"
"04/03/2025","251.750","246.400","252.750","246.400","7.81M","1.84%"
"03/03/2025","247.200","241.400","249.700","238.100","13.16M","3.43%"
"28/02/2025","239.000","237.900","241.300","235.600","9.65M","0.13%"
"27/02/2025","238.700","232.500","242.200","231.500","8.98M","2.67%"
"26/02/2025","232.500","232.100","234.000","230.800","8.03M","0.17%"
"25/02/2025","232.100","238.500","241.500","231.500","8.62M","-2.68%"
"24/02/2025","238.500","242.000","242.600","238.300","4.96M","-0.63%"
"21/02/2025","240.000","243.800","245.400","236.200","6.28M","-1.36%"
"20/02/2025","243.300","243.100","247.200","242.200","5.91M","0.37%"
"19/02/2025","242.400","246.400","248.200","242.100","7.04M","-1.90%"
"18/02/2025","247.100","243.600","249.100","242.700","10.21M","1.44%"
"17/02/2025","243.600","242.000","244.300","238.600","7.90M","0.66%"
"14/02/2025","242.000","245.400","246.700","240.800","5.70M","-1.43%"
"13/02/2025","245.500","239.900","246.400","239.200","12.26M","3.15%"
"12/02/2025","238.000","237.800","239.300","233.300","9.81M","0.08%"
"11/02/2025","237.800","237.100","238.100","230.000","7.93M","0.81%"
"10/02/2025","235.900","238.800","239.100","234.200","6.58M","-1.21%"
