Date,Price,Open,High,Low,Vol.,Change %
30/09/2025,240,236.1,242.2,234.3,2.90M,2.13%
29/09/2025,235,238.5,242.6,234,2.00M,-1.92%
26/09/2025,239.6,238.9,241.5,235.8,3.24M,0.93%
25/09/2025,237.4,240.2,242.1,233.5,2.91M,-0.34%
24/09/2025,238.2,241.2,242.9,237.9,3.03M,-1.37%
23/09/2025,241.5,242.1,243.1,238.7,2.29M,-1.63%
22/09/2025,245.5,247.8,249.5,245.3,2.56M,1.36%
19/09/2025,242.2,240.5,244.8,239,2.70M,0.71%
18/09/2025,240.5,243.5,245.1,240,2.49M,-0.50%
17/09/2025,241.7,248.7,249.2,241.2,2.39M,-3.20%
16/09/2025,249.7,243.7,249.7,239.6,4.19M,2.00%
15/09/2025,244.8,229.9,245,228.3,3.17M,5.75%
12/09/2025,231.5,232.5,234.5,226.6,2.07M,-0.34%
11/09/2025,232.3,240.2,240.5,232.3,2.92M,-3.25%
10/09/2025,240.1,234,240.4,232.6,2.68M,3.05%
09/09/2025,233,230.3,235.8,229.5,3.82M,1.44%
08/09/2025,229.7,236.4,237.5,224.6,3.58M,-5.47%
05/09/2025,243,243.8,247.1,239.1,2.99M,-0.21%
04/09/2025,243.5,244.3,245.5,240.7,2.11M,-0.53%
03/09/2025,244.8,240.6,245,235.1,2.58M,1.58%
02/09/2025,241,251.75,253,236.6,2.99M,-3.98%
01/09/2025,251,253.5,255,249.2,1.91M,-0.99%
29/08/2025,253.5,260,260.25,252.25,2.43M,-2.41%
28/08/2025,259.75,259,261.5,258.25,1.17M,0.39%
27/08/2025,258.75,261,262.25,257.75,1.66M,-0.29%
26/08/2025,259.5,263,263.75,259,2.41M,-1.52%
25/08/2025,263.5,263,265.5,261.5,1.92M,0.76%
22/08/2025,261.5,264.5,265.5,260,1.99M,-1.04%
21/08/2025,264.25,265,265.75,263,2.59M,0.28%
20/08/2025,263.5,261.25,264.25,256.5,4.86M,1.25%
19/08/2025,260.25,253.75,260.75,251.75,4.46M,3.27%
18/08/2025,252,251.75,253.75,247.2,1.90M,0.10%
15/08/2025,251.75,250.25,254.75,249.7,1.73M,0.60%
14/08/2025,250.25,254.5,257.75,250.25,1.86M,-2.25%
13/08/2025,256,260,260.25,255,1.84M,-1.25%
12/08/2025,259.25,262.5,263.25,258,1.70M,-0.67%
11/08/2025,261,259.5,262.75,257,2.73M,0.77%
08/08/2025,259,260,262,256,2.16M,-0.58%
07/08/2025,260.5,259.75,262.5,255.75,2.65M,0.77%
06/08/2025,258.5,252.75,260,252,4.04M,2.58%
05/08/2025,252,250,254,247.8,2.41M,1.41%
04/08/2025,248.5,243.1,249.4,241.9,3.09M,2.86%
01/08/2025,241.6,245.8,246.7,239.7,2.58M,-1.71%
31/07/2025,245.8,249,249.5,243.2,3.70M,-1.29%
30/07/2025,249,244,255.25,242.9,3.79M,0.20%
29/07/2025,248.5,254,255.75,248.5,1.84M,-2.17%
