Date,Price,Open,High,Low,Vol.,Change %
30/09/2025,315,321.25,323.75,314,33.49M,-1.33%
29/09/2025,319.25,318,324.5,316.5,37.56M,-0.16%
26/09/2025,319.75,329.25,329.5,319.25,54.51M,-2.59%
25/09/2025,328.25,325.5,332.5,325.5,39.07M,1.31%
24/09/2025,324,326,327.5,317.75,42.76M,-0.23%
23/09/2025,324.75,323,327.5,320,40.02M,-0.38%
22/09/2025,326,327.5,330.25,324.5,43.89M,1.95%
19/09/2025,319.75,319,322,313.25,43.87M,0.63%
18/09/2025,317.75,323,326,317,34.92M,-1.17%
17/09/2025,321.5,327,327.25,321.25,34.23M,-1.68%
16/09/2025,327,331.5,331.5,325,40.23M,-1.43%
15/09/2025,331.75,313.25,332.5,310.25,52.03M,5.65%
12/09/2025,314,315.25,316.5,311,21.18M,-0.63%
11/09/2025,316,323.25,324.75,314.5,30.02M,-2.02%
10/09/2025,322.5,318.25,322.75,312.5,34.82M,1.82%
09/09/2025,316.75,310.75,320.75,310.5,40.49M,2.51%
08/09/2025,309,313.25,315.5,307.5,27.59M,-3.29%
05/09/2025,319.5,324,327.5,319,27.20M,-0.93%
04/09/2025,322.5,329.5,334,321.25,35.18M,-2.05%
03/09/2025,329.25,326.25,333.25,319.5,32.67M,0.53%
02/09/2025,327.5,335.5,336,316.5,35.96M,-1.96%
01/09/2025,334.06,331.58,336.78,331.34,17.82M,0.75%
29/08/2025,331.58,336.78,337.03,330.35,18.35M,-1.47%
28/08/2025,336.53,335.54,340.74,334.31,20.69M,0.37%
27/08/2025,335.3,341.48,342.47,335.05,22.12M,-1.38%
26/08/2025,340,335.3,342.72,334.31,34.87M,0.52%
25/08/2025,338.25,338.25,341.25,336.25,29.97M,0.22%
22/08/2025,337.5,337.5,339,334,23.04M,0.15%
21/08/2025,337,340,341.5,335.75,26.33M,-0.52%
20/08/2025,338.75,338.5,340.5,334,25.99M,0.07%
19/08/2025,338.5,334.75,339.5,330,33.94M,1.35%
18/08/2025,334,331.25,335.25,329,24.01M,0.91%
15/08/2025,331,326.25,331.25,324.75,24.85M,1.53%
14/08/2025,326,322.5,331.25,322.25,35.98M,0.54%
13/08/2025,324.25,320.75,325,317.25,31.59M,1.49%
12/08/2025,319.5,315.25,321.75,311.75,41.17M,1.19%
11/08/2025,315.75,316.75,317.75,311.75,34.54M,0.48%
08/08/2025,314.25,309.5,314.75,309.25,34.23M,1.70%
07/08/2025,309,309.75,311.75,306,40.81M,0.16%
06/08/2025,308.5,298.5,311.25,298,70.87M,4.40%
05/08/2025,295.5,296.25,298,295.25,22.23M,0.34%
04/08/2025,294.5,291,296.5,290.5,36.50M,1.99%
01/08/2025,288.75,288.5,290.75,286.75,29.06M,0.26%
31/07/2025,288,288.5,289.75,286,28.39M,0.26%
30/07/2025,287.25,285.5,289,285.25,22.92M,0.70%
29/07/2025,285.25,290,291,285.25,19.62M,-1.72%
28/07/2025,290.25,293.75,294.5,290,18.00M,-0.94%
25/07/2025,293,296.25,297,293,15.14M,-1.01%
24/07/2025,296,296,298.75,293.25,27.44M,0.51%
23/07/2025,294.5,298.75,299.5,293.75,24.71M,-0.93%
22/07/2025,297.25,294.5,298.25,294.5,37.36M,1.11%
21/07/2025,294,290.75,295.5,290.5,31.05M,1.73%
18/07/2025,289,289.5,291.75,287.5,33.28M,-0.09%
17/07/2025,289.25,289.5,290.5,285,29.73M,1.49%
16/07/2025,285,291,293.25,280.5,40.61M,-2.06%
14/07/2025,291,293.25,295.25,290.75,32.57M,-0.68%
11/07/2025,293,296,297,290.75,34.15M,0.69%
10/07/2025,291,289.5,293.25,289.25,34.80M,1.48%
09/07/2025,286.75,281.5,287.5,281.25,23.30M,2.23%
08/07/2025,280.5,289.25,291.25,279,30.03M,-2.43%
07/07/2025,287.5,288.5,291.25,286.5,22.48M,-1.79%
04/07/2025,292.75,292.25,295.25,291.25,22.88M,0.43%
03/07/2025,291.5,295,295.75,291,24.80M,0.17%
02/07/2025,291,290.75,296,288.5,36.96M,0.17%
01/07/2025,290.5,284.25,292.5,282.75,37.39M,2.47%
30/06/2025,283.5,269.25,284,268.5,60.84M,5.88%
27/06/2025,267.75,265.25,269.75,263.25,25.14M,0.94%
26/06/2025,265.25,271.75,272.75,265,17.08M,-2.30%
25/06/2025,271.5,275.5,275.75,270.5,23.66M,-1.09%
24/06/2025,274.5,270,275.75,265,60.71M,8.50%
23/06/2025,253,253,254,249.2,27.92M,-1.46%
20/06/2025,256.75,257.25,258.5,254,19.88M,1.88%
19/06/2025,252,258,259.5,252,20.78M,-2.04%
18/06/2025,257.25,260.25,260.75,256,27.51M,-1.72%
17/06/2025,261.75,265.25,266,261.5,21.06M,-1.32%
16/06/2025,265.25,263.5,268.25,259.5,28.02M,1.90%
13/06/2025,260.31,259.07,263.02,255.13,37.72M,-5.38%
12/06/2025,275.11,283.25,283.5,274.37,34.29M,-4.04%
11/06/2025,286.71,287.2,288.19,285.48,21.09M,-0.17%
10/06/2025,287.2,285.23,289.42,285.23,28.56M,0.25%
05/06/2025,286.5,285.75,287,284.75,5.31M,-0.17%
04/06/2025,287,283.25,287.5,281.75,21.15M,1.15%
03/06/2025,283.75,278,284.25,277.75,22.25M,2.90%
02/06/2025,275.75,272.5,276.5,272,23.23M,0.91%
30/05/2025,273.25,279,280.25,273,24.84M,-1.89%
29/05/2025,278.5,278.75,281,277.25,24.12M,0.72%
28/05/2025,276.5,275.5,279,274.5,21.46M,0.55%
27/05/2025,275,280.5,283,275,26.58M,-1.79%
26/05/2025,280,282.5,282.75,279.25,25.34M,0.09%
23/05/2025,279.75,283.5,286.25,279.75,35.29M,-1.58%
22/05/2025,284.25,283.5,287.5,278.25,49.32M,1.61%
21/05/2025,279.75,286.75,287,279.75,42.50M,-2.44%
20/05/2025,286.75,293.75,293.75,286,28.20M,-2.13%
16/05/2025,293,294,296.25,288.75,30.63M,-0.26%
15/05/2025,293.75,299.75,301,292.25,16.72M,-1.76%
14/05/2025,299,303.25,303.25,299,23.81M,-1.81%
13/05/2025,304.5,307.5,308.5,303,19.28M,-1.62%
12/05/2025,309.5,305.5,309.75,302.75,25.07M,5.27%
09/05/2025,294,285.5,296.5,285.5,27.74M,3.34%
08/05/2025,284.5,280.5,285.5,279,22.49M,2.06%
07/05/2025,278.75,290.5,291,276.25,27.15M,-4.46%
06/05/2025,291.75,294.25,296.25,291.25,15.72M,-0.77%
05/05/2025,294,295,296.5,287,19.28M,0.43%
02/05/2025,292.75,285.5,295,285.5,21.05M,2.99%
30/04/2025,284.25,298.75,300.25,283.25,33.32M,-4.53%
29/04/2025,297.75,305.5,306.25,297.75,28.40M,-4.80%
28/04/2025,312.75,318,318.75,312.75,16.15M,-1.57%
25/04/2025,317.75,322,323.5,317.75,16.26M,-1.17%
24/04/2025,321.5,322.25,323.5,318,16.09M,0.47%
22/04/2025,320,316.5,321.25,316.5,22.78M,1.59%
21/04/2025,315,319,320,314,18.77M,-1.25%
18/04/2025,319,323.5,323.75,317,17.56M,-1.39%
17/04/2025,323.5,320.5,325.25,320,29.68M,1.17%
16/04/2025,319.75,320,322.5,318,27.67M,-0.08%
15/04/2025,320,313.5,320.5,312.25,37.60M,2.15%
14/04/2025,313.25,312.75,315,311.75,23.82M,1.05%
11/04/2025,310,306.75,310,306,26.42M,1.31%
10/04/2025,306,314.75,315.25,306,27.58M,0.00%
09/04/2025,306,307,310.75,305.5,32.43M,-0.73%
08/04/2025,308.25,314,314.75,308.25,28.24M,-0.56%
07/04/2025,310,298.5,314,294.75,49.08M,1.72%
04/04/2025,304.75,305.75,308,303.75,24.78M,0.25%
03/04/2025,304,305.5,308.5,304,18.37M,-0.33%
02/04/2025,305,308.75,309.5,305,17.27M,-1.93%
28/03/2025,311,309.25,311.5,302.5,25.05M,0.81%
27/03/2025,308.5,315.25,316,308,30.78M,-0.40%
26/03/2025,309.75,309,313.75,307.75,30.94M,-0.72%
25/03/2025,312,308,315.25,306.5,43.12M,2.97%
24/03/2025,303,294.75,305.75,291.5,55.34M,6.04%
21/03/2025,285.75,306.25,306.75,282.25,52.55M,-7.22%
20/03/2025,308,302.75,316.25,302.75,54.15M,2.24%
19/03/2025,301.25,309,318.75,295,63.13M,-7.87%
18/03/2025,327,331,332,326.75,29.49M,-2.10%
17/03/2025,334,337.5,339,333.25,25.64M,-0.89%
14/03/2025,337,339.5,339.5,336,26.90M,-0.22%
13/03/2025,337.75,336,339.5,334.5,44.49M,1.27%
12/03/2025,333.5,333.25,336.5,332.25,31.57M,0.91%
11/03/2025,330.5,334,335,330.5,23.78M,-0.75%
10/03/2025,333,335.75,338.75,331.75,27.07M,-0.82%
07/03/2025,335.75,334.75,338.5,333.25,33.03M,-0.07%
06/03/2025,336,328.25,336,324.25,54.89M,2.99%
05/03/2025,326.25,319.5,326.75,319,47.80M,2.84%
04/03/2025,317.25,314.25,319.75,313.25,35.05M,0.87%
03/03/2025,314.5,311.25,319.75,309.75,49.15M,2.03%
28/02/2025,308.25,313,313.5,305.75,48.60M,-2.38%
27/02/2025,315.75,308.25,316.75,307.5,51.60M,2.43%
26/02/2025,308.25,305.75,310,305,25.83M,1.15%
25/02/2025,304.75,309.75,311.5,304.25,23.82M,-1.53%
24/02/2025,309.5,312.5,314.25,308.5,25.54M,0.08%
21/02/2025,309.25,316.25,317.5,305.5,39.09M,-2.06%
20/02/2025,315.75,318.75,325.25,315,33.19M,-0.79%
19/02/2025,318.25,324.75,326,317,32.68M,-2.08%
18/02/2025,325,320,327,318.5,41.07M,1.72%
17/02/2025,319.5,317.5,321.5,314.5,31.43M,0.87%
14/02/2025,316.75,319.75,323,315,26.20M,-0.78%
13/02/2025,319.25,320,321.5,318.5,22.66M,0.71%
12/02/2025,317,320,321.25,316,37.86M,-0.78%
11/02/2025,319.5,319.5,320,313.5,27.26M,-0.23%
10/02/2025,320.25,322.25,323.5,318.5,24.09M,-0.62%
07/02/2025,322.25,313.5,322.5,312,37.33M,2.79%
06/02/2025,313.5,306.5,316.25,306.5,38.13M,3.21%
05/02/2025,303.75,304.25,306.75,297.5,37.61M,0.08%
04/02/2025,303.5,314.75,316.25,303.25,39.06M,-3.27%
03/02/2025,313.75,315,318,311.75,35.29M,-1.03%
31/01/2025,317,313.25,317.75,313,32.12M,1.28%
