"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","139.80","138.30","140.00","137.50","28.65M","1.60%"
"29/09/2025","137.60","138.20","140.40","137.50","25.38M","-1.57%"
"26/09/2025","139.80","141.90","144.20","139.50","30.75M","-1.89%"
"25/09/2025","142.50","146.80","147.30","141.90","25.96M","-2.40%"
"24/09/2025","146.00","147.00","148.10","142.80","28.76M","-0.34%"
"23/09/2025","146.50","147.70","149.40","145.30","21.89M","-2.07%"
"22/09/2025","149.60","152.30","153.50","149.60","32.40M","1.08%"
"19/09/2025","148.00","144.00","148.30","143.40","31.86M","3.06%"
"18/09/2025","143.60","149.10","149.20","142.30","21.49M","-3.30%"
"17/09/2025","148.50","149.60","150.20","148.10","29.19M","-0.87%"
"16/09/2025","149.80","146.60","149.90","145.40","40.93M","2.39%"
"15/09/2025","146.30","137.20","146.50","134.70","78.43M","6.09%"
"12/09/2025","137.90","138.00","138.80","135.40","23.42M","0.07%"
"11/09/2025","137.80","141.90","147.30","137.70","58.44M","-2.89%"
"10/09/2025","141.90","139.40","141.90","137.80","26.88M","2.75%"
"09/09/2025","138.10","137.60","139.40","134.90","34.33M","0.95%"
"08/09/2025","136.80","136.60","139.20","135.00","20.65M","-1.44%"
"05/09/2025","138.80","139.40","143.00","136.70","40.50M","0.29%"
"04/09/2025","138.40","134.60","139.40","134.40","33.17M","3.44%"
"03/09/2025","133.80","141.00","141.20","132.70","36.48M","-4.84%"
"02/09/2025","140.60","146.60","149.90","136.00","57.82M","-3.70%"
"01/09/2025","146.00","144.10","147.90","144.10","24.58M","1.32%"
"29/08/2025","144.10","146.10","146.60","143.30","20.07M","-1.17%"
"28/08/2025","145.80","145.10","147.40","145.10","14.67M","0.48%"
"27/08/2025","145.10","149.30","149.30","145.00","20.05M","-2.49%"
"26/08/2025","148.80","147.90","150.00","147.10","15.69M","0.47%"
"25/08/2025","148.10","151.00","152.00","148.10","21.00M","-1.00%"
"22/08/2025","149.60","148.30","149.80","146.00","30.75M","1.01%"
"21/08/2025","148.10","146.90","148.70","146.00","22.33M","1.51%"
"20/08/2025","145.90","142.60","146.70","142.40","19.94M","2.03%"
"19/08/2025","143.00","141.80","143.00","141.60","17.54M","1.42%"
"18/08/2025","141.00","142.70","142.80","140.00","18.32M","-1.33%"
"15/08/2025","142.90","144.60","145.00","142.60","18.31M","-1.18%"
"14/08/2025","144.60","147.60","148.80","144.30","17.26M","-2.36%"
"13/08/2025","148.10","146.50","149.20","146.40","17.29M","1.23%"
"12/08/2025","146.30","146.60","148.00","146.00","13.73M","-0.14%"
"11/08/2025","146.50","148.00","148.70","146.20","13.74M","0.00%"
"08/08/2025","146.50","148.50","149.10","146.50","13.53M","-1.28%"
"07/08/2025","148.40","150.50","152.70","148.40","23.21M","-0.80%"
"06/08/2025","149.60","150.70","151.80","147.30","23.02M","-0.27%"
"05/08/2025","150.00","151.30","152.70","149.60","15.86M","-1.19%"
"04/08/2025","151.80","146.90","154.50","146.60","30.89M","4.33%"
"01/08/2025","145.50","142.50","145.70","142.30","21.67M","1.89%"
"31/07/2025","142.80","143.40","144.60","141.80","22.14M","0.28%"
"30/07/2025","142.40","139.00","142.50","138.40","27.10M","2.45%"
"29/07/2025","139.00","137.60","140.20","137.30","14.95M","1.31%"
"28/07/2025","137.20","141.00","141.30","137.00","13.70M","-2.00%"
"25/07/2025","140.00","139.80","141.60","139.30","17.88M","0.21%"
"24/07/2025","139.70","141.30","145.30","139.40","48.22M","-0.43%"
"23/07/2025","140.30","140.10","141.80","137.50","22.39M","0.65%"
"22/07/2025","139.40","143.30","144.80","138.60","27.91M","-2.52%"
"21/07/2025","143.00","139.70","143.40","139.60","22.89M","2.88%"
"18/07/2025","139.00","141.50","141.90","138.70","18.01M","-1.84%"
"17/07/2025","141.60","135.20","141.60","134.10","29.61M","5.75%"
"16/07/2025","133.90","137.20","138.00","132.10","26.47M","-2.62%"
"14/07/2025","137.50","141.70","141.80","137.30","18.85M","-3.31%"
"11/07/2025","142.20","143.00","144.40","141.10","28.27M","0.21%"
"10/07/2025","141.90","141.30","142.90","140.70","36.35M","1.65%"
"09/07/2025","139.60","137.30","140.20","136.10","41.83M","1.68%"
"08/07/2025","137.30","137.60","138.50","135.50","28.59M","0.66%"
"07/07/2025","136.40","135.60","138.10","134.60","20.83M","-0.73%"
"04/07/2025","137.40","136.20","137.70","134.60","19.26M","1.33%"
"03/07/2025","135.60","142.00","143.90","135.10","40.69M","-2.38%"
"02/07/2025","138.90","137.00","140.20","135.50","35.76M","1.46%"
"01/07/2025","136.90","135.00","138.30","134.90","34.20M","1.41%"
"30/06/2025","135.00","124.50","135.00","124.20","48.83M","9.93%"
"27/06/2025","122.80","118.90","123.20","118.00","34.53M","3.37%"
"26/06/2025","118.80","119.40","121.60","118.80","24.52M","-0.67%"
"25/06/2025","119.60","120.40","120.80","118.70","21.68M","-0.33%"
"24/06/2025","120.00","120.00","122.20","119.40","37.51M","4.17%"
"23/06/2025","115.20","113.60","116.50","113.50","19.27M","-0.09%"
"20/06/2025","115.30","113.80","116.40","113.70","23.06M","2.67%"
"19/06/2025","112.30","115.90","116.80","112.20","28.41M","-1.92%"
"18/06/2025","114.50","115.00","116.70","113.90","22.35M","-0.52%"
"17/06/2025","115.10","117.40","117.90","115.00","25.38M","-1.96%"
"16/06/2025","117.40","117.70","119.80","116.20","33.03M","0.17%"
"13/06/2025","117.20","113.50","117.20","112.00","30.12M","-1.51%"
"12/06/2025","119.00","119.70","121.50","118.70","22.83M","-1.73%"
"11/06/2025","121.10","121.90","123.50","120.80","27.22M","-0.98%"
"10/06/2025","122.30","118.00","123.00","116.60","54.84M","5.34%"
"05/06/2025","116.10","114.80","116.10","114.50","9.14M","0.35%"
"04/06/2025","115.70","113.70","115.90","113.60","24.21M","1.49%"
"03/06/2025","114.00","109.50","116.70","109.40","45.76M","5.75%"
"02/06/2025","107.80","106.00","108.30","105.30","27.80M","1.79%"
"30/05/2025","105.90","109.50","109.90","105.00","36.47M","-3.38%"
"29/05/2025","109.60","112.00","112.60","109.30","20.46M","-1.44%"
"28/05/2025","111.20","110.40","111.20","109.10","12.02M","0.72%"
"27/05/2025","110.40","111.80","113.00","109.80","11.92M","-1.25%"
"26/05/2025","111.80","112.00","112.30","109.20","14.37M","0.90%"
"23/05/2025","110.80","112.20","113.80","110.40","19.88M","-1.42%"
"22/05/2025","112.40","112.10","114.40","111.00","27.69M","1.08%"
"21/05/2025","111.20","111.60","113.70","111.00","17.44M","-0.80%"
"20/05/2025","112.10","113.30","114.40","112.10","25.32M","-1.06%"
"16/05/2025","113.30","110.10","114.00","109.00","21.13M","2.91%"
"15/05/2025","110.10","113.40","114.50","109.40","20.37M","-3.08%"
"14/05/2025","113.60","109.00","114.40","108.40","29.77M","3.56%"
"13/05/2025","109.70","106.00","110.30","105.90","38.11M","3.10%"
"12/05/2025","106.40","104.20","106.90","103.60","31.76M","5.14%"
"09/05/2025","101.20","100.80","102.10","98.75","37.67M","0.50%"
"08/05/2025","100.70","100.20","101.30","99.50","25.52M","0.80%"
"07/05/2025","99.90","101.60","101.80","99.25","28.53M","-1.67%"
"06/05/2025","101.60","101.30","103.80","100.90","29.21M","0.20%"
"05/05/2025","101.40","104.30","104.40","101.20","16.32M","-1.84%"
"02/05/2025","103.30","103.80","104.80","102.90","19.42M","0.58%"
