Date,Price,Open,High,Low,Vol.,Change %
30/09/2025,409.5,412,412,409.5,17.48K,0.55%
29/09/2025,407.25,438,438,399,35.10K,-7.55%
26/09/2025,440.5,449.75,449.75,440.5,17.47K,-4.24%
25/09/2025,460,467.75,467.75,459,13.72K,-1.76%
24/09/2025,468.25,480,480,468.25,16.29K,-2.45%
23/09/2025,480,490,490,477.25,19.44K,-2.04%
22/09/2025,490,490,501,490,19.08K,0.15%
19/09/2025,489.25,485,489.25,485,14.63K,-2.15%
18/09/2025,500,477,500,477,24.11K,4.82%
17/09/2025,477,482.75,482.75,475,20.87K,-1.34%
16/09/2025,483.5,493.5,493.75,483.5,32.06K,-7.02%
15/09/2025,520,489,529.5,489,29.64K,6.12%
12/09/2025,490,501,501,490,18.49K,-9.84%
11/09/2025,543.5,543.5,545,543.5,29.40K,-0.82%
10/09/2025,548,520,548,520,29.98K,8.30%
09/09/2025,506,490.25,506,490.25,21.48K,6.08%
08/09/2025,477,455,477,455,31.65K,0.00%
05/09/2025,477,512.5,512.5,477,67.95K,-10.00%
04/09/2025,530,478,530,478,122.75K,-0.19%
03/09/2025,531,590,590,531,50.13K,-25.68%
14/08/2025,714.5,714.5,714.5,714.5,107.66K,-9.96%
13/08/2025,793.5,793.5,793.5,793.5,44.95K,-9.98%
12/08/2025,881.5,"1,030.00","1,030.00",881.5,94.78K,-9.96%
11/08/2025,979,979,979,979,87.23K,10.00%
08/08/2025,890,890,890,890,50.87K,9.94%
07/08/2025,809.5,809.5,809.5,809.5,20.66K,9.99%
06/08/2025,736,736,736,736,43.44K,9.93%
05/08/2025,669.5,669.5,669.5,669.5,144.02K,9.93%
04/08/2025,609,609,609,609,25.76K,9.93%
01/08/2025,554,554,554,554,32.23K,9.92%
31/07/2025,504,504,504,504,28.67K,9.92%
30/07/2025,458.5,458.5,458.5,458.5,32.31K,9.95%
29/07/2025,417,400,417,400,13.48K,6.92%
28/07/2025,390,380.25,390,380.25,16.06K,3.59%
25/07/2025,376.5,400.25,400.25,376.5,13.89K,-5.93%
24/07/2025,400.25,400.25,400.25,400.25,20.09K,0.06%
23/07/2025,400,420,420.75,400,46.41K,2.30%
22/07/2025,391,439,439,381.25,88.08K,-2.07%
21/07/2025,399.25,399.25,399.25,399.25,32.74K,9.99%
18/07/2025,363,363,363,363,22.70K,10.00%
17/07/2025,330,325,330,325,21.02K,5.43%
16/07/2025,313,299.5,313,299.5,18.27K,6.01%
14/07/2025,295.25,291.75,295.25,291.75,10.24K,1.37%
11/07/2025,291.25,283,291.25,283,9.43K,2.92%
10/07/2025,283,281,283.5,281,8.39K,0.71%
09/07/2025,281,276,281,276,14.27K,2.93%
08/07/2025,273,268,273,268,5.80K,2.25%
07/07/2025,267,266.5,267,265,19.30K,-3.09%
04/07/2025,275.5,280,280,273.5,6.50K,-2.65%
