"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","26.34","26.82","27.04","26.14","46.08M","-2.44%"
"29/09/2025","27.00","27.14","27.70","26.64","68.86M","0.90%"
"26/09/2025","26.76","28.64","28.64","26.64","89.33M","-6.82%"
"25/09/2025","28.72","28.70","29.10","28.14","75.10M","1.70%"
"24/09/2025","28.24","28.70","29.30","27.68","95.20M","-0.63%"
"23/09/2025","28.42","28.50","29.74","28.40","118.07M","-1.73%"
"22/09/2025","28.92","29.08","29.08","28.32","134.03M","9.38%"
"19/09/2025","26.44","25.76","26.50","25.60","34.46M","3.28%"
"18/09/2025","25.60","26.00","26.28","25.44","26.49M","-0.85%"
"17/09/2025","25.82","26.06","26.60","25.80","29.99M","-1.00%"
"16/09/2025","26.08","25.82","26.20","25.60","28.76M","1.09%"
"15/09/2025","25.80","23.96","25.88","23.84","59.43M","7.05%"
"12/09/2025","24.10","23.66","24.18","23.38","29.04M","1.86%"
"11/09/2025","23.66","24.74","25.12","23.66","55.76M","-4.37%"
"10/09/2025","24.74","24.80","24.82","24.28","29.15M","1.06%"
"09/09/2025","24.48","24.40","24.68","24.12","28.02M","0.91%"
"08/09/2025","24.26","24.52","24.60","23.96","24.01M","-2.88%"
"05/09/2025","24.98","25.44","25.70","24.84","33.72M","-1.42%"
"04/09/2025","25.34","24.58","25.34","24.58","28.31M","3.43%"
"03/09/2025","24.50","26.12","26.16","24.50","27.12M","-6.06%"
"02/09/2025","26.08","27.14","27.42","25.00","32.90M","-3.76%"
"01/09/2025","27.10","26.82","27.28","26.76","18.53M","1.27%"
"29/08/2025","26.76","27.30","27.42","26.72","24.77M","-1.83%"
"28/08/2025","27.26","27.28","27.58","27.20","18.95M","0.07%"
"27/08/2025","27.24","28.10","28.14","27.16","22.37M","-2.85%"
"26/08/2025","28.04","28.14","28.36","27.98","29.76M","-0.71%"
"25/08/2025","28.24","28.28","28.60","28.12","29.97M","0.71%"
"22/08/2025","28.04","27.82","28.06","27.64","31.08M","1.01%"
"21/08/2025","27.76","27.62","27.84","27.42","30.13M","1.46%"
"20/08/2025","27.36","26.84","27.52","26.74","45.87M","1.94%"
"19/08/2025","26.84","27.14","27.68","26.76","31.70M","-0.81%"
"18/08/2025","27.06","27.38","27.38","27.00","17.38M","-0.73%"
"15/08/2025","27.26","27.46","27.46","27.02","24.38M","-0.58%"
"14/08/2025","27.42","27.14","27.84","27.14","25.20M","0.73%"
"13/08/2025","27.22","27.16","27.54","27.12","17.21M","0.37%"
"12/08/2025","27.12","27.52","27.60","27.06","15.38M","-1.38%"
"11/08/2025","27.50","28.10","28.30","27.14","42.72M","-0.87%"
"08/08/2025","27.74","28.26","28.38","27.72","18.46M","-1.84%"
"07/08/2025","28.26","28.38","28.64","28.20","25.12M","-0.07%"
"06/08/2025","28.28","28.90","29.16","28.14","33.76M","-2.55%"
"05/08/2025","29.02","28.10","29.18","27.92","52.54M","3.64%"
"04/08/2025","28.00","28.30","28.80","28.00","35.59M","-0.64%"
"01/08/2025","28.18","28.00","28.40","27.92","25.21M","0.36%"
"31/07/2025","28.08","27.22","28.82","27.22","46.21M","3.31%"
"30/07/2025","27.18","27.06","27.34","26.94","26.06M","0.52%"
"29/07/2025","27.04","26.60","27.06","26.60","24.73M","1.65%"
"28/07/2025","26.60","26.86","27.06","26.54","21.11M","-0.60%"
"25/07/2025","26.76","26.76","27.06","26.54","32.61M","-0.45%"
"24/07/2025","26.88","26.70","27.38","26.54","66.53M","1.05%"
"23/07/2025","26.60","26.82","26.96","26.46","35.13M","-0.45%"
"22/07/2025","26.72","26.84","27.42","26.40","48.76M","-0.07%"
"21/07/2025","26.74","26.40","26.80","26.38","38.02M","1.83%"
"18/07/2025","26.26","26.32","26.70","26.14","32.82M","-0.15%"
"17/07/2025","26.30","25.80","26.42","25.74","49.13M","2.90%"
"16/07/2025","25.56","26.20","26.36","25.16","43.60M","-2.44%"
"14/07/2025","26.20","27.22","27.30","26.20","37.59M","-4.52%"
"11/07/2025","27.44","27.00","27.58","26.70","66.04M","2.62%"
"10/07/2025","26.74","27.50","27.64","26.68","54.57M","2.77%"
"09/07/2025","26.02","25.90","26.32","25.64","43.38M","0.54%"
"08/07/2025","25.88","26.54","26.72","25.68","29.79M","-1.22%"
"07/07/2025","26.20","26.42","26.94","26.12","31.36M","-2.09%"
"04/07/2025","26.76","26.90","27.32","26.48","43.53M","-0.59%"
"03/07/2025","26.92","25.64","27.34","24.86","100.93M","6.49%"
"02/07/2025","25.28","24.66","25.38","24.66","93.00M","2.76%"
"01/07/2025","24.60","24.36","24.74","24.12","65.52M","1.15%"
"30/06/2025","24.32","23.48","25.12","23.46","124.40M","4.11%"
"27/06/2025","23.36","23.88","24.14","23.08","51.29M","-2.18%"
"26/06/2025","23.88","23.58","24.66","23.58","54.94M","1.27%"
"25/06/2025","23.58","22.26","24.00","22.18","58.61M","5.74%"
"24/06/2025","22.30","22.10","22.42","21.70","39.98M","5.19%"
"23/06/2025","21.20","20.52","21.40","20.40","26.66M","1.92%"
"20/06/2025","20.80","20.40","20.82","20.38","17.37M","3.28%"
"19/06/2025","20.14","20.24","20.46","20.02","22.85M","0.00%"
"18/06/2025","20.14","20.26","20.50","19.87","21.64M","-1.56%"
"17/06/2025","20.46","20.16","20.66","19.94","26.33M","1.39%"
"16/06/2025","20.18","20.00","20.44","19.83","36.35M","0.60%"
"13/06/2025","20.06","19.42","20.12","19.41","42.49M","-4.48%"
"12/06/2025","21.00","21.00","21.20","20.80","21.96M","-1.32%"
"11/06/2025","21.28","21.24","21.42","21.12","26.44M","-0.09%"
"10/06/2025","21.30","20.80","21.46","20.80","39.31M","3.20%"
"05/06/2025","20.64","20.30","20.82","20.28","13.97M","0.98%"
"04/06/2025","20.44","20.24","20.48","20.24","20.71M","0.59%"
"03/06/2025","20.32","19.77","20.44","19.77","52.38M","3.94%"
"02/06/2025","19.55","19.43","19.90","19.13","44.12M","0.62%"
"30/05/2025","19.43","20.36","20.42","19.40","44.15M","-4.75%"
"29/05/2025","20.40","20.74","20.90","20.34","22.57M","-0.68%"
"28/05/2025","20.54","20.52","20.70","20.28","24.56M","0.10%"
"27/05/2025","20.52","20.78","20.96","20.42","24.55M","-1.72%"
"26/05/2025","20.88","20.82","21.24","20.58","41.74M","0.97%"
"23/05/2025","20.68","20.80","21.18","20.60","32.93M","-1.05%"
"22/05/2025","20.90","20.76","21.20","20.70","51.99M","1.16%"
"21/05/2025","20.66","21.34","21.34","20.52","52.87M","-4.09%"
"20/05/2025","21.54","21.68","21.90","21.48","36.02M","-0.09%"
"16/05/2025","21.56","21.30","21.66","21.04","41.23M","1.03%"
"15/05/2025","21.34","22.16","22.50","21.30","50.94M","-3.96%"
"14/05/2025","22.22","21.88","22.88","21.72","92.82M","1.46%"
"13/05/2025","21.90","21.94","22.26","21.60","80.56M","-0.18%"
"12/05/2025","21.94","20.98","21.98","20.64","80.38M","8.29%"
"09/05/2025","20.26","20.10","20.44","19.87","44.96M","1.10%"
