Date,Price,Open,High,Low,Vol.,Change %
30/09/2025,14.15,14.18,14.31,13.93,389.92M,0.0028
29/09/2025,14.11,13.9,14.35,13.9,364.03M,-0.0028
26/09/2025,14.15,14.52,14.59,13.99,448.15M,-0.0275
25/09/2025,14.55,14.77,14.78,14.52,251.44M,-0.0089
24/09/2025,14.68,14.88,15.05,14.23,711.69M,-0.0114
23/09/2025,14.85,14.87,15.01,14.76,405.33M,-0.023
22/09/2025,15.2,15.43,15.51,15.2,477.29M,0.0086
19/09/2025,15.07,14.55,15.13,14.47,673.42M,0.0429
18/09/2025,14.45,15.09,15.09,14.44,462.23M,-0.0379
17/09/2025,15.02,14.95,15.05,14.83,556.25M,0.006
16/09/2025,14.93,14.88,14.99,14.65,684.09M,0.004
15/09/2025,14.87,13.95,15.04,13.8,1.04B,0.0659
12/9/2025,13.95,13.86,14,13.54,433.71M,0.0087
11/9/2025,13.83,13.92,14.72,13.77,1.09B,-0.0079
10/9/2025,13.94,13.75,13.97,13.54,411.55M,0.0227
9/9/2025,13.63,13.47,13.67,13.26,568.24M,0.0172
8/9/2025,13.4,13.39,13.65,13.23,350.49M,-0.0212
5/9/2025,13.69,13.65,14.25,13.36,821.68M,0.0081
4/9/2025,13.58,13.17,13.65,13.05,646.45M,0.0359
3/9/2025,13.11,13.85,13.86,12.97,617.83M,-0.0507
2/9/2025,13.81,14.89,15.14,13.37,1.30B,-0.0688
1/9/2025,14.83,15.05,15.21,14.68,510.04M,-0.0146
29/08/2025,15.05,15.14,15.25,15,297.12M,-0.0059
28/08/2025,15.14,15.13,15.29,15.07,247.64M,0.002
27/08/2025,15.11,15.33,15.34,15.02,265.06M,-0.0131
26/08/2025,15.31,15.12,15.35,15.03,363.30M,0.0106
25/08/2025,15.15,15.46,15.46,15.14,271.58M,-0.0072
22/08/2025,15.26,15.17,15.31,15.05,372.04M,0.0073
21/08/2025,15.15,14.88,15.2,14.79,504.99M,0.0334
20/08/2025,14.66,14.41,14.75,14.35,413.66M,0.0152
19/08/2025,14.44,14.45,14.58,14.37,212.03M,0.0014
18/08/2025,14.42,14.54,14.58,14.3,199.01M,-0.0069
15/08/2025,14.52,14.46,14.61,14.42,189.42M,0.0055
14/08/2025,14.44,14.7,14.8,14.43,235.82M,-0.0197
13/08/2025,14.73,14.74,14.93,14.73,207.73M,0
12/8/2025,14.73,14.87,14.97,14.73,198.32M,-0.0094
11/8/2025,14.87,15,15.05,14.87,190.47M,-0.0027
8/8/2025,14.91,15.12,15.17,14.91,220.93M,-0.0152
7/8/2025,15.14,15.08,15.33,15.07,358.73M,0.0073
6/8/2025,15.03,15.23,15.24,14.97,380.76M,-0.0183
5/8/2025,15.31,15.16,15.32,15.11,341.12M,0.0112
4/8/2025,15.14,15.04,15.49,15.04,493.35M,0.0141
1/8/2025,14.93,14.78,14.94,14.63,302.89M,0.0074
31/07/2025,14.82,14.58,14.84,14.55,346.92M,0.0221
30/07/2025,14.5,14.27,14.56,14.26,328.48M,0.0133
29/07/2025,14.31,14.32,14.5,14.28,289.95M,0
28/07/2025,14.31,14.67,14.7,14.27,262.59M,-0.0212
25/07/2025,14.62,14.72,14.75,14.54,230.50M,-0.0054
24/07/2025,14.7,14.48,14.89,14.37,697.36M,0.0201
23/07/2025,14.41,14.58,14.62,14.33,334.60M,-0.0103
22/07/2025,14.56,14.89,14.89,14.53,382.58M,-0.0215
21/07/2025,14.88,14.7,15.03,14.69,385.17M,0.0206
18/07/2025,14.58,14.63,14.7,14.46,274.12M,-0.0041
17/07/2025,14.64,14.3,14.7,14.12,541.83M,0.039
16/07/2025,14.09,14.34,14.52,13.82,505.06M,-0.0323
14/07/2025,14.56,14.94,14.95,14.51,344.82M,-0.0287
11/7/2025,14.99,15.1,15.19,14.72,466.18M,0.0027
10/7/2025,14.95,14.55,15.05,14.55,542.95M,0.0411
9/7/2025,14.36,14.03,14.46,13.9,572.29M,0.0235
8/7/2025,14.03,13.95,14.07,13.75,476.14M,0.0152
7/7/2025,13.82,13.88,14.1,13.78,425.82M,-0.0206
4/7/2025,14.11,13.89,14.15,13.74,360.96M,0.0173
3/7/2025,13.87,14.17,14.36,13.71,588.95M,-0.0036
2/7/2025,13.92,13.73,14.15,13.62,718.11M,0.0161
1/7/2025,13.7,13.41,13.88,13.35,760.79M,0.0262
30/06/2025,13.35,12.32,13.35,12.21,1.23B,0.0988
27/06/2025,12.15,11.67,12.28,11.53,507.49M,0.0402
26/06/2025,11.68,11.66,11.77,11.65,284.32M,-0.0009
25/06/2025,11.69,11.73,11.73,11.6,281.55M,-0.0026
24/06/2025,11.72,11.8,11.88,11.56,549.96M,0.0326
23/06/2025,11.35,11.32,11.47,11.24,304.80M,-0.0053
20/06/2025,11.41,11.4,11.51,11.29,320.14M,0.0124
19/06/2025,11.27,11.55,11.68,11.26,353.36M,-0.0174
18/06/2025,11.47,11.38,11.62,11.33,297.66M,0.007
