Date,Price,Open,High,Low,Vol.,Change %
30/09/2025,25.6,25.88,25.92,25.26,38.64M,-0.0062
29/09/2025,25.76,26.18,26.4,25.7,29.61M,-0.0153
26/09/2025,26.16,27.4,27.4,26.14,36.74M,-0.0446
25/09/2025,27.38,27.52,27.78,27.2,45.91M,0.0007
24/09/2025,27.36,27.5,27.54,26.76,43.60M,-0.0007
23/09/2025,27.38,27.8,27.98,27.34,61.00M,-0.0221
22/09/2025,28,28.68,29.02,28,138.32M,0.0212
19/09/2025,27.42,27.2,27.52,27.06,56.80M,0.0111
18/09/2025,27.12,27.6,27.66,27.12,43.75M,-0.0102
17/09/2025,27.4,28.76,28.76,27.4,97.34M,-0.0486
16/09/2025,28.8,28.48,28.8,28.22,15.25M,0.0112
15/09/2025,28.48,26.48,28.64,25.98,33.10M,0.0699
12/09/2025,26.62,26.3,26.7,26.08,23.48M,0.0122
11/09/2025,26.3,27.16,27.78,26.28,28.42M,-0.0317
10/09/2025,27.16,26.72,27.2,26.48,19.17M,0.0195
09/09/2025,26.64,26.28,26.8,26.1,19.47M,0.0168
08/09/2025,26.2,26.3,26.7,25.94,18.62M,-0.0339
05/09/2025,27.12,27.64,27.84,26.98,26.76M,-0.0117
04/09/2025,27.44,26.68,27.76,26.54,20.11M,0.0347
03/09/2025,26.52,28.44,28.44,26.44,20.01M,-0.0629
02/09/2025,28.3,28.92,29.46,26.74,30.20M,-0.0194
01/09/2025,28.86,28.82,29.18,28.56,11.56M,0.0021
29/08/2025,28.8,29.02,29.18,28.6,15.27M,-0.0069
28/08/2025,29,29.02,29.3,28.86,15.80M,-0.0041
27/08/2025,29.12,29.78,29.84,28.84,17.60M,-0.0222
26/08/2025,29.78,29.42,30.1,29.3,29.46M,0.0122
25/08/2025,29.42,29.5,29.74,29.34,23.39M,0.0152
22/08/2025,28.98,28.74,29,28.42,19.24M,0.0105
21/08/2025,28.68,28.44,28.76,28.38,19.88M,0.0156
20/08/2025,28.24,27.68,28.36,27.54,21.59M,0.021
19/08/2025,27.66,27.24,27.9,26.98,16.29M,0.0199
18/08/2025,27.12,27.32,27.38,26.9,15.18M,-0.0051
15/08/2025,27.26,27.48,27.5,27.2,10.19M,-0.0073
14/08/2025,27.46,27.38,27.8,27.2,17.03M,0.0022
13/08/2025,27.4,27.74,28.04,27.4,15.02M,-0.0115
12/08/2025,27.72,28.16,28.3,27.62,17.52M,-0.0156
11/08/2025,28.16,28.98,29.12,28.08,19.16M,-0.0215
08/08/2025,28.78,29.24,29.48,28.74,21.89M,-0.0103
07/08/2025,29.08,29.7,29.76,29.08,25.29M,-0.0102
06/08/2025,29.38,29.36,29.64,28.74,15.31M,-0.0014
05/08/2025,29.42,29.44,29.72,29.02,21.18M,0.0041
04/08/2025,29.3,28.98,29.64,28.98,19.90M,0.0152
01/08/2025,28.86,28.62,29,28.52,11.63M,0.0014
31/07/2025,28.82,28.54,29.06,28.42,18.76M,0.0119
30/07/2025,28.48,28.32,28.64,28.26,16.13M,0.0064
29/07/2025,28.3,28.26,28.68,28,17.43M,0.0035
28/07/2025,28.2,29.48,29.52,28.1,16.14M,-0.0395
25/07/2025,29.36,29.42,29.46,28.72,22.76M,-0.002
24/07/2025,29.42,28.56,29.58,28.32,28.75M,0.0352
23/07/2025,28.42,28.32,28.94,28.16,22.92M,0.0064
22/07/2025,28.24,28.42,28.78,28.14,26.33M,-0.0056
21/07/2025,28.4,28.16,28.48,28.14,21.87M,0.0136
18/07/2025,28.02,28.1,28.24,27.82,10.27M,0.0007
17/07/2025,28,27.02,28.02,27,19.35M,0.0432
16/07/2025,26.84,27.32,27.48,26.56,15.00M,-0.0183
14/07/2025,27.34,28.02,28.2,27.16,15.34M,-0.0264
11/07/2025,28.08,28.16,28.26,27.62,21.13M,0.0093
10/07/2025,27.82,28.26,28.46,27.82,33.81M,0.0102
09/07/2025,27.54,27.36,27.66,27.12,38.63M,0.0088
08/07/2025,27.3,27.52,27.64,26.8,15.61M,-0.0007
07/07/2025,27.32,27.14,27.74,27.1,15.80M,-0.0116
04/07/2025,27.64,27.5,27.96,27.36,27.73M,0.0058
03/07/2025,27.48,27.96,28.3,26.88,63.94M,0.0029
02/07/2025,27.4,26.76,27.52,26.7,44.60M,0.0278
01/07/2025,26.66,26.32,26.96,26.06,46.61M,0.0076
30/06/2025,26.46,24.68,26.6,24.66,56.81M,0.0809
27/06/2025,24.48,25.38,25.8,24.4,44.07M,-0.0347
26/06/2025,25.36,25.28,26.48,25.28,36.58M,0.0032
25/06/2025,25.28,24.76,25.66,24.44,43.31M,0.0235
24/06/2025,24.7,24.94,25.08,24.36,28.52M,0.024
23/06/2025,24.12,23.56,24.28,23.42,14.82M,0.0092
20/06/2025,23.9,23.78,24.22,23.74,11.59M,0.017
19/06/2025,23.5,23.88,24.18,23.38,16.91M,-0.0134
18/06/2025,23.82,23.78,24.04,23.48,9.83M,-0.0033
17/06/2025,23.9,23.68,26.1,23.38,21.89M,0.0067
16/06/2025,23.74,23.48,23.98,23.3,24.19M,0.0076
13/06/2025,23.56,22.28,23.8,22.28,20.78M,-0.0289
12/06/2025,24.26,24.36,24.54,24.02,10.43M,-0.0194
11/06/2025,24.74,24.8,24.92,24.6,13.84M,-0.008
10/06/2025,24.94,23.88,25.12,23.86,26.23M,0.0505
