"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","33.940","34.280","34.540","33.460","200.17M","-0.47%"
"29/09/2025","34.100","33.760","34.940","33.760","163.46M","-0.18%"
"26/09/2025","34.160","34.460","34.680","33.840","179.79M","-1.10%"
"25/09/2025","34.540","34.760","34.920","34.080","146.79M","-0.06%"
"24/09/2025","34.560","35.000","35.320","33.400","261.02M","-1.20%"
"23/09/2025","34.980","35.080","35.620","34.620","146.95M","-1.69%"
"22/09/2025","35.580","35.800","36.200","35.500","156.63M","2.60%"
"19/09/2025","34.680","33.700","34.840","33.320","267.60M","3.46%"
"18/09/2025","33.520","34.480","34.780","33.240","198.71M","-2.39%"
"17/09/2025","34.340","34.020","34.460","33.880","157.02M","0.88%"
"16/09/2025","34.040","33.100","34.100","32.740","263.04M","3.09%"
"15/09/2025","33.020","31.060","33.280","30.460","392.06M","6.17%"
"12/09/2025","31.100","31.060","31.280","30.320","185.33M","0.32%"
"11/09/2025","31.000","31.580","32.680","30.880","426.62M","-1.71%"
"10/09/2025","31.540","31.020","31.640","30.680","228.64M","2.27%"
"09/09/2025","30.840","30.220","30.980","29.820","210.02M","2.73%"
"08/09/2025","30.020","29.600","30.320","29.520","119.81M","-0.92%"
"05/09/2025","30.300","30.460","31.420","29.860","311.26M","0.26%"
"04/09/2025","30.220","29.460","30.480","29.200","329.53M","3.35%"
"03/09/2025","29.240","31.540","31.600","29.240","430.94M","-7.41%"
"02/09/2025","31.580","33.580","34.100","30.280","382.53M","-5.51%"
"01/09/2025","33.420","32.920","33.680","32.880","166.68M","1.64%"
"29/08/2025","32.880","33.360","33.600","32.680","126.98M","-1.26%"
"28/08/2025","33.300","33.340","33.720","33.240","100.25M","-0.06%"
"27/08/2025","33.320","34.160","34.180","33.300","111.53M","-2.23%"
"26/08/2025","34.080","33.800","34.440","33.620","166.11M","0.47%"
"25/08/2025","33.920","34.580","34.780","33.900","150.47M","-0.99%"
"22/08/2025","34.260","33.820","34.360","33.400","170.15M","1.36%"
"21/08/2025","33.800","33.400","33.800","33.180","167.49M","2.18%"
"20/08/2025","33.080","32.380","33.320","32.320","143.68M","2.16%"
"19/08/2025","32.380","32.500","32.840","32.160","101.99M","0.06%"
