"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","541.00","537.50","544.00","532.00","5.59M","1.12%"
"29/09/2025","535.00","526.00","545.00","525.00","6.53M","1.71%"
"26/09/2025","526.00","534.00","538.50","525.00","4.77M","-1.13%"
"25/09/2025","532.00","542.50","542.50","530.50","3.45M","-0.84%"
"24/09/2025","536.50","538.50","541.50","527.50","4.24M","-0.28%"
"23/09/2025","538.00","539.50","549.00","536.00","5.51M","-0.74%"
"22/09/2025","542.00","544.50","546.00","538.00","4.00M","1.88%"
"19/09/2025","532.00","514.50","532.50","514.00","7.44M","3.80%"
"18/09/2025","512.50","521.00","524.00","510.50","4.87M","-0.97%"
"17/09/2025","517.50","521.00","528.00","515.00","4.76M","-0.67%"
"16/09/2025","521.00","521.50","530.43","517.53","7.09M","0.10%"
"15/09/2025","520.50","486.27","522.49","483.79","8.92M","7.37%"
"12/09/2025","484.78","485.27","489.74","480.31","3.51M","-0.10%"
"11/09/2025","485.27","490.24","500.16","482.55","5.68M","-1.01%"
"10/09/2025","490.24","485.52","492.97","482.55","4.54M","0.82%"
"09/09/2025","486.25","487.75","500.50","483.25","8.09M","-0.15%"
"08/09/2025","487.00","510.00","511.00","486.50","5.73M","-5.44%"
"05/09/2025","515.00","518.00","522.50","511.00","3.76M","-0.19%"
"04/09/2025","516.00","510.50","523.00","508.50","4.58M","1.08%"
"03/09/2025","510.50","510.50","514.00","501.50","4.80M","0.20%"
"02/09/2025","509.50","531.50","535.50","505.00","6.53M","-3.78%"
"01/09/2025","529.50","530.00","530.00","520.00","3.81M","-0.09%"
"29/08/2025","530.00","536.00","537.00","522.50","5.59M","-1.12%"
"28/08/2025","536.00","533.00","545.00","532.50","4.81M","1.04%"
"27/08/2025","530.50","537.00","539.00","530.00","3.35M","-1.03%"
"26/08/2025","536.00","527.50","537.50","525.00","5.19M","1.80%"
"25/08/2025","526.50","528.50","533.50","526.00","3.45M","0.57%"
"22/08/2025","523.50","530.50","531.50","522.00","3.43M","-1.04%"
"21/08/2025","529.00","516.00","534.50","516.00","6.68M","3.12%"
"20/08/2025","513.00","510.50","518.00","508.00","3.71M","0.79%"
"19/08/2025","509.00","526.00","528.50","509.00","3.84M","-2.86%"
"18/08/2025","524.00","523.00","529.50","522.50","5.33M","0.19%"
"15/08/2025","523.00","520.00","534.00","514.00","4.16M","-1.51%"
"14/08/2025","531.00","523.00","535.00","521.00","4.15M","1.14%"
"13/08/2025","525.00","537.00","537.00","520.00","4.47M","-2.33%"
"12/08/2025","537.50","538.50","540.50","534.50","2.41M","-0.09%"
"11/08/2025","538.00","533.00","542.00","533.00","3.08M","1.22%"
"08/08/2025","531.50","530.50","534.50","528.00","2.32M","0.38%"
"07/08/2025","529.50","536.50","537.50","528.50","3.52M","-0.84%"
"06/08/2025","534.00","526.00","535.00","526.00","3.80M","1.52%"
"05/08/2025","526.00","529.50","532.00","526.00","2.76M","-0.47%"
"04/08/2025","528.50","528.50","532.50","527.50","3.72M","0.09%"
"01/08/2025","528.00","533.00","533.00","521.50","3.63M","-0.47%"
"31/07/2025","530.50","522.50","531.50","519.50","4.65M","2.02%"
"30/07/2025","520.00","518.00","525.00","517.50","3.66M","0.58%"
"29/07/2025","517.00","517.50","522.50","514.50","4.05M","0.39%"
"28/07/2025","515.00","513.50","518.50","507.50","3.56M","0.78%"
"25/07/2025","511.00","510.50","514.50","506.00","4.11M","0.49%"
"24/07/2025","508.50","502.50","515.50","500.00","7.43M","1.85%"
"23/07/2025","499.25","506.00","507.50","499.25","3.61M","-0.94%"
"22/07/2025","504.00","498.75","508.50","497.50","7.34M","1.15%"
"21/07/2025","498.25","492.00","501.50","491.25","5.24M","1.74%"
"18/07/2025","489.75","496.00","497.50","489.50","3.91M","-1.26%"
"17/07/2025","496.00","491.25","502.50","485.75","6.45M","1.85%"
"16/07/2025","487.00","498.25","498.75","483.00","5.60M","-2.40%"
"14/07/2025","499.00","495.75","504.00","493.50","4.33M","0.66%"
"11/07/2025","495.75","502.00","506.50","491.25","4.59M","-0.65%"
"10/07/2025","499.00","497.00","506.50","497.00","4.04M","1.22%"
"09/07/2025","493.00","489.00","495.50","485.00","3.72M","1.02%"
"08/07/2025","488.00","503.50","504.00","483.75","4.30M","-2.30%"
"07/07/2025","499.50","500.00","504.00","496.25","3.12M","-1.48%"
"04/07/2025","507.00","507.00","510.50","502.00","2.85M","-0.10%"
"03/07/2025","507.50","519.50","522.00","502.00","4.80M","-0.88%"
"02/07/2025","512.00","496.50","513.50","496.00","7.16M","3.23%"
"01/07/2025","496.00","495.25","500.00","490.25","6.39M","0.25%"
"30/06/2025","494.75","471.00","505.00","470.00","11.05M","5.66%"
"27/06/2025","468.25","469.50","473.50","461.50","5.01M","0.16%"
"26/06/2025","467.50","476.75","477.75","467.50","3.96M","-1.89%"
"25/06/2025","476.50","489.50","491.75","472.00","5.06M","-2.56%"
"24/06/2025","489.00","478.00","493.75","476.50","7.26M","7.06%"
"23/06/2025","456.75","464.00","466.25","451.50","5.09M","-2.66%"
"20/06/2025","469.25","486.00","486.00","467.25","4.81M","-1.31%"
"19/06/2025","475.50","484.50","489.25","475.00","4.25M","-1.25%"
"18/06/2025","481.50","498.00","498.50","478.00","4.88M","-3.51%"
"17/06/2025","499.00","492.55","503.96","492.06","4.07M","1.31%"
"16/06/2025","492.55","489.08","497.51","483.13","4.73M","0.30%"
"13/06/2025","491.06","493.05","493.05","471.72","6.75M","-2.08%"
"12/06/2025","501.48","510.90","514.87","497.02","5.31M","-2.60%"
"11/06/2025","514.87","515.86","519.34","508.42","4.69M","-1.84%"
"10/06/2025","524.50","525.00","533.00","517.50","4.02M","0.58%"
"05/06/2025","521.50","514.00","521.50","509.00","1.99M","1.16%"
"04/06/2025","515.50","497.50","515.50","487.00","6.41M","3.83%"
"03/06/2025","496.50","490.75","500.50","489.25","4.72M","2.16%"
"02/06/2025","486.00","479.75","490.50","476.75","5.19M","2.10%"
"30/05/2025","476.00","483.00","483.00","472.50","5.82M","-1.45%"
"29/05/2025","483.00","482.25","484.50","480.25","5.05M","0.63%"
"28/05/2025","480.00","477.50","482.25","477.25","3.97M","0.05%"
"27/05/2025","479.75","484.00","487.75","478.00","3.47M","-0.83%"
"26/05/2025","483.75","480.50","485.00","476.00","3.72M","1.52%"
"23/05/2025","476.50","478.00","482.75","474.50","5.68M","0.00%"
"22/05/2025","476.50","470.00","481.50","468.00","6.44M","2.14%"
"21/05/2025","466.50","468.00","474.50","466.50","4.46M","-0.90%"
"20/05/2025","470.75","490.75","492.50","469.25","7.53M","-4.71%"
"16/05/2025","494.00","496.50","499.50","488.25","4.43M","-0.30%"
"15/05/2025","495.50","496.75","502.50","493.00","3.63M","-0.20%"
"14/05/2025","496.50","496.25","503.00","489.75","5.81M","0.30%"
"13/05/2025","495.00","497.50","506.00","494.50","5.52M","-0.50%"
"12/05/2025","497.50","489.00","502.00","488.50","6.58M","3.92%"
"09/05/2025","478.75","476.50","480.50","465.50","9.79M","-1.64%"
"08/05/2025","486.75","496.00","498.50","483.50","5.35M","-0.66%"
"07/05/2025","490.00","475.00","491.50","475.00","6.80M","3.59%"
"06/05/2025","473.00","473.00","475.75","471.75","3.73M","-0.21%"
"05/05/2025","474.00","472.25","476.00","469.00","6.20M","0.85%"
"02/05/2025","470.00","453.50","470.75","452.00","5.12M","4.21%"
"30/04/2025","451.00","466.00","471.50","449.75","5.76M","-2.80%"
"29/04/2025","464.00","465.00","468.25","461.50","3.76M","-0.22%"
"28/04/2025","465.00","468.00","472.50","463.25","4.43M","-0.27%"
"25/04/2025","466.25","465.75","469.00","463.75","4.19M","0.65%"
"24/04/2025","463.25","450.00","464.75","448.25","7.59M","3.23%"
"22/04/2025","448.75","447.00","451.75","445.75","4.45M","0.90%"
"21/04/2025","444.75","448.50","451.00","442.00","4.53M","-0.67%"
"18/04/2025","447.75","460.25","461.00","447.75","3.85M","-2.40%"
"17/04/2025","458.75","457.00","469.00","453.50","7.91M","0.38%"
"16/04/2025","457.00","463.50","472.25","453.00","6.59M","-1.51%"
"15/04/2025","464.00","467.50","473.00","462.25","4.33M","-0.43%"
"14/04/2025","466.00","465.00","468.50","463.25","4.08M","1.08%"
"11/04/2025","461.00","463.00","472.75","456.50","6.74M","0.22%"
"10/04/2025","460.00","476.00","483.50","460.00","8.15M","0.05%"
"09/04/2025","459.75","465.00","466.75","456.50","6.41M","-1.66%"
"08/04/2025","467.50","459.75","470.50","454.00","7.00M","3.31%"
"07/04/2025","452.50","429.00","462.00","420.00","13.08M","3.43%"
"04/04/2025","437.50","443.00","447.00","434.75","6.48M","-1.13%"
"03/04/2025","442.50","447.00","453.75","442.00","4.91M","-0.78%"
