"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","26.66","27.04","27.20","26.38","425.33K","-0.97%"
"29/09/2025","26.92","27.32","27.46","26.80","510.61K","-2.18%"
"26/09/2025","27.52","28.50","28.50","27.50","919.44K","-3.10%"
"25/09/2025","28.40","28.48","30.00","28.06","3.05M","1.79%"
"24/09/2025","27.90","27.82","28.30","27.82","482.89K","0.29%"
"23/09/2025","27.82","28.10","28.24","27.82","384.83K","-1.35%"
"22/09/2025","28.20","28.64","28.68","28.00","883.25K","0.28%"
"19/09/2025","28.12","28.06","28.34","27.94","632.06K","0.29%"
"18/09/2025","28.04","28.34","28.44","27.96","814.63K","0.00%"
"17/09/2025","28.04","27.88","28.18","27.50","512.35K","1.15%"
"16/09/2025","27.72","27.30","27.92","27.20","600.51K","1.32%"
"15/09/2025","27.36","25.74","27.70","25.74","535.70K","5.88%"
"12/09/2025","25.84","26.40","26.50","25.62","268.97K","-2.20%"
"11/09/2025","26.42","26.82","27.16","26.26","544.55K","0.61%"
"10/09/2025","26.26","26.74","26.76","26.20","275.35K","-0.83%"
"09/09/2025","26.48","26.74","27.02","26.38","256.95K","-0.68%"
"08/09/2025","26.66","26.64","26.84","26.48","355.47K","-2.42%"
"05/09/2025","27.32","28.34","28.36","27.32","490.07K","-3.60%"
"04/09/2025","28.34","27.80","28.34","27.74","397.73K","2.46%"
"03/09/2025","27.66","27.66","28.14","27.32","960.30K","-1.21%"
"02/09/2025","28.00","28.82","29.20","27.18","708.91K","-2.85%"
"01/09/2025","28.82","28.04","28.82","28.04","265.89K","2.56%"
"29/08/2025","28.10","28.76","28.80","28.04","382.12K","-2.02%"
"28/08/2025","28.68","28.60","28.96","28.50","443.49K","0.28%"
"27/08/2025","28.60","28.86","28.98","28.50","478.17K","-0.90%"
"26/08/2025","28.86","29.52","29.64","28.78","632.53K","-1.84%"
"25/08/2025","29.40","28.92","29.48","28.88","808.05K","2.01%"
"22/08/2025","28.82","28.74","29.14","28.68","992.21K","0.28%"
"21/08/2025","28.74","28.02","29.30","28.02","1.18M","2.64%"
"20/08/2025","28.00","27.58","28.02","27.44","984.57K","1.52%"
"19/08/2025","27.58","27.98","27.98","27.36","474.43K","-0.22%"
"18/08/2025","27.64","27.34","27.84","27.20","641.64K","1.10%"
"15/08/2025","27.34","27.30","27.52","26.88","757.55K","-0.65%"
"14/08/2025","27.52","27.84","28.60","27.36","908.10K","-1.43%"
"13/08/2025","27.92","28.60","28.60","27.86","570.12K","-2.38%"
"12/08/2025","28.60","28.70","29.08","28.40","420.27K","-0.35%"
"11/08/2025","28.70","28.70","28.86","28.28","604.68K","1.77%"
"08/08/2025","28.20","28.62","28.64","28.06","545.78K","-1.47%"
"07/08/2025","28.62","28.24","29.02","28.20","882.18K","1.85%"
"06/08/2025","28.10","28.36","28.46","27.82","576.42K","-0.85%"
"05/08/2025","28.34","28.70","28.78","27.96","699.42K","-0.14%"
"04/08/2025","28.38","27.60","28.82","27.60","1.06M","2.83%"
"01/08/2025","27.60","27.66","27.92","27.38","488.16K","-0.07%"
"31/07/2025","27.62","27.70","27.78","27.40","278.84K","-0.14%"
"30/07/2025","27.66","27.40","27.96","27.28","356.24K","1.32%"
"29/07/2025","27.30","27.38","27.70","27.30","264.68K","-0.22%"
"28/07/2025","27.36","27.32","27.68","27.32","279.26K","0.22%"
