"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","37.36","37.34","38.56","37.34","8.94M","0.16%"
"29/09/2025","37.30","38.10","38.10","36.94","13.47M","-2.10%"
"26/09/2025","38.10","39.00","39.02","38.08","8.07M","-2.31%"
"25/09/2025","39.00","39.54","39.74","38.82","10.53M","-1.32%"
"24/09/2025","39.52","38.20","39.60","38.10","25.10M","3.89%"
"23/09/2025","38.04","37.36","38.26","37.14","23.37M","1.82%"
"22/09/2025","37.36","38.26","38.46","37.32","28.93M","-1.22%"
"19/09/2025","37.82","38.76","38.82","37.16","32.15M","-2.02%"
"18/09/2025","38.60","39.50","39.52","37.86","57.50M","-4.27%"
"17/09/2025","40.32","42.00","42.60","40.06","20.21M","-4.05%"
"16/09/2025","42.02","41.26","42.30","40.80","21.55M","2.64%"
"15/09/2025","40.94","39.98","41.58","39.06","21.81M","2.40%"
"12/09/2025","39.98","39.70","40.44","39.14","6.85M","0.71%"
"11/09/2025","39.70","39.50","40.42","39.00","15.75M","0.00%"
"10/09/2025","39.70","40.40","40.56","39.44","12.08M","-1.29%"
"09/09/2025","40.22","40.48","40.76","39.68","12.77M","-0.89%"
"08/09/2025","40.58","40.60","41.30","40.02","12.34M","-3.38%"
"05/09/2025","42.00","43.58","43.60","41.90","13.39M","-3.54%"
"04/09/2025","43.54","43.40","44.22","43.12","8.05M","0.55%"
"03/09/2025","43.30","44.00","44.10","42.60","12.54M","-1.59%"
"02/09/2025","44.00","45.44","46.28","42.00","34.08M","-2.22%"
"01/09/2025","45.00","45.00","45.20","43.54","13.23M","0.72%"
"29/08/2025","44.68","44.62","45.34","43.64","9.10M","0.18%"
"28/08/2025","44.60","44.16","45.90","44.14","12.58M","1.13%"
"27/08/2025","44.10","44.20","44.60","43.68","10.84M","0.23%"
"26/08/2025","44.00","43.68","44.32","42.80","11.81M","0.73%"
"25/08/2025","43.68","44.00","44.26","43.40","7.74M","0.51%"
"22/08/2025","43.46","43.02","43.88","42.74","11.63M","1.12%"
"21/08/2025","42.98","42.18","43.16","42.10","16.55M","2.48%"
"20/08/2025","41.94","40.90","42.36","40.54","20.31M","2.79%"
"19/08/2025","40.80","40.38","41.10","40.18","11.77M","1.04%"
"18/08/2025","40.38","40.66","41.08","39.98","13.05M","-0.15%"
"15/08/2025","40.44","40.04","40.62","39.84","8.87M","1.15%"
"14/08/2025","39.98","40.88","41.00","39.44","10.52M","-2.11%"
"13/08/2025","40.84","41.04","41.18","40.68","6.52M","-0.39%"
"12/08/2025","41.00","41.24","41.44","40.90","5.87M","-0.44%"
"11/08/2025","41.18","41.30","41.58","41.10","6.43M","-0.10%"
"08/08/2025","41.22","41.60","41.88","41.06","6.14M","-0.77%"
"07/08/2025","41.54","41.60","42.10","41.54","6.72M","0.10%"
"06/08/2025","41.50","42.28","42.38","41.50","6.46M","-1.61%"
"05/08/2025","42.18","42.10","42.22","41.82","7.03M","0.57%"
"04/08/2025","41.94","42.22","42.48","41.76","6.74M","-0.05%"
"01/08/2025","41.96","42.30","42.58","41.82","5.20M","-0.80%"
"31/07/2025","42.30","41.20","43.10","41.12","14.32M","3.12%"
"30/07/2025","41.02","40.62","41.46","40.44","6.47M","0.49%"
"29/07/2025","40.82","41.04","41.22","40.70","5.29M","-0.73%"
"28/07/2025","41.12","41.56","41.84","41.02","4.56M","-1.06%"
"25/07/2025","41.56","42.16","42.26","41.50","5.94M","-1.38%"
"24/07/2025","42.14","42.22","42.70","42.08","6.43M","-0.09%"
"23/07/2025","42.18","42.72","43.30","41.96","10.38M","-1.22%"
"22/07/2025","42.70","43.20","43.30","42.70","6.85M","-0.93%"
"21/07/2025","43.10","42.80","43.36","42.68","7.10M","1.17%"
"18/07/2025","42.60","42.20","43.16","41.70","10.34M","1.00%"
"17/07/2025","42.18","42.50","42.80","41.84","11.44M","-0.05%"
"16/07/2025","42.20","43.50","44.00","41.34","13.45M","-2.99%"
"14/07/2025","43.50","44.10","44.58","43.30","8.79M","-1.14%"
"11/07/2025","44.00","45.00","45.60","43.26","22.16M","-1.57%"
"10/07/2025","44.70","43.20","44.82","43.20","20.28M","4.10%"
"09/07/2025","42.94","42.50","43.30","42.48","17.05M","2.00%"
"08/07/2025","42.10","41.18","42.86","41.18","24.85M","2.58%"
"07/07/2025","41.04","40.96","41.16","40.46","11.23M","-1.35%"
"04/07/2025","41.60","41.10","41.94","40.30","16.92M","1.07%"
"03/07/2025","41.16","40.70","41.38","40.20","11.32M","1.88%"
"02/07/2025","40.40","40.40","41.78","40.12","22.73M","1.00%"
"01/07/2025","40.00","38.46","40.80","38.18","21.74M","4.00%"
"30/06/2025","38.46","35.30","38.60","35.04","23.34M","8.95%"
"27/06/2025","35.30","35.40","35.56","34.58","7.17M","-0.28%"
"26/06/2025","35.40","34.98","36.30","34.98","17.65M","1.90%"
"25/06/2025","34.74","34.98","35.16","34.60","8.80M","-0.69%"
"24/06/2025","34.98","35.30","35.50","34.68","14.90M","2.46%"
"23/06/2025","34.14","35.00","35.20","34.06","10.72M","-4.26%"
"20/06/2025","35.66","35.08","35.66","34.12","11.24M","2.89%"
"19/06/2025","34.66","34.64","35.26","34.40","9.44M","0.17%"
"18/06/2025","34.60","35.26","35.26","34.32","10.71M","-2.09%"
"17/06/2025","35.34","35.88","36.14","35.32","9.70M","-1.51%"
"16/06/2025","35.88","35.62","36.90","35.12","18.02M","0.79%"
"13/06/2025","35.60","33.82","35.80","33.62","25.81M","-0.84%"
"12/06/2025","35.90","35.96","37.30","35.30","53.42M","-0.17%"
"11/06/2025","35.96","35.10","35.96","34.74","24.19M","9.97%"
"10/06/2025","32.70","32.06","32.76","31.98","10.49M","2.25%"
"05/06/2025","31.98","31.60","32.28","31.32","3.38M","1.20%"
"04/06/2025","31.60","31.22","31.78","31.02","5.50M","1.15%"
"03/06/2025","31.24","30.50","31.30","30.34","7.49M","3.10%"
"02/06/2025","30.30","30.56","30.70","29.92","8.71M","-0.92%"
"30/05/2025","30.58","31.00","32.04","30.26","8.70M","-0.97%"
"29/05/2025","30.88","31.40","31.72","30.80","9.13M","-1.47%"
"28/05/2025","31.34","31.86","32.08","31.30","5.83M","-1.63%"
"27/05/2025","31.86","32.08","32.20","31.80","4.28M","-0.62%"
"26/05/2025","32.06","32.88","32.88","31.82","6.09M","-0.02%"
"23/05/2025","32.07","32.88","33.21","31.99","9.05M","-2.18%"
"22/05/2025","32.78","32.88","33.23","32.45","7.69M","0.00%"
"21/05/2025","32.78","33.46","33.69","32.78","6.44M","-2.07%"
"20/05/2025","33.48","33.90","34.63","33.13","11.39M","-4.35%"
"16/05/2025","35.00","34.78","35.20","34.52","7.96M","0.63%"
"15/05/2025","34.78","35.32","35.68","34.78","8.60M","-1.53%"
"14/05/2025","35.32","35.70","36.12","35.06","7.60M","-0.79%"
"13/05/2025","35.60","35.08","36.46","34.62","15.97M","1.71%"
"12/05/2025","35.00","33.98","35.16","33.92","14.29M","4.67%"
"09/05/2025","33.44","33.24","33.56","33.00","8.47M","0.97%"
"08/05/2025","33.12","33.22","33.50","32.90","9.65M","-0.24%"
"07/05/2025","33.20","33.02","33.32","32.58","8.58M","0.91%"
"06/05/2025","32.90","33.34","33.78","32.84","11.30M","-1.32%"
"05/05/2025","33.34","32.96","33.40","32.48","11.60M","1.46%"
"02/05/2025","32.86","32.30","33.08","31.86","11.22M","1.80%"
"30/04/2025","32.28","32.26","32.82","31.98","9.55M","0.12%"
"29/04/2025","32.24","32.26","32.90","31.62","10.25M","0.06%"
"28/04/2025","32.22","33.36","33.88","32.22","10.07M","-3.42%"
"25/04/2025","33.36","33.02","34.16","32.88","10.37M","1.34%"
"24/04/2025","32.92","32.48","32.98","32.16","7.43M","1.29%"
"22/04/2025","32.50","32.13","32.80","31.92","8.88M","1.64%"
"21/04/2025","31.98","32.45","32.65","31.90","10.23M","-0.33%"
"18/04/2025","32.08","32.83","32.90","32.00","7.81M","-1.90%"
"17/04/2025","32.70","32.55","33.05","32.00","12.91M","0.62%"
"16/04/2025","32.50","33.62","33.62","32.50","9.63M","-3.42%"
"15/04/2025","33.65","33.75","34.05","33.42","10.25M","-0.30%"
"14/04/2025","33.75","33.85","34.10","33.33","7.93M","0.45%"
"11/04/2025","33.60","33.50","33.85","33.20","8.87M","0.36%"
"10/04/2025","33.48","34.20","34.35","33.48","10.97M","0.69%"
"09/04/2025","33.25","34.00","34.10","33.25","8.85M","-3.06%"
"08/04/2025","34.30","34.75","34.83","33.77","14.22M","1.33%"
"07/04/2025","33.85","32.50","34.30","31.70","15.33M","0.74%"
"04/04/2025","33.60","34.73","34.85","33.52","10.10M","-2.75%"
"03/04/2025","34.55","34.45","35.52","34.42","14.21M","0.14%"
"02/04/2025","34.50","34.62","34.95","34.38","12.75M","-0.35%"
"28/03/2025","34.62","33.80","34.75","33.20","13.63M","2.58%"
"27/03/2025","33.75","33.70","34.35","33.52","12.20M","0.75%"
"26/03/2025","33.50","34.00","34.00","32.52","13.06M","-2.05%"
"25/03/2025","34.20","33.05","34.65","33.05","18.13M","3.64%"
"24/03/2025","33.00","32.35","33.45","30.93","19.37M","2.33%"
"21/03/2025","32.25","34.80","34.80","31.57","23.75M","-7.65%"
"20/03/2025","34.92","33.75","35.42","33.67","26.20M","3.47%"
"19/03/2025","33.75","34.05","36.00","33.30","28.66M","-8.78%"
"18/03/2025","37.00","37.50","37.58","36.75","17.97M","-1.33%"
"17/03/2025","37.50","38.58","38.85","37.38","25.42M","-2.17%"
