"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","445.00","439.50","449.25","438.25","3.31M","1.08%"
"29/09/2025","440.25","444.00","446.25","438.75","2.21M","-1.07%"
"26/09/2025","445.00","447.25","451.00","440.75","2.02M","-0.50%"
"25/09/2025","447.25","453.75","456.25","446.00","1.74M","-0.83%"
"24/09/2025","451.00","450.00","457.25","446.50","3.69M","0.45%"
"23/09/2025","449.00","453.00","458.00","447.00","3.73M","-1.70%"
"22/09/2025","456.75","458.75","460.75","454.50","2.33M","1.44%"
"19/09/2025","450.25","443.75","452.75","443.00","2.60M","1.69%"
"18/09/2025","442.75","447.25","454.50","442.00","2.44M","-0.51%"
"17/09/2025","445.00","449.75","453.25","443.00","2.10M","-1.00%"
"16/09/2025","449.50","448.00","453.25","440.00","4.35M","0.50%"
"15/09/2025","447.25","420.50","447.25","415.50","5.55M","5.86%"
"12/09/2025","422.50","422.25","424.25","416.75","2.03M","0.12%"
"11/09/2025","422.00","434.00","437.50","420.50","3.46M","-2.82%"
"10/09/2025","434.25","433.25","437.50","430.75","2.06M","0.81%"
"09/09/2025","430.75","439.75","442.00","430.25","3.08M","-1.43%"
"08/09/2025","437.00","450.75","452.25","437.00","2.46M","-4.53%"
"05/09/2025","457.75","462.25","467.25","456.00","2.79M","-0.65%"
"04/09/2025","460.75","459.75","464.50","456.25","2.71M","0.71%"
"03/09/2025","457.50","463.25","465.50","455.25","2.84M","-1.24%"
"02/09/2025","463.25","478.25","482.50","454.50","4.29M","-2.93%"
"01/09/2025","477.25","486.00","487.00","476.75","2.22M","-1.75%"
"29/08/2025","485.75","489.50","492.50","482.75","2.49M","-0.77%"
"28/08/2025","489.50","491.25","496.50","489.00","1.82M","-0.31%"
"27/08/2025","491.00","498.50","499.75","491.00","2.43M","-0.86%"
"26/08/2025","495.25","499.50","502.00","495.25","2.82M","-0.90%"
"25/08/2025","499.75","501.00","506.00","499.75","2.47M","0.15%"
"22/08/2025","499.00","503.50","503.50","497.00","1.99M","-0.20%"
"21/08/2025","500.00","497.00","504.50","494.50","3.65M","1.37%"
"20/08/2025","493.25","488.00","495.50","486.25","2.18M","1.39%"
"19/08/2025","486.50","495.25","497.75","485.75","1.79M","-1.62%"
"18/08/2025","494.50","496.25","499.25","493.75","1.74M","-0.35%"
"15/08/2025","496.25","500.00","504.00","496.00","1.63M","-0.75%"
"14/08/2025","500.00","508.00","510.00","499.50","2.37M","-1.48%"
"13/08/2025","507.50","524.50","524.50","507.50","4.36M","-6.54%"
"12/08/2025","543.00","547.00","547.00","538.00","817.96K","-0.37%"
"11/08/2025","545.00","547.00","550.00","545.00","1.09M","0.18%"
"08/08/2025","544.00","534.00","544.00","530.50","1.52M","1.78%"
"07/08/2025","534.50","538.00","544.00","532.00","1.56M","-0.47%"
"06/08/2025","537.00","527.50","538.00","523.50","1.84M","1.80%"
"05/08/2025","527.50","533.00","534.50","526.00","1.48M","-0.85%"
"04/08/2025","532.00","528.50","533.50","526.00","1.80M","1.33%"
"01/08/2025","525.00","524.00","529.00","521.00","1.52M","0.19%"
"31/07/2025","524.00","529.00","531.50","517.50","2.22M","-0.85%"
"30/07/2025","528.50","525.50","531.50","524.00","1.16M","-0.09%"
"29/07/2025","529.00","529.00","534.00","526.00","1.06M","-0.38%"
"28/07/2025","531.00","531.50","539.00","528.50","1.18M","0.00%"
"25/07/2025","531.00","535.00","535.00","523.50","1.01M","-0.65%"
"24/07/2025","534.50","519.00","535.00","514.00","1.98M","3.09%"
"23/07/2025","518.50","520.00","523.00","515.50","988.97K","-0.29%"
"22/07/2025","520.00","513.00","524.00","511.00","2.02M","1.36%"
"21/07/2025","513.00","497.50","515.50","497.50","2.00M","3.53%"
"18/07/2025","495.50","498.00","504.50","493.25","1.70M","-0.55%"
"17/07/2025","498.25","485.50","499.50","480.00","2.16M","3.26%"
"16/07/2025","482.50","486.00","491.25","475.50","1.80M","-0.72%"
"14/07/2025","486.00","490.00","491.50","485.00","1.23M","-0.72%"
"11/07/2025","489.50","493.00","494.50","482.25","1.86M","-0.05%"
"10/07/2025","489.75","483.50","492.25","483.50","1.90M","2.03%"
"09/07/2025","480.00","479.25","484.00","478.50","2.44M","0.42%"
"08/07/2025","478.00","502.00","503.00","477.00","2.52M","-4.26%"
"07/07/2025","499.25","497.00","499.25","491.50","1.15M","-0.65%"
"04/07/2025","502.50","504.50","510.50","501.00","1.65M","-0.30%"
"03/07/2025","504.00","516.50","519.00","499.25","1.56M","-1.18%"
"02/07/2025","510.00","502.50","512.50","497.50","2.71M","2.10%"
"01/07/2025","499.50","492.00","502.00","492.00","1.45M","0.96%"
"30/06/2025","494.75","469.50","498.00","469.50","2.83M","5.38%"
"27/06/2025","469.50","464.75","470.00","456.50","1.16M","0.97%"
"26/06/2025","465.00","471.00","471.75","463.75","1.03M","-1.43%"
"25/06/2025","471.75","480.50","480.50","468.00","1.26M","-1.82%"
"24/06/2025","480.50","475.00","484.00","469.00","2.26M","5.14%"
"23/06/2025","457.00","450.50","457.00","447.75","842.35K","0.22%"
"20/06/2025","456.00","462.75","465.00","454.50","1.16M","-0.27%"
"19/06/2025","457.25","455.00","463.50","453.25","1.39M","0.99%"
"18/06/2025","452.75","471.00","472.50","452.75","1.65M","-4.28%"
"17/06/2025","473.00","473.50","477.50","471.00","1.16M","-0.21%"
"16/06/2025","474.00","475.25","478.75","469.25","1.75M","-0.37%"
"13/06/2025","475.75","476.75","484.25","463.50","2.16M","-3.69%"
"12/06/2025","494.00","490.25","495.00","483.25","1.29M","-0.40%"
"11/06/2025","496.00","499.00","499.50","494.00","1.04M","-0.40%"
"10/06/2025","498.00","495.00","498.00","489.00","1.82M","1.37%"
"05/06/2025","491.25","488.75","493.50","485.50","519.35K","0.72%"
"04/06/2025","487.75","478.00","489.75","476.00","1.76M","2.04%"
"03/06/2025","478.00","485.00","493.50","478.00","2.08M","-0.73%"
"02/06/2025","481.50","476.75","484.50","473.00","919.98K","0.94%"
"30/05/2025","477.00","486.00","486.25","474.00","1.67M","-1.95%"
"29/05/2025","486.50","493.25","494.25","483.50","1.17M","-0.71%"
"28/05/2025","490.00","494.50","497.25","483.25","1.37M","-0.63%"
"27/05/2025","493.10","494.08","500.99","492.85","1.31M","-0.30%"
"26/05/2025","494.58","495.56","500.49","492.85","953.20K","0.30%"
"23/05/2025","493.10","497.04","500.00","487.18","1.48M","-0.79%"
"22/05/2025","497.04","502.96","505.42","490.14","1.83M","-0.40%"
"21/05/2025","499.01","505.42","508.88","498.52","1.02M","-3.01%"
"20/05/2025","514.50","527.50","530.00","511.00","1.82M","-2.74%"
"16/05/2025","529.00","524.00","531.50","521.00","956.23K","0.95%"
"15/05/2025","524.00","530.50","533.00","521.00","1.19M","-1.13%"
"14/05/2025","530.00","535.50","539.50","523.00","1.87M","-1.49%"
"13/05/2025","538.00","534.00","543.50","529.50","1.75M","0.28%"
"12/05/2025","536.50","535.00","542.00","531.00","1.46M","2.58%"
"09/05/2025","523.00","508.50","524.00","504.00","1.63M","2.85%"
"08/05/2025","508.50","510.00","513.50","502.00","1.96M","1.50%"
"07/05/2025","501.00","488.00","501.00","487.50","1.61M","2.56%"
"06/05/2025","488.50","499.00","501.50","486.00","1.98M","-2.10%"
"05/05/2025","499.00","496.00","503.00","493.50","1.56M","0.81%"
"02/05/2025","495.00","481.00","496.50","479.00","1.42M","3.45%"
"30/04/2025","478.50","495.00","497.50","471.00","2.10M","-2.89%"
"29/04/2025","492.75","490.00","497.50","485.50","1.90M","0.56%"
"28/04/2025","490.00","494.25","494.25","486.00","1.23M","-0.51%"
"25/04/2025","492.50","491.00","498.00","488.25","1.74M","0.87%"
"24/04/2025","488.25","480.00","489.50","477.50","1.97M","1.93%"
"22/04/2025","479.00","497.75","500.50","479.00","1.56M","-2.15%"
"21/04/2025","489.50","500.00","502.50","485.50","1.47M","-1.46%"
"18/04/2025","496.75","490.00","500.00","485.25","1.87M","1.74%"
"17/04/2025","488.25","472.75","493.00","470.50","2.62M","3.28%"
"16/04/2025","472.75","480.00","481.75","465.00","1.92M","-1.51%"
"15/04/2025","480.00","482.00","488.00","477.50","1.34M","-0.26%"
"14/04/2025","481.25","486.00","487.50","480.00","1.16M","-0.21%"
"11/04/2025","482.25","475.50","486.75","475.00","2.06M","0.89%"
"10/04/2025","478.00","490.75","493.50","477.00","2.17M","0.37%"
"09/04/2025","476.25","480.50","492.50","476.00","2.37M","-1.91%"
"08/04/2025","485.50","488.75","493.00","478.75","1.92M","0.94%"
"07/04/2025","481.00","466.50","486.00","460.00","2.86M","1.21%"
"04/04/2025","475.25","473.50","479.50","464.00","1.73M","0.37%"
"03/04/2025","473.50","484.00","488.00","473.50","1.35M","-1.87%"
"02/04/2025","482.50","495.00","495.00","481.25","1.33M","-2.57%"
"28/03/2025","495.25","500.00","500.50","480.50","2.35M","-0.95%"
"27/03/2025","500.00","509.50","514.50","498.00","1.61M","-0.40%"
"26/03/2025","502.00","499.50","512.00","493.25","3.39M","-0.40%"
"25/03/2025","504.00","487.75","512.00","486.75","4.19M","5.00%"
"24/03/2025","480.00","454.50","482.50","454.50","3.50M","6.90%"
"21/03/2025","449.00","489.00","489.00","448.75","3.07M","-8.51%"
"20/03/2025","490.75","478.50","503.50","470.25","4.68M","2.45%"
"19/03/2025","479.00","481.50","506.00","475.50","4.05M","-8.94%"
"18/03/2025","526.00","535.00","535.50","524.50","2.46M","-1.77%"
"17/03/2025","535.50","544.50","548.00","535.50","2.28M","-1.65%"
"14/03/2025","544.50","540.50","546.00","533.00","3.78M","1.40%"
"13/03/2025","537.00","532.50","542.00","529.00","4.51M","1.23%"
"12/03/2025","530.50","523.50","535.00","516.50","5.59M","1.63%"
"11/03/2025","522.00","523.00","525.50","509.00","6.13M","0.10%"
"10/03/2025","521.50","544.00","546.00","515.50","6.67M","-6.46%"
"07/03/2025","557.50","578.00","580.50","556.00","4.43M","-3.38%"
"06/03/2025","577.00","592.50","598.00","570.00","4.60M","-3.11%"
"05/03/2025","595.50","580.00","599.00","579.00","2.48M","3.48%"
