"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","36.40","35.66","36.62","35.52","10.99M","2.08%"
"29/09/2025","35.66","35.88","36.30","35.02","6.48M","-1.33%"
"26/09/2025","36.14","36.70","36.88","36.04","4.97M","-1.69%"
"25/09/2025","36.76","37.02","37.20","36.34","6.90M","-0.33%"
"24/09/2025","36.88","36.88","37.30","36.38","8.27M","0.11%"
"23/09/2025","36.84","37.28","37.36","36.70","9.22M","-1.86%"
"22/09/2025","37.54","37.82","38.00","37.18","9.03M","1.19%"
"19/09/2025","37.10","36.68","37.16","36.40","6.49M","1.26%"
"18/09/2025","36.64","37.26","37.50","36.54","5.67M","-1.35%"
"17/09/2025","37.14","37.40","37.68","36.98","5.84M","-0.70%"
"16/09/2025","37.40","37.10","37.40","36.54","5.03M","1.03%"
"15/09/2025","37.02","35.04","37.08","34.36","10.43M","5.47%"
"12/09/2025","35.10","35.62","35.66","34.82","5.56M","-1.02%"
"11/09/2025","35.46","36.06","37.50","35.46","10.45M","-1.34%"
"10/09/2025","35.94","35.92","36.16","35.22","8.46M","0.39%"
"09/09/2025","35.80","36.10","36.28","35.38","7.10M","-0.39%"
"08/09/2025","35.94","37.22","37.30","35.92","6.89M","-5.62%"
"05/09/2025","38.08","38.84","38.92","37.94","4.75M","-1.70%"
"04/09/2025","38.74","39.22","39.84","38.52","6.20M","-0.92%"
"03/09/2025","39.10","39.16","39.44","38.28","5.49M","-0.61%"
"02/09/2025","39.34","40.96","40.98","37.88","8.63M","-3.53%"
"01/09/2025","40.78","40.34","40.86","39.74","5.08M","1.09%"
"29/08/2025","40.34","40.64","40.96","40.08","5.50M","-0.93%"
"28/08/2025","40.72","40.62","41.70","40.62","4.25M","0.30%"
"27/08/2025","40.60","41.24","41.56","40.20","6.05M","-1.69%"
"26/08/2025","41.30","40.96","41.82","40.70","6.72M","0.34%"
"25/08/2025","41.16","40.00","41.20","39.84","7.99M","3.94%"
"22/08/2025","39.60","38.98","39.72","38.86","10.22M","1.85%"
"21/08/2025","38.88","38.50","39.00","38.34","8.25M","1.67%"
"20/08/2025","38.24","37.64","38.38","37.50","6.03M","1.27%"
"19/08/2025","37.76","38.40","38.54","37.58","7.03M","-2.02%"
"18/08/2025","38.54","38.88","39.06","37.80","8.55M","-0.87%"
"15/08/2025","38.88","36.70","39.14","36.68","11.98M","4.24%"
"14/08/2025","37.30","37.78","37.98","37.24","4.66M","-1.27%"
"13/08/2025","37.78","38.36","38.36","37.66","6.04M","-1.56%"
"12/08/2025","38.38","38.60","38.62","37.76","6.39M","-0.42%"
"11/08/2025","38.54","38.50","38.92","38.32","6.32M","0.73%"
"08/08/2025","38.26","38.26","38.52","37.80","7.71M","0.16%"
"07/08/2025","38.20","38.38","38.84","38.10","8.21M","0.00%"
"06/08/2025","38.20","38.38","38.46","37.84","8.72M","-0.26%"
"05/08/2025","38.30","37.84","38.74","37.78","7.15M","1.38%"
"04/08/2025","37.78","37.24","37.84","37.18","7.55M","1.83%"
"01/08/2025","37.10","37.36","37.50","36.86","5.82M","-0.59%"
"31/07/2025","37.32","37.18","37.50","36.66","8.81M","0.81%"
"30/07/2025","37.02","36.88","37.30","36.68","5.40M","0.38%"
"29/07/2025","36.88","37.16","37.32","36.74","5.06M","-0.70%"
"28/07/2025","37.14","37.78","37.96","37.02","5.35M","-1.69%"
"25/07/2025","37.78","38.14","38.14","37.52","3.65M","-0.47%"
"24/07/2025","37.96","37.50","38.26","37.48","6.64M","1.44%"
"23/07/2025","37.42","37.52","37.60","37.04","4.73M","0.11%"
"22/07/2025","37.38","37.64","38.18","37.30","6.50M","-0.48%"
"21/07/2025","37.56","36.90","37.92","36.90","6.37M","2.07%"
"18/07/2025","36.80","36.64","37.04","36.28","5.93M","0.82%"
"17/07/2025","36.50","35.92","36.50","35.80","6.73M","2.07%"
"16/07/2025","35.76","35.60","36.02","34.92","7.65M","0.62%"
"14/07/2025","35.54","35.50","35.92","35.34","4.92M","-0.17%"
"11/07/2025","35.60","36.00","36.16","35.00","6.52M","0.23%"
"10/07/2025","35.52","35.20","35.96","35.20","4.23M","1.37%"
"09/07/2025","35.04","34.46","35.16","34.40","4.20M","1.68%"
"08/07/2025","34.46","35.52","35.74","34.28","6.15M","-2.87%"
"07/07/2025","35.48","35.38","35.62","35.00","4.12M","-1.61%"
"04/07/2025","36.06","36.00","36.54","35.52","5.89M","0.39%"
"03/07/2025","35.92","36.04","36.30","35.56","5.17M","0.56%"
"02/07/2025","35.72","35.04","36.14","34.88","8.28M","2.06%"
"01/07/2025","35.00","34.80","35.16","34.58","7.58M","0.57%"
"30/06/2025","34.80","33.00","35.00","32.88","11.07M","6.03%"
