"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","104.50","105.50","106.00","104.10","5.85M","-0.85%"
"29/09/2025","105.40","105.30","107.20","105.00","4.26M","-1.03%"
"26/09/2025","106.50","108.60","108.90","106.50","4.28M","-2.29%"
"25/09/2025","109.00","109.80","110.50","107.70","4.09M","-0.27%"
"24/09/2025","109.30","109.70","110.10","107.10","6.14M","-0.36%"
"23/09/2025","109.70","110.50","110.60","109.20","5.47M","-1.35%"
"22/09/2025","111.20","112.70","112.80","111.00","6.08M","0.82%"
"19/09/2025","110.30","107.80","110.30","107.20","8.36M","2.41%"
"18/09/2025","107.70","109.10","110.30","107.40","5.77M","-0.83%"
"17/09/2025","108.60","109.00","109.40","107.80","5.47M","-0.37%"
"16/09/2025","109.00","109.20","109.40","107.00","6.30M","0.00%"
"15/09/2025","109.00","103.00","109.00","101.50","8.94M","5.83%"
"12/09/2025","103.00","102.30","103.30","100.80","4.08M","0.88%"
"11/09/2025","102.10","105.00","105.40","101.70","6.72M","-2.30%"
"10/09/2025","104.50","103.20","104.60","102.90","6.21M","2.25%"
"09/09/2025","102.20","102.60","103.90","101.20","6.70M","0.29%"
"08/09/2025","101.90","104.00","104.00","101.50","5.40M","-2.95%"
"05/09/2025","105.00","106.80","107.10","104.50","6.69M","-1.04%"
"04/09/2025","106.10","106.10","107.00","105.60","6.74M","0.47%"
"03/09/2025","105.60","107.80","108.00","104.60","7.80M","-2.04%"
"02/09/2025","107.80","114.70","114.80","103.60","11.98M","-5.93%"
"01/09/2025","114.60","113.90","114.70","112.70","5.77M","1.06%"
"29/08/2025","113.40","117.00","117.10","113.40","6.83M","-3.08%"
"28/08/2025","117.00","116.90","118.40","116.10","3.79M","0.00%"
"27/08/2025","117.00","118.80","120.00","116.30","4.70M","-1.35%"
"26/08/2025","118.60","120.30","121.30","118.40","7.54M","-1.58%"
"25/08/2025","120.50","122.50","123.40","120.40","6.06M","-0.41%"
"22/08/2025","121.00","120.20","121.90","119.70","7.97M","0.67%"
"21/08/2025","120.20","116.00","120.60","115.60","13.26M","4.34%"
"20/08/2025","115.20","114.20","115.60","113.40","7.06M","0.88%"
"19/08/2025","114.20","116.00","116.00","113.10","8.29M","-1.89%"
"18/08/2025","116.40","116.40","117.30","114.90","8.11M","0.17%"
"15/08/2025","116.20","115.30","116.20","114.00","6.09M","0.26%"
"14/08/2025","115.90","114.40","116.80","113.60","8.19M","1.22%"
"13/08/2025","114.50","115.60","116.40","114.40","4.44M","-1.38%"
"12/08/2025","116.10","116.70","117.30","115.40","4.46M","-0.60%"
"11/08/2025","116.80","118.00","118.60","116.60","8.08M","-0.60%"
"08/08/2025","117.50","116.00","117.60","114.70","6.72M","1.29%"
"07/08/2025","116.00","115.50","116.90","115.20","8.46M","0.96%"
"06/08/2025","114.90","114.00","116.00","112.60","11.60M","1.32%"
