"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","126.50","127.20","128.70","126.20","4.70M","-0.08%"
"29/09/2025","126.60","129.10","131.40","126.60","2.07M","-1.94%"
"26/09/2025","129.10","132.50","133.20","129.10","1.77M","-2.71%"
"25/09/2025","132.70","134.10","135.90","130.50","3.11M","-0.75%"
"24/09/2025","133.70","135.00","135.70","132.30","1.57M","-1.11%"
"23/09/2025","135.20","133.80","136.70","133.60","2.73M","-0.59%"
"22/09/2025","136.00","139.70","140.80","134.60","3.68M","-0.37%"
"19/09/2025","136.50","133.40","136.50","133.30","2.18M","2.32%"
"18/09/2025","133.40","135.70","138.10","133.30","1.86M","-1.48%"
"17/09/2025","135.40","136.00","137.20","134.20","2.12M","-0.44%"
"16/09/2025","136.00","132.40","137.20","129.70","3.69M","3.11%"
"15/09/2025","131.90","123.70","132.20","121.70","3.72M","6.89%"
"12/09/2025","123.40","121.90","124.90","120.30","1.63M","1.23%"
"11/09/2025","121.90","126.20","127.30","121.90","2.09M","-3.41%"
"10/09/2025","126.20","123.00","126.90","121.40","2.83M","3.61%"
"09/09/2025","121.80","122.60","126.20","121.50","3.29M","-0.65%"
"08/09/2025","122.60","124.80","124.80","121.40","1.98M","-2.23%"
"05/09/2025","125.40","128.00","128.60","125.40","2.30M","-1.80%"
"04/09/2025","127.70","127.10","128.50","126.10","2.88M","0.95%"
"03/09/2025","126.50","129.70","129.80","125.50","2.20M","-2.47%"
"02/09/2025","129.70","136.00","136.30","126.40","2.99M","-4.21%"
"01/09/2025","135.40","137.70","137.80","133.10","2.19M","-1.17%"
"29/08/2025","137.00","141.50","142.90","136.10","3.32M","-2.97%"
"28/08/2025","141.20","142.30","144.90","140.80","1.89M","-0.84%"
"27/08/2025","142.40","143.00","145.90","141.90","2.30M","0.07%"
"26/08/2025","142.30","144.70","145.60","142.30","1.99M","-1.66%"
"25/08/2025","144.70","147.00","147.50","143.70","2.01M","-0.75%"
"22/08/2025","145.80","146.20","146.90","143.60","1.15M","0.07%"
"21/08/2025","145.70","145.20","147.40","144.50","1.74M","0.41%"
"20/08/2025","145.10","143.30","145.70","141.70","1.74M","0.97%"
"19/08/2025","143.70","145.10","146.90","142.80","2.30M","-1.10%"
"18/08/2025","145.30","140.30","146.60","139.80","2.89M","3.79%"
"15/08/2025","140.00","138.80","140.70","138.00","1.42M","0.72%"
"14/08/2025","139.00","138.90","141.20","137.90","2.96M","0.07%"
"13/08/2025","138.90","138.70","140.50","138.20","1.88M","0.29%"
"12/08/2025","138.50","137.00","139.90","135.40","1.66M","0.95%"
"11/08/2025","137.20","136.50","139.50","136.50","1.24M","0.51%"
"08/08/2025","136.50","138.30","139.90","135.00","1.45M","-1.23%"
"07/08/2025","138.20","138.10","140.50","137.20","1.89M","0.14%"
"06/08/2025","138.00","137.80","138.90","136.10","1.80M","0.15%"
"05/08/2025","137.80","133.80","139.00","133.00","4.83M","3.45%"
"04/08/2025","133.20","129.40","133.80","128.90","4.11M","4.06%"
"01/08/2025","128.00","124.70","128.40","124.10","3.50M","2.32%"
"31/07/2025","125.10","126.00","126.80","123.90","2.69M","-0.48%"
"30/07/2025","125.70","120.90","128.50","120.50","4.57M","3.37%"
"29/07/2025","121.60","121.30","122.50","119.60","2.75M","0.25%"
"28/07/2025","121.30","124.00","124.10","120.80","4.12M","-3.73%"
"25/07/2025","126.00","126.60","127.60","125.20","2.67M","-0.47%"
"24/07/2025","126.60","126.00","128.20","124.90","2.89M","0.72%"
"23/07/2025","125.70","128.10","128.60","123.90","3.79M","-2.26%"
"22/07/2025","128.60","130.50","131.40","128.60","1.97M","-1.30%"
"21/07/2025","130.30","130.00","132.00","129.60","2.42M","0.23%"
"18/07/2025","130.00","128.00","130.90","127.00","2.31M","1.40%"
"17/07/2025","128.20","124.10","129.30","124.10","2.66M","2.97%"
"16/07/2025","124.50","122.00","125.80","121.50","2.37M","1.47%"
"14/07/2025","122.70","126.10","126.30","122.40","1.59M","-2.70%"
"11/07/2025","126.10","128.20","130.10","125.90","2.58M","-1.18%"
"10/07/2025","127.60","125.60","128.30","125.50","1.78M","2.08%"
"09/07/2025","125.00","122.30","125.00","121.80","1.85M","1.96%"
"08/07/2025","122.60","123.60","124.60","121.40","1.07M","-0.41%"
"07/07/2025","123.10","124.50","125.50","120.00","1.89M","-3.90%"
"04/07/2025","128.10","128.50","128.90","125.40","1.69M","0.08%"
"03/07/2025","128.00","127.40","129.30","126.60","2.00M","1.51%"
"02/07/2025","126.10","128.00","130.30","125.20","2.72M","-1.79%"
"01/07/2025","128.40","123.90","129.00","123.80","3.45M","4.82%"
"30/06/2025","122.50","119.80","124.50","118.50","4.54M","2.00%"
"27/06/2025","120.10","120.70","122.60","117.30","3.54M","0.08%"
"26/06/2025","120.00","116.60","121.30","116.60","2.39M","2.39%"
"25/06/2025","117.20","117.20","119.70","116.50","2.01M","0.00%"
"24/06/2025","117.20","113.10","117.30","112.90","2.70M","6.84%"
"23/06/2025","109.70","107.80","111.00","106.90","1.47M","0.55%"
"20/06/2025","109.10","111.10","113.40","108.60","2.45M","-1.80%"
"19/06/2025","111.10","111.20","112.60","109.10","1.53M","0.45%"
"18/06/2025","110.60","109.10","111.70","107.90","1.62M","0.00%"
"17/06/2025","110.60","111.60","112.60","110.20","1.18M","-1.51%"
"16/06/2025","112.30","109.00","112.60","106.80","2.36M","3.03%"
"13/06/2025","109.00","103.90","109.00","103.90","2.07M","-0.82%"
"12/06/2025","109.90","111.00","112.70","109.50","1.42M","-2.22%"
"11/06/2025","112.40","112.10","114.10","111.30","2.21M","0.27%"
"10/06/2025","112.10","111.70","112.60","110.90","2.12M","0.99%"
"05/06/2025","111.00","110.30","111.00","109.20","467.23K","0.63%"
"04/06/2025","110.30","108.20","110.30","107.90","1.44M","1.47%"
"03/06/2025","108.70","106.10","109.30","106.00","2.92M","3.03%"
"02/06/2025","105.50","105.00","106.00","103.10","1.97M","0.09%"
"30/05/2025","105.40","106.90","108.20","104.30","2.50M","-1.77%"
"29/05/2025","107.30","107.90","108.70","106.70","1.87M","0.75%"
"28/05/2025","106.50","107.70","108.10","105.90","2.19M","-1.02%"
"27/05/2025","107.60","111.30","111.90","106.90","2.99M","-3.06%"
"26/05/2025","111.00","112.40","112.80","111.00","1.55M","-1.16%"
"23/05/2025","112.30","114.20","115.00","111.60","2.30M","-2.35%"
"22/05/2025","115.00","115.00","116.90","113.70","2.28M","0.88%"
"21/05/2025","114.00","115.80","116.40","114.00","1.98M","-1.81%"
"20/05/2025","116.10","118.70","119.30","115.90","1.61M","-2.19%"
"16/05/2025","118.70","115.50","119.00","115.30","2.95M","2.33%"
"15/05/2025","116.00","120.90","122.30","115.10","3.20M","-4.37%"
"14/05/2025","121.30","120.60","122.50","120.00","2.15M","0.17%"
"13/05/2025","121.10","124.00","124.00","120.50","2.53M","-2.18%"
"12/05/2025","123.80","118.60","123.90","118.30","3.07M","6.72%"
"09/05/2025","116.00","113.60","116.70","113.10","2.58M","2.11%"
"08/05/2025","113.60","113.30","114.90","111.50","3.04M","0.98%"
"07/05/2025","112.50","110.50","113.20","110.30","2.44M","1.17%"
"06/05/2025","111.20","112.10","113.90","110.60","2.64M","-0.98%"
"05/05/2025","112.30","113.10","114.00","110.70","2.04M","-0.44%"
"02/05/2025","112.80","114.30","115.40","112.50","2.04M","-0.79%"
"30/04/2025","113.70","116.00","116.70","113.70","1.98M","-2.32%"
"29/04/2025","116.40","118.30","119.60","116.30","2.14M","-1.77%"
"28/04/2025","118.50","122.00","122.50","118.10","2.33M","-3.74%"
"25/04/2025","123.10","123.50","125.50","123.10","2.32M","-0.57%"
"24/04/2025","123.80","122.10","124.10","120.50","2.31M","1.81%"
"22/04/2025","121.60","122.30","123.40","121.10","1.96M","-0.08%"
"21/04/2025","121.70","122.00","124.30","121.10","3.40M","0.25%"
"18/04/2025","121.40","125.20","126.20","120.80","3.22M","-2.33%"
"17/04/2025","124.30","123.20","125.30","120.30","4.62M","0.89%"
"16/04/2025","123.20","126.40","126.70","122.80","2.64M","-2.99%"
"15/04/2025","127.00","130.90","132.30","127.00","1.92M","-2.91%"
"14/04/2025","130.80","132.00","132.80","129.60","2.09M","-0.15%"
"11/04/2025","131.00","133.50","134.60","129.90","2.95M","-2.96%"
"10/04/2025","135.00","139.30","139.70","133.70","2.13M","-0.07%"
"09/04/2025","135.10","136.50","137.40","133.60","2.48M","-1.67%"
"08/04/2025","137.40","133.50","139.30","132.80","3.73M","4.01%"
"07/04/2025","132.10","129.00","132.70","126.20","3.06M","-0.45%"
"04/04/2025","132.70","133.00","134.10","130.50","1.54M","-0.23%"
"03/04/2025","133.00","131.60","135.80","131.50","3.04M","0.61%"
"02/04/2025","132.20","137.10","137.10","131.60","2.68M","-3.57%"
"28/03/2025","137.10","138.20","138.20","132.60","2.93M","0.81%"
"27/03/2025","136.00","141.30","142.40","134.50","3.06M","-3.68%"
"26/03/2025","141.20","140.60","143.90","139.10","2.05M","-1.05%"
"25/03/2025","142.70","141.70","147.30","139.20","3.37M","1.06%"
"24/03/2025","141.20","138.80","144.30","133.20","2.70M","2.54%"
"21/03/2025","137.70","149.20","149.50","136.20","4.07M","-7.09%"
"20/03/2025","148.20","145.10","152.40","144.90","4.36M","3.28%"
"19/03/2025","143.50","139.00","152.00","139.00","5.94M","-4.46%"
"18/03/2025","150.20","146.90","151.00","145.00","3.15M","2.18%"
"17/03/2025","147.00","147.50","150.60","146.90","2.88M","-0.27%"
"14/03/2025","147.40","147.60","148.70","145.90","2.54M","-0.07%"
"13/03/2025","147.50","149.00","151.00","145.60","3.71M","-0.34%"
"12/03/2025","148.00","146.00","148.10","143.50","3.21M","2.21%"
"11/03/2025","144.80","141.90","146.00","140.90","3.63M","1.76%"
"10/03/2025","142.30","145.70","146.20","140.10","3.32M","-2.33%"
"07/03/2025","145.70","140.00","145.90","139.40","5.43M","3.63%"
"06/03/2025","140.60","134.30","140.60","133.10","4.37M","5.71%"
"05/03/2025","133.00","126.70","133.00","126.70","3.55M","5.56%"
"04/03/2025","126.00","127.10","127.30","125.20","1.95M","-1.25%"
"03/03/2025","127.60","127.60","130.30","126.90","3.07M","0.00%"
"28/02/2025","127.60","126.00","127.60","123.60","2.84M","0.71%"
"27/02/2025","126.70","123.60","127.20","123.00","2.33M","2.34%"
"26/02/2025","123.80","122.20","124.50","120.40","2.16M","1.31%"
"25/02/2025","122.20","124.40","124.90","122.10","1.48M","-1.77%"
"24/02/2025","124.40","126.50","126.60","124.10","1.81M","-0.16%"
"21/02/2025","124.60","127.40","128.20","123.40","2.84M","-2.20%"
"20/02/2025","127.40","125.70","128.10","125.40","2.77M","1.19%"
"19/02/2025","125.90","128.80","129.10","125.50","2.48M","-1.95%"
"18/02/2025","128.40","126.90","128.60","126.10","2.57M","1.02%"
"17/02/2025","127.10","128.60","129.40","126.80","2.27M","-1.01%"
"14/02/2025","128.40","129.30","130.10","128.20","1.67M","-0.62%"
"13/02/2025","129.20","128.30","129.30","127.50","2.81M","1.57%"
"12/02/2025","127.20","131.70","132.10","127.00","3.17M","-3.27%"
"11/02/2025","131.50","128.70","131.70","127.00","4.21M","2.41%"
"10/02/2025","128.40","128.90","130.70","128.10","3.08M","0.23%"
"07/02/2025","128.10","127.40","128.50","126.70","2.33M","0.55%"
"06/02/2025","127.40","129.00","130.00","126.50","3.03M","-0.70%"
"05/02/2025","128.30","131.10","132.10","126.80","2.77M","-1.91%"
"04/02/2025","130.80","128.20","132.00","126.10","4.21M","2.27%"
"03/02/2025","127.90","126.50","129.80","123.50","4.28M","0.71%"
"31/01/2025","127.00","129.30","131.50","126.70","2.49M","-1.78%"
"30/01/2025","129.30","129.10","131.30","129.00","2.58M","0.39%"
"29/01/2025","128.80","133.40","134.50","128.60","3.49M","-3.45%"
"28/01/2025","133.40","130.90","133.60","130.90","3.91M","2.07%"
"27/01/2025","130.70","130.00","132.60","129.00","3.33M","-0.23%"
"24/01/2025","131.00","130.80","131.30","129.50","2.24M","0.69%"
"23/01/2025","130.10","127.40","130.10","127.30","4.56M","2.76%"
"22/01/2025","126.60","126.20","127.30","125.00","2.61M","0.48%"
