"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","215.00","216.50","219.10","213.30","39.22M","-0.60%"
"29/09/2025","216.30","217.30","220.50","213.60","28.39M","-0.46%"
"26/09/2025","217.30","218.00","222.30","214.10","44.83M","-0.46%"
"25/09/2025","218.30","219.00","220.80","215.60","35.59M","0.37%"
"24/09/2025","217.50","211.60","217.80","207.60","41.05M","2.98%"
"23/09/2025","211.20","212.80","214.50","209.30","31.68M","-1.12%"
"22/09/2025","213.60","210.00","218.20","205.30","68.11M","4.50%"
"19/09/2025","204.40","192.40","204.40","191.70","45.50M","6.35%"
"18/09/2025","192.20","194.60","196.80","191.40","20.83M","-0.98%"
"17/09/2025","194.10","195.20","199.30","194.10","31.24M","-0.56%"
"16/09/2025","195.20","185.20","196.50","184.80","53.89M","5.40%"
"15/09/2025","185.20","173.70","186.40","171.90","39.45M","6.50%"
"12/09/2025","173.90","172.10","176.90","171.30","21.57M","1.05%"
"11/09/2025","172.10","177.40","177.70","171.10","24.58M","-2.99%"
"10/09/2025","177.40","180.10","180.90","174.60","39.93M","2.13%"
"09/09/2025","173.70","173.50","174.50","170.80","23.88M","0.12%"
"08/09/2025","173.50","173.80","175.60","172.00","14.49M","-0.86%"
"05/09/2025","175.00","182.10","182.60","175.00","22.81M","-3.85%"
"04/09/2025","182.00","178.80","184.20","178.70","24.15M","1.79%"
"03/09/2025","178.80","173.00","179.00","170.70","27.61M","2.64%"
"02/09/2025","174.20","179.00","179.60","168.70","26.00M","-2.41%"
"01/09/2025","178.50","183.50","184.90","178.20","23.20M","-2.62%"
"29/08/2025","183.30","183.80","187.50","183.00","35.69M","-0.27%"
"28/08/2025","183.80","185.00","186.80","183.00","19.22M","0.27%"
"27/08/2025","183.30","185.40","185.40","181.90","18.71M","-1.19%"
"26/08/2025","185.50","180.50","186.00","179.10","33.83M","2.94%"
"25/08/2025","180.20","182.50","183.10","179.70","14.21M","-0.72%"
"22/08/2025","181.50","180.30","182.90","179.00","24.21M","0.67%"
"21/08/2025","180.30","182.40","183.30","178.70","20.44M","-0.66%"
"20/08/2025","181.50","173.70","182.50","173.20","38.94M","5.28%"
"19/08/2025","172.40","172.20","173.20","169.60","16.20M","0.41%"
"18/08/2025","171.70","170.40","172.50","167.00","22.60M","0.76%"
"15/08/2025","170.40","170.40","172.10","169.10","14.92M","0.24%"
"14/08/2025","170.00","174.50","175.40","168.80","16.55M","-2.41%"
"13/08/2025","174.20","172.00","175.90","170.40","25.25M","1.28%"
"12/08/2025","172.00","178.70","179.00","172.00","21.75M","-3.75%"
"11/08/2025","178.70","181.60","181.70","178.60","13.89M","-1.00%"
"08/08/2025","180.50","180.30","182.70","179.80","20.70M","0.84%"
"07/08/2025","179.00","182.10","183.50","178.10","21.74M","-1.43%"
"06/08/2025","181.60","186.00","188.40","179.60","36.49M","-1.89%"
"05/08/2025","185.10","188.50","188.70","185.10","14.58M","-1.80%"
"04/08/2025","188.50","186.30","188.50","183.80","20.99M","2.22%"
"01/08/2025","184.40","188.00","188.70","183.50","20.66M","-1.39%"
