"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","29.400","29.660","29.700","29.020","236.88M","0.14%"
"29/09/2025","29.360","30.040","30.300","29.280","313.05M","-3.17%"
"26/09/2025","30.320","32.280","32.280","30.320","330.62M","-6.54%"
"25/09/2025","32.440","31.720","32.700","31.140","248.17M","3.18%"
"24/09/2025","31.440","31.600","31.740","30.840","352.10M","-0.69%"
"23/09/2025","31.660","29.120","32.300","29.100","516.90M","6.89%"
"22/09/2025","29.620","29.500","29.880","29.020","201.17M","2.35%"
"19/09/2025","28.940","27.300","28.940","27.280","261.48M","6.24%"
"18/09/2025","27.240","27.600","28.120","27.140","172.33M","-1.02%"
"17/09/2025","27.520","27.680","27.840","27.440","173.73M","-0.36%"
"16/09/2025","27.620","27.500","27.820","27.380","137.88M","0.44%"
"15/09/2025","27.500","25.680","27.500","25.440","199.74M","7.00%"
"12/09/2025","25.700","25.760","25.880","25.420","104.85M","0.00%"
"11/09/2025","25.700","26.060","26.600","25.480","220.35M","-1.23%"
"10/09/2025","26.020","26.460","26.480","25.960","198.04M","-0.91%"
"09/09/2025","26.260","26.640","26.860","26.100","149.78M","-0.91%"
"08/09/2025","26.500","26.740","27.000","26.260","141.52M","-3.07%"
"05/09/2025","27.340","28.340","28.360","27.340","147.73M","-2.98%"
"04/09/2025","28.180","28.540","28.960","28.100","132.68M","-1.12%"
"03/09/2025","28.500","28.540","28.900","28.160","253.70M","-0.07%"
"02/09/2025","28.520","29.900","30.020","28.220","287.68M","-4.42%"
"01/09/2025","29.840","29.960","30.040","29.360","184.93M","-0.07%"
"29/08/2025","29.860","29.840","30.140","29.620","182.50M","0.20%"
"28/08/2025","29.800","29.700","30.060","29.660","174.07M","0.74%"
"27/08/2025","29.580","29.760","30.100","29.580","169.07M","-0.34%"
"26/08/2025","29.680","29.640","30.380","29.420","326.76M","0.07%"
"25/08/2025","29.660","29.600","29.920","29.400","187.42M","0.88%"
"22/08/2025","29.400","29.620","30.140","29.140","282.62M","-0.54%"
"21/08/2025","29.560","29.380","29.860","29.380","160.97M","0.89%"
