"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","28.400","28.600","28.840","28.220","49.61M","-0.07%"
"29/09/2025","28.420","28.500","28.900","28.280","39.41M","-1.25%"
"26/09/2025","28.780","30.100","30.100","28.280","75.63M","-4.70%"
"25/09/2025","30.200","30.100","30.580","29.980","79.53M","0.73%"
"24/09/2025","29.980","29.920","30.300","29.300","97.34M","0.60%"
"23/09/2025","29.800","29.100","30.880","29.100","223.97M","1.02%"
"22/09/2025","29.500","30.520","30.580","29.500","120.58M","-1.67%"
"19/09/2025","30.000","28.360","30.000","28.200","131.64M","6.69%"
"18/09/2025","28.120","27.900","28.920","27.840","92.98M","1.30%"
"17/09/2025","27.760","28.300","28.860","27.660","95.00M","0.51%"
"16/09/2025","27.620","27.280","27.620","26.720","54.59M","1.77%"
"15/09/2025","27.140","25.580","27.160","25.020","101.04M","6.10%"
"12/09/2025","25.580","25.660","25.940","25.060","40.38M","-0.31%"
"11/09/2025","25.660","26.040","26.640","25.560","43.76M","-1.31%"
"10/09/2025","26.000","26.100","26.320","25.720","30.92M","0.46%"
"09/09/2025","25.880","25.760","26.420","25.680","56.97M","0.47%"
"08/09/2025","25.760","26.160","26.320","25.740","31.31M","-3.66%"
"05/09/2025","26.740","27.520","27.560","26.580","30.93M","-2.34%"
"04/09/2025","27.380","26.920","27.640","26.920","40.73M","1.78%"
"03/09/2025","26.900","27.160","27.240","26.420","44.58M","-0.88%"
"02/09/2025","27.140","28.800","28.900","26.000","96.34M","-5.50%"
"01/09/2025","28.720","29.440","29.500","28.660","35.37M","-2.31%"
"29/08/2025","29.400","29.840","29.900","29.260","37.13M","-1.41%"
"28/08/2025","29.820","29.660","30.300","29.660","33.98M","0.47%"
"27/08/2025","29.680","30.580","30.720","29.460","33.71M","-2.62%"
"26/08/2025","30.480","31.000","31.560","30.480","41.50M","-2.25%"
"25/08/2025","31.180","31.080","31.580","30.820","38.35M","1.17%"
"22/08/2025","30.820","30.300","31.160","30.240","51.78M","1.72%"
"21/08/2025","30.300","29.440","30.340","29.380","50.40M","2.92%"
"20/08/2025","29.440","28.400","29.660","28.380","68.49M","3.15%"
"19/08/2025","28.540","28.380","29.080","28.120","60.43M","0.49%"
"18/08/2025","28.400","27.440","28.400","27.340","63.34M","3.73%"
"15/08/2025","27.380","27.720","27.760","27.280","29.47M","-1.23%"
"14/08/2025","27.720","28.300","28.520","27.680","49.52M","-2.19%"
"13/08/2025","28.340","27.920","28.440","27.820","44.76M","1.72%"
"12/08/2025","27.860","28.340","28.500","27.800","35.05M","-1.69%"
"11/08/2025","28.340","28.600","28.820","28.280","62.57M","0.14%"
"08/08/2025","28.300","27.920","28.720","27.800","42.98M","0.93%"
"07/08/2025","28.040","28.300","28.540","27.900","43.39M","-0.85%"
"06/08/2025","28.280","28.220","28.300","27.740","51.52M","0.21%"
"05/08/2025","28.220","28.620","28.800","28.200","29.53M","-1.26%"
"04/08/2025","28.580","28.400","28.680","28.000","45.73M","0.92%"
"01/08/2025","28.320","27.640","28.380","27.600","65.98M","2.16%"
"31/07/2025","27.720","26.880","27.780","26.460","68.43M","3.13%"
"30/07/2025","26.880","25.980","27.080","25.900","55.46M","3.54%"
"29/07/2025","25.960","26.280","26.480","25.900","22.29M","-1.59%"
"28/07/2025","26.380","26.900","26.920","26.280","26.72M","-1.64%"
"25/07/2025","26.820","26.860","27.300","26.660","41.24M","-0.37%"
"24/07/2025","26.920","27.160","27.500","26.740","61.67M","-0.88%"
"23/07/2025","27.160","27.200","27.400","26.780","48.42M","-0.29%"
"22/07/2025","27.240","27.200","27.420","26.800","84.91M","3.03%"
"21/07/2025","26.440","26.000","26.660","26.000","58.44M","3.04%"
"18/07/2025","25.660","26.000","26.000","25.300","34.25M","-0.93%"
"17/07/2025","25.900","25.100","25.900","24.920","58.17M","4.27%"
"16/07/2025","24.840","24.840","25.300","24.240","46.46M","-0.16%"
"14/07/2025","24.880","25.520","25.640","24.820","33.56M","-2.89%"
"11/07/2025","25.620","26.300","26.360","25.560","44.35M","-1.99%"
"10/07/2025","26.140","25.560","26.300","25.480","64.63M","4.14%"
"09/07/2025","25.100","24.660","25.340","24.520","54.98M","1.87%"
"08/07/2025","24.640","25.900","26.000","24.620","64.14M","-4.20%"
"07/07/2025","25.720","25.720","26.020","25.540","40.38M","-1.76%"
"04/07/2025","26.180","25.820","26.400","25.720","62.66M","1.39%"
"03/07/2025","25.820","26.220","26.460","25.560","55.72M","-0.15%"
"02/07/2025","25.860","24.580","26.500","24.500","156.43M","5.72%"
"01/07/2025","24.460","24.160","24.620","24.020","73.23M","1.41%"
"30/06/2025","24.120","22.800","24.120","22.800","89.65M","6.16%"
"27/06/2025","22.720","22.820","23.000","22.300","56.76M","-0.79%"
"26/06/2025","22.900","22.920","23.440","22.820","55.60M","0.17%"
"25/06/2025","22.860","23.000","23.180","22.800","44.63M","-0.35%"
"24/06/2025","22.940","22.900","23.200","22.620","62.75M","3.33%"
"23/06/2025","22.200","22.640","22.900","22.080","57.39M","-2.89%"
"20/06/2025","22.860","22.280","23.000","22.140","71.76M","5.15%"
"19/06/2025","21.740","21.820","22.680","21.620","66.79M","-0.09%"
"18/06/2025","21.760","22.300","22.320","21.740","36.67M","-2.51%"
"17/06/2025","22.320","22.560","22.960","22.320","77.33M","0.81%"
"16/06/2025","22.140","21.840","22.360","21.740","64.64M","1.56%"
"13/06/2025","21.800","21.820","22.400","21.160","101.58M","-5.87%"
"12/06/2025","23.160","23.380","23.620","22.920","43.94M","-2.11%"
"11/06/2025","23.660","23.960","24.100","23.620","37.63M","-1.00%"
