"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","259.25","253.00","259.75","251.75","3.53M","2.57%"
"29/09/2025","252.75","256.75","260.50","252.75","2.76M","-1.56%"
"26/09/2025","256.75","259.50","262.00","255.50","2.20M","-1.72%"
"25/09/2025","261.25","263.00","264.50","259.50","2.35M","-0.57%"
"24/09/2025","262.75","262.00","264.50","258.00","3.13M","0.48%"
"23/09/2025","261.50","265.00","266.00","259.50","3.05M","-2.88%"
"22/09/2025","269.25","272.00","275.50","266.75","6.28M","1.51%"
"19/09/2025","265.25","261.50","265.25","258.75","4.92M","1.73%"
"18/09/2025","260.75","263.75","266.50","259.50","4.41M","-0.48%"
"17/09/2025","262.00","267.50","274.50","262.00","5.95M","-2.33%"
"16/09/2025","268.25","261.00","270.00","259.75","9.19M","2.98%"
"15/09/2025","260.50","239.50","261.25","238.70","9.51M","8.32%"
"12/09/2025","240.50","239.00","242.60","238.40","4.50M","0.38%"
"11/09/2025","239.60","240.00","246.40","239.60","7.20M","-0.21%"
"10/09/2025","240.10","237.00","245.90","235.80","11.35M","1.31%"
"09/09/2025","237.00","230.00","239.00","227.90","16.30M","6.42%"
"08/09/2025","222.70","220.90","226.60","220.40","4.49M","-1.07%"
"05/09/2025","225.10","229.40","230.60","223.50","5.59M","-1.05%"
"04/09/2025","227.50","229.00","231.40","225.20","4.91M","-0.22%"
"03/09/2025","228.00","232.60","232.60","224.30","5.78M","-1.98%"
"02/09/2025","232.60","247.30","247.80","228.20","6.93M","-5.79%"
"01/09/2025","246.90","250.00","250.00","242.60","5.58M","-1.34%"
"29/08/2025","250.25","255.75","256.00","249.80","4.85M","-1.67%"
"28/08/2025","254.50","248.00","257.25","247.80","7.17M","2.75%"
"27/08/2025","247.70","254.25","256.75","246.60","3.94M","-2.19%"
"26/08/2025","253.25","254.00","257.50","250.75","4.18M","-0.69%"
"25/08/2025","255.00","248.00","256.75","244.50","6.60M","3.66%"
"22/08/2025","246.00","247.90","248.50","244.30","3.05M","-0.61%"
"21/08/2025","247.50","242.60","248.70","242.10","5.90M","2.27%"
"20/08/2025","242.00","235.90","242.20","234.10","6.79M","2.76%"
"19/08/2025","235.50","238.60","238.80","233.00","4.84M","-0.84%"
"18/08/2025","237.50","236.60","238.40","234.30","2.98M","0.85%"
"15/08/2025","235.50","236.20","238.30","235.10","2.23M","-0.21%"
"14/08/2025","236.00","237.40","239.40","235.10","4.04M","-0.42%"
"13/08/2025","237.00","235.40","237.30","231.70","4.07M","0.94%"
"12/08/2025","234.80","235.00","237.30","234.00","4.50M","0.56%"
"11/08/2025","233.50","231.00","236.80","230.30","4.62M","1.21%"
"08/08/2025","230.70","232.70","234.00","228.50","3.71M","-0.82%"
"07/08/2025","232.60","229.40","235.50","229.40","6.08M","1.48%"
"06/08/2025","229.20","230.10","231.40","228.80","3.12M","-0.35%"
"05/08/2025","230.00","231.30","233.40","228.10","5.40M","-0.43%"
"04/08/2025","231.00","230.70","234.30","230.10","3.95M","0.70%"
"01/08/2025","229.40","229.60","233.00","226.50","5.33M","-0.61%"
"31/07/2025","230.80","225.90","232.50","225.20","9.04M","1.81%"
"30/07/2025","226.70","214.00","229.50","213.40","12.79M","5.93%"
"29/07/2025","214.00","219.10","224.30","213.50","7.79M","-1.47%"
"28/07/2025","217.20","220.60","222.60","216.90","4.37M","-1.00%"
"25/07/2025","219.40","223.50","223.70","218.30","3.71M","-1.53%"
"24/07/2025","222.80","215.00","223.90","213.70","13.14M","4.40%"
"23/07/2025","213.40","210.40","215.40","210.30","7.26M","1.43%"
"22/07/2025","210.40","214.70","214.80","210.40","3.81M","-1.59%"
"21/07/2025","213.80","211.10","216.00","209.60","10.49M","1.38%"
"18/07/2025","210.90","207.70","214.00","204.90","7.26M","1.54%"
"17/07/2025","207.70","206.50","209.20","202.70","6.42M","1.42%"
"16/07/2025","204.80","210.90","212.10","203.70","5.07M","-2.94%"
"14/07/2025","211.00","212.70","215.60","211.00","3.93M","-1.17%"
"11/07/2025","213.50","213.60","215.60","213.10","5.30M","0.28%"
"10/07/2025","212.90","214.50","216.10","211.50","5.10M","0.42%"
"09/07/2025","212.00","208.80","213.50","208.20","5.92M","1.53%"
"08/07/2025","208.80","208.20","211.80","205.90","6.69M","0.53%"
"07/07/2025","207.70","208.50","210.50","205.40","3.32M","-2.30%"
"04/07/2025","212.60","213.20","213.60","210.30","3.06M","-0.19%"
"03/07/2025","213.00","208.20","213.70","205.30","8.06M","3.15%"
"02/07/2025","206.50","210.00","211.00","203.30","8.56M","1.28%"
"01/07/2025","203.90","195.30","205.20","194.20","8.96M","3.92%"
"30/06/2025","196.20","185.60","196.50","185.30","8.82M","6.17%"
"27/06/2025","184.80","186.90","187.20","181.90","3.44M","-0.91%"
"26/06/2025","186.50","184.70","189.00","184.00","5.04M","0.97%"
"25/06/2025","184.70","188.00","189.80","184.60","5.26M","0.54%"
"24/06/2025","183.70","183.90","185.90","180.30","6.20M","3.20%"
"23/06/2025","178.00","177.00","180.80","175.50","4.34M","-0.28%"
"20/06/2025","178.50","179.00","181.20","178.00","3.38M","0.68%"
"19/06/2025","177.30","179.20","182.10","177.20","3.64M","-0.73%"
"18/06/2025","178.60","181.50","183.00","178.50","3.30M","-2.40%"
"17/06/2025","183.00","189.30","189.90","183.00","7.01M","-0.76%"
"16/06/2025","184.40","184.90","186.40","180.80","4.92M","-0.27%"
"13/06/2025","184.90","179.90","184.90","177.00","6.20M","-2.07%"
"12/06/2025","188.80","187.50","193.50","185.90","7.43M","-1.05%"
"11/06/2025","190.80","182.30","193.90","181.90","12.10M","4.95%"
"10/06/2025","181.80","184.00","184.90","180.80","5.30M","-0.38%"
"05/06/2025","182.50","184.10","184.40","182.50","1.15M","-1.03%"
"04/06/2025","184.40","183.10","186.90","182.30","4.47M","-0.16%"
"03/06/2025","184.70","178.00","185.40","178.00","4.37M","5.60%"
"02/06/2025","174.90","176.00","177.20","174.00","3.80M","-1.19%"
"30/05/2025","177.00","181.50","184.70","177.00","4.99M","-2.26%"
"29/05/2025","181.10","185.30","187.70","181.10","4.34M","-1.25%"
"28/05/2025","183.40","189.10","190.50","183.10","3.97M","-3.47%"
"27/05/2025","190.00","194.80","195.40","186.70","4.62M","-2.41%"
"26/05/2025","194.70","196.90","197.70","193.30","4.92M","-0.36%"
"23/05/2025","195.40","204.00","204.00","195.30","6.78M","-4.31%"
"22/05/2025","204.20","204.40","206.60","202.50","4.97M","0.29%"
"21/05/2025","203.60","205.10","208.90","201.10","8.60M","-0.73%"
"20/05/2025","205.10","217.30","218.00","205.10","6.78M","-5.61%"
"16/05/2025","217.30","213.00","217.50","212.50","8.03M","1.78%"
"15/05/2025","213.50","218.40","220.90","212.60","7.74M","-1.84%"
"14/05/2025","217.50","218.10","221.30","216.30","9.07M","-0.05%"
"13/05/2025","217.60","213.00","228.20","211.60","20.72M","1.35%"
"12/05/2025","214.70","204.50","215.00","203.70","12.92M","6.55%"
"09/05/2025","201.50","200.80","203.40","198.60","6.66M","0.25%"
"08/05/2025","201.00","197.80","203.10","195.70","8.59M","2.08%"
"07/05/2025","196.90","204.40","205.40","196.00","7.07M","-3.67%"
"06/05/2025","204.40","203.50","205.10","199.90","7.39M","0.10%"
"05/05/2025","204.20","198.60","206.30","198.30","12.27M","3.13%"
"02/05/2025","198.00","205.80","206.20","197.80","9.41M","-1.00%"
"30/04/2025","200.00","201.00","202.90","195.50","9.91M","-0.25%"
"29/04/2025","200.50","198.00","203.50","196.60","15.21M","2.40%"
"28/04/2025","195.80","203.10","205.10","195.40","9.28M","-3.59%"
"25/04/2025","203.10","205.00","208.50","199.60","19.30M","-0.44%"
"24/04/2025","204.00","188.20","206.70","185.40","31.30M","8.22%"
"22/04/2025","188.50","197.70","205.40","187.90","27.97M","-2.89%"
"21/04/2025","194.10","182.00","194.10","180.40","24.26M","9.97%"
"18/04/2025","176.50","174.50","181.30","171.30","21.57M","6.13%"
"17/04/2025","166.30","151.20","166.30","150.10","12.67M","9.99%"
"16/04/2025","151.20","157.00","157.80","150.30","5.68M","-4.06%"
"15/04/2025","157.60","163.00","164.00","157.10","5.06M","-3.08%"
"14/04/2025","162.60","160.80","164.00","159.90","4.44M","1.69%"
"11/04/2025","159.90","159.70","160.60","157.30","4.35M","0.13%"
"10/04/2025","159.70","164.50","166.00","158.90","7.21M","0.44%"
"09/04/2025","159.00","162.40","163.90","158.00","6.40M","-3.23%"
"08/04/2025","164.30","164.40","165.00","161.30","6.39M","1.42%"
"07/04/2025","162.00","157.20","166.70","157.20","8.37M","-1.16%"
"04/04/2025","163.90","168.20","168.20","163.70","6.66M","-2.61%"
"03/04/2025","168.30","165.00","171.30","164.60","7.60M","0.84%"
"02/04/2025","166.90","167.27","169.05","164.57","5.48M","-0.22%"
