"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","186.50","187.40","187.50","181.30","21.49M","0.33%"
"29/09/2025","185.88","185.40","187.80","183.19","19.43M","0.26%"
"26/09/2025","185.40","192.23","192.32","184.05","23.55M","-3.89%"
"25/09/2025","192.90","191.36","193.96","189.63","21.56M","1.52%"
"24/09/2025","190.01","188.09","190.69","184.82","18.51M","1.02%"
"23/09/2025","188.09","187.90","190.21","185.88","16.79M","-3.89%"
"22/09/2025","195.70","197.50","200.20","195.70","17.35M","0.36%"
"19/09/2025","195.00","191.40","195.00","190.30","19.36M","1.88%"
"18/09/2025","191.40","191.00","194.40","190.10","18.54M","0.63%"
"17/09/2025","190.20","189.00","190.80","187.50","14.31M","0.63%"
"16/09/2025","189.00","184.40","189.70","182.40","27.52M","2.89%"
"15/09/2025","183.70","173.40","184.10","171.50","35.31M","5.94%"
"12/09/2025","173.40","174.60","176.10","172.00","22.15M","-0.91%"
"11/09/2025","175.00","170.50","179.00","169.80","36.24M","2.64%"
"10/09/2025","170.50","169.20","170.60","166.00","17.33M","1.31%"
"09/09/2025","168.30","166.00","171.50","166.00","24.78M","1.45%"
"08/09/2025","165.90","165.80","167.00","163.30","16.04M","-0.96%"
"05/09/2025","167.50","169.60","171.30","166.50","14.98M","-0.77%"
"04/09/2025","168.80","170.90","172.30","167.90","20.74M","-1.23%"
"03/09/2025","170.90","170.10","172.10","168.20","22.96M","0.47%"
"02/09/2025","170.10","174.00","175.90","165.60","39.03M","-1.79%"
"01/09/2025","173.20","172.20","174.50","170.20","20.46M","0.58%"
"29/08/2025","172.20","171.10","174.30","169.90","24.77M","0.70%"
"28/08/2025","171.00","171.10","173.50","171.00","13.55M","-0.06%"
"27/08/2025","171.10","172.60","173.40","170.70","17.65M","-0.29%"
"26/08/2025","171.60","172.20","174.20","171.40","19.14M","-0.69%"
"25/08/2025","172.80","174.70","174.90","172.80","18.57M","0.06%"
"22/08/2025","172.70","169.40","173.00","167.90","29.44M","2.55%"
"21/08/2025","168.40","164.90","168.70","164.50","22.42M","2.68%"
"20/08/2025","164.00","160.30","164.80","159.90","21.58M","2.37%"
"19/08/2025","160.20","161.20","161.80","159.40","15.11M","-0.56%"
"18/08/2025","161.10","163.00","163.70","160.50","10.16M","-0.98%"
"15/08/2025","162.70","160.20","163.60","160.20","13.44M","1.69%"
"14/08/2025","160.00","162.30","163.00","159.20","12.44M","-2.02%"
"13/08/2025","163.30","161.10","163.50","161.10","11.75M","1.43%"
"12/08/2025","161.00","164.40","164.60","160.50","14.32M","-2.07%"
"11/08/2025","164.40","164.70","165.70","163.50","13.00M","0.24%"
"08/08/2025","164.00","164.30","165.10","163.00","10.34M","-0.18%"
"07/08/2025","164.30","168.00","168.00","164.20","14.49M","-1.62%"
"06/08/2025","167.00","165.70","167.70","164.50","14.67M","0.78%"
"05/08/2025","165.70","164.30","167.50","163.40","22.06M","1.10%"
"04/08/2025","163.90","166.20","167.60","163.30","16.16M","-1.21%"
"01/08/2025","165.90","168.90","169.80","165.20","13.29M","-1.78%"
"31/07/2025","168.90","165.20","169.30","163.60","28.99M","2.36%"
"30/07/2025","165.00","164.80","167.60","162.20","26.45M","1.48%"
"29/07/2025","162.60","164.60","165.00","160.30","15.36M","-1.16%"
"28/07/2025","164.50","167.10","167.30","164.00","11.84M","-1.56%"
