"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","25.86","25.84","26.02","25.38","2.78M","0.70%"
"29/09/2025","25.68","26.22","26.24","25.50","2.47M","-2.06%"
"26/09/2025","26.22","26.88","27.02","25.98","2.57M","-2.46%"
"25/09/2025","26.88","27.46","27.70","26.84","2.10M","-2.18%"
"24/09/2025","27.48","27.48","27.92","26.98","2.72M","-1.36%"
"23/09/2025","27.86","27.60","27.88","27.48","3.10M","-0.78%"
"22/09/2025","28.08","28.50","28.70","28.00","3.42M","0.07%"
"19/09/2025","28.06","27.70","28.20","27.38","5.49M","1.52%"
"18/09/2025","27.64","28.16","28.54","27.48","5.95M","-1.85%"
"17/09/2025","28.16","28.80","29.00","27.86","3.81M","0.14%"
"16/09/2025","28.12","27.12","28.22","26.98","3.97M","3.76%"
"15/09/2025","27.10","25.56","27.10","25.16","4.86M","6.11%"
"12/09/2025","25.54","25.34","25.70","24.78","3.50M","0.79%"
"11/09/2025","25.34","25.70","26.52","25.28","3.69M","-1.40%"
"10/09/2025","25.70","25.82","26.00","25.34","1.81M","0.16%"
"09/09/2025","25.66","26.00","26.32","25.58","2.39M","-1.00%"
"08/09/2025","25.92","26.48","26.58","25.90","2.77M","-3.21%"
"05/09/2025","26.78","27.20","27.38","26.56","3.33M","-1.47%"
"04/09/2025","27.18","27.02","27.52","27.02","2.53M","0.74%"
"03/09/2025","26.98","26.48","27.16","26.08","4.46M","2.12%"
"02/09/2025","26.42","27.54","27.64","25.74","5.38M","-3.72%"
"01/09/2025","27.44","27.86","27.88","27.34","3.13M","-0.65%"
"29/08/2025","27.62","28.42","28.48","27.54","3.07M","-1.99%"
"28/08/2025","28.18","28.80","28.84","28.06","3.90M","-0.70%"
"27/08/2025","28.38","30.06","30.24","28.20","12.13M","-5.65%"
"26/08/2025","30.08","29.66","31.42","29.58","15.16M","3.80%"
"25/08/2025","28.98","29.00","29.16","28.74","4.59M","0.49%"
"22/08/2025","28.84","29.00","29.10","28.56","3.75M","-0.41%"
"21/08/2025","28.96","29.00","29.36","28.74","4.09M","0.63%"
"20/08/2025","28.78","28.12","29.16","28.10","4.09M","2.42%"
"19/08/2025","28.10","29.36","29.58","27.94","5.51M","-4.29%"
"18/08/2025","29.36","30.00","30.14","28.80","11.17M","-8.19%"
"15/08/2025","31.98","31.52","32.12","31.00","1.92M","1.46%"
"14/08/2025","31.52","31.32","32.08","31.12","1.97M","0.64%"
"13/08/2025","31.32","31.60","31.86","31.16","1.47M","-0.63%"
"12/08/2025","31.52","32.36","32.52","31.30","2.04M","-2.60%"
"11/08/2025","32.36","32.60","33.10","32.20","2.07M","0.12%"
"08/08/2025","32.32","32.92","33.00","32.10","2.17M","-1.52%"
"07/08/2025","32.82","33.06","34.08","32.78","3.49M","0.80%"
"06/08/2025","32.56","33.02","33.10","32.44","1.88M","-1.21%"
"05/08/2025","32.96","33.00","33.60","32.08","3.76M","0.61%"
"04/08/2025","32.76","33.50","34.16","32.50","5.21M","-1.03%"
"01/08/2025","33.10","31.46","33.10","31.16","5.61M","5.62%"
"31/07/2025","31.34","31.40","31.64","31.14","1.58M","1.23%"
"30/07/2025","30.96","31.50","31.76","30.96","2.19M","-0.83%"
"29/07/2025","31.22","30.40","31.88","30.26","4.89M","3.31%"
"28/07/2025","30.22","30.16","30.84","30.04","1.82M","0.33%"
"25/07/2025","30.12","30.62","30.96","29.92","2.21M","-1.63%"
"24/07/2025","30.62","29.74","30.90","29.64","3.01M","3.10%"
"23/07/2025","29.70","30.02","30.10","29.42","2.26M","-0.74%"
"22/07/2025","29.92","30.14","30.50","29.60","2.70M","-0.07%"
"21/07/2025","29.94","29.34","30.22","29.34","2.98M","2.25%"
"18/07/2025","29.28","29.52","29.58","28.70","1.76M","0.90%"
"17/07/2025","29.02","28.32","29.14","28.30","1.42M","3.20%"
"16/07/2025","28.12","29.02","29.88","27.90","2.69M","-2.90%"
"14/07/2025","28.96","28.64","29.28","28.50","1.50M","1.26%"
"11/07/2025","28.60","29.20","29.42","28.48","1.22M","-1.99%"
"10/07/2025","29.18","28.90","29.60","28.90","2.04M","1.32%"
"09/07/2025","28.80","28.40","29.10","28.10","1.71M","1.48%"
"08/07/2025","28.38","27.90","28.60","27.48","2.68M","2.16%"
"07/07/2025","27.78","28.48","28.48","27.06","2.70M","-2.94%"
"04/07/2025","28.62","28.90","28.92","28.00","1.36M","-0.56%"
