"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","30.240","30.800","31.260","30.240","991.83K","-1.82%"
"29/09/2025","30.800","32.000","32.080","30.800","911.26K","-3.63%"
"26/09/2025","31.960","32.300","32.520","31.740","944.88K","-0.81%"
"25/09/2025","32.220","33.040","33.040","32.100","1.09M","-1.47%"
"24/09/2025","32.700","33.000","33.200","32.020","1.27M","-0.55%"
"23/09/2025","32.880","33.840","33.840","32.740","1.27M","-2.89%"
"22/09/2025","33.860","34.660","34.660","33.660","1.22M","0.47%"
"19/09/2025","33.700","33.200","33.740","32.700","1.20M","1.51%"
"18/09/2025","33.200","33.820","34.220","33.100","1.32M","-0.90%"
"17/09/2025","33.500","34.120","34.360","33.500","1.27M","-1.82%"
"16/09/2025","34.120","32.140","35.200","32.080","2.45M","6.56%"
"15/09/2025","32.020","30.360","32.100","29.680","1.81M","6.52%"
"12/09/2025","30.060","30.720","31.000","29.900","1.19M","-1.83%"
"11/09/2025","30.620","31.500","31.900","30.620","1.24M","-1.92%"
"10/09/2025","31.220","32.080","32.380","31.160","1.37M","-2.13%"
"09/09/2025","31.900","32.500","33.280","31.620","2.10M","0.06%"
"08/09/2025","31.880","31.720","32.780","31.380","2.08M","-0.62%"
"05/09/2025","32.080","33.460","33.740","32.000","1.74M","-3.66%"
"04/09/2025","33.300","32.900","33.740","32.900","1.04M","1.22%"
"03/09/2025","32.900","32.860","33.280","32.500","1.31M","0.12%"
"02/09/2025","32.860","34.340","34.480","31.880","2.38M","-3.86%"
"01/09/2025","34.180","34.260","34.760","34.000","1.58M","-0.23%"
"29/08/2025","34.260","35.600","35.900","34.160","2.09M","-3.27%"
"28/08/2025","35.420","35.800","36.140","35.420","1.18M","-0.28%"
"27/08/2025","35.520","36.200","36.880","35.420","1.28M","-1.88%"
"26/08/2025","36.200","36.660","37.040","35.900","1.88M","-1.47%"
"25/08/2025","36.740","36.040","37.280","36.040","2.17M","2.40%"
"22/08/2025","35.880","35.460","36.560","35.380","2.13M","1.47%"
"21/08/2025","35.360","35.080","35.780","35.080","1.70M","0.80%"
"20/08/2025","35.080","34.800","35.440","34.200","1.72M","1.39%"
"19/08/2025","34.600","33.960","35.120","33.960","2.73M","2.06%"
"18/08/2025","33.900","34.800","35.100","33.580","2.88M","-2.59%"
"15/08/2025","34.800","35.140","35.460","34.740","1.41M","-0.97%"
"14/08/2025","35.140","34.840","35.920","34.660","1.94M","0.86%"
"13/08/2025","34.840","35.280","35.620","34.820","1.72M","-1.25%"
"12/08/2025","35.280","36.580","36.700","35.000","2.12M","-2.81%"
"11/08/2025","36.300","37.900","37.940","35.620","5.44M","-7.21%"
"08/08/2025","39.120","39.500","39.960","39.100","1.64M","-1.16%"
"07/08/2025","39.580","39.740","40.400","39.560","2.11M","-0.45%"
"06/08/2025","39.760","39.140","40.980","38.880","3.16M","1.58%"
"05/08/2025","39.140","40.320","40.420","38.980","2.36M","-2.93%"
"04/08/2025","40.320","40.980","41.400","40.220","2.60M","-1.61%"
"01/08/2025","40.980","39.940","41.780","38.900","5.46M","2.60%"
"31/07/2025","39.940","37.000","40.380","37.000","7.10M","8.18%"
