"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","67.250","68.000","68.150","64.750","388.56K","-1.39%"
"29/09/2025","68.200","68.050","68.450","66.550","343.48K","0.22%"
"26/09/2025","68.050","67.700","69.000","66.000","567.42K","0.52%"
"25/09/2025","67.700","64.950","68.550","63.600","1.03M","5.45%"
"24/09/2025","64.200","64.200","65.500","63.850","271.48K","0.00%"
"23/09/2025","64.200","64.100","65.750","63.600","399.87K","0.16%"
"22/09/2025","64.100","66.000","66.500","64.100","514.43K","-1.38%"
"19/09/2025","65.000","62.500","66.000","61.500","862.59K","4.42%"
"18/09/2025","62.250","61.000","62.650","60.650","379.04K","3.06%"
"17/09/2025","60.400","62.150","62.350","59.950","239.42K","-1.39%"
"16/09/2025","61.250","60.100","61.600","60.000","290.23K","2.94%"
"15/09/2025","59.500","56.700","60.150","56.000","222.89K","5.03%"
"12/09/2025","56.650","57.400","58.100","55.000","210.31K","-1.65%"
"11/09/2025","57.600","58.000","60.250","57.500","344.06K","-1.37%"
"10/09/2025","58.400","58.150","58.900","57.000","184.46K","0.52%"
"09/09/2025","58.100","59.450","59.450","57.350","236.46K","-0.68%"
"08/09/2025","58.500","60.150","61.650","58.200","407.26K","-3.47%"
"05/09/2025","60.600","62.350","62.700","60.500","356.39K","-2.81%"
"04/09/2025","62.350","61.600","63.600","60.500","469.71K","1.22%"
"03/09/2025","61.600","60.000","62.300","57.750","749.27K","4.23%"
"02/09/2025","59.100","59.300","62.500","55.700","1.15M","2.34%"
"01/09/2025","57.750","57.050","58.650","56.500","317.53K","1.23%"
"29/08/2025","57.050","58.500","58.500","57.000","130.10K","-2.40%"
"28/08/2025","58.450","58.000","58.450","57.450","197.91K","1.04%"
"27/08/2025","57.850","58.750","59.850","57.000","336.24K","-0.17%"
"26/08/2025","57.950","58.800","59.200","57.650","348.06K","-1.45%"
"25/08/2025","58.800","60.000","63.000","58.500","767.93K","-2.81%"
"22/08/2025","60.500","61.550","61.850","59.950","479.53K","-1.71%"
"21/08/2025","61.550","62.400","64.000","61.000","465.10K","-1.28%"
"20/08/2025","62.350","60.500","63.000","59.750","621.97K","3.06%"
"19/08/2025","60.500","58.700","62.300","57.600","761.27K","3.07%"
"18/08/2025","58.700","57.950","60.950","57.550","858.47K","2.09%"
"15/08/2025","57.500","60.550","60.950","57.500","969.11K","-4.96%"
"14/08/2025","60.500","56.000","61.000","56.000","1.53M","7.46%"
"13/08/2025","56.300","56.450","57.800","55.600","562.70K","-1.57%"
"12/08/2025","57.200","56.000","58.450","55.550","2.57M","7.62%"
"11/08/2025","53.150","50.900","53.500","50.800","779.14K","4.52%"
"08/08/2025","50.850","51.550","51.550","50.450","240.19K","-1.45%"
"07/08/2025","51.600","51.500","52.300","51.300","204.92K","0.39%"
"06/08/2025","51.400","53.400","53.400","51.050","294.89K","-1.81%"
"05/08/2025","52.350","52.700","52.750","51.500","392.60K","0.19%"
"04/08/2025","52.250","51.900","52.600","51.600","293.96K","1.95%"
"01/08/2025","51.250","52.650","52.700","51.200","265.35K","-2.29%"
"31/07/2025","52.450","50.850","54.000","50.700","706.00K","2.84%"
"30/07/2025","51.000","52.150","52.200","49.700","691.04K","-1.64%"
"29/07/2025","51.850","51.650","52.500","50.250","390.13K","0.39%"
"28/07/2025","51.650","51.050","52.650","51.000","412.81K","1.18%"
"25/07/2025","51.050","50.700","51.750","50.050","287.12K","1.09%"
"24/07/2025","50.500","50.600","51.350","50.100","317.07K","0.20%"
"23/07/2025","50.400","51.500","52.200","50.400","461.99K","-1.66%"
"22/07/2025","51.250","50.650","52.050","50.000","456.80K","1.18%"
"21/07/2025","50.650","50.800","53.300","50.350","912.47K","1.91%"
"18/07/2025","49.700","48.500","49.700","47.500","446.27K","3.24%"
"17/07/2025","48.140","47.420","48.160","47.120","461.40K","1.99%"
"16/07/2025","47.200","46.680","48.420","46.080","549.32K","1.33%"
"14/07/2025","46.580","46.720","47.760","46.120","475.11K","-0.30%"
"11/07/2025","46.720","46.760","47.780","45.880","508.71K","0.26%"
"10/07/2025","46.600","46.700","47.160","45.300","444.09K","0.26%"
"09/07/2025","46.480","45.320","46.980","45.260","283.72K","2.79%"
"08/07/2025","45.220","45.620","45.980","44.760","140.68K","-0.44%"
"07/07/2025","45.420","46.000","46.000","45.020","246.51K","-1.65%"
"04/07/2025","46.180","45.800","46.760","45.320","256.56K","0.83%"
"03/07/2025","45.800","47.300","47.300","45.700","231.44K","-1.51%"
"02/07/2025","46.500","45.680","47.260","45.540","365.23K","1.80%"
"01/07/2025","45.680","45.480","46.140","45.000","213.42K","0.40%"
"30/06/2025","45.500","44.500","45.560","43.880","370.58K","3.93%"
"27/06/2025","43.780","45.000","45.000","43.700","213.75K","-1.49%"
"26/06/2025","44.440","45.140","45.480","44.440","468.33K","-1.55%"
"25/06/2025","45.140","47.000","47.060","44.660","855.37K","-3.96%"
"24/06/2025","47.000","45.200","47.000","44.920","317.33K","5.71%"
"23/06/2025","44.460","45.500","45.500","43.780","123.17K","-2.50%"
"20/06/2025","45.600","45.240","46.300","44.160","189.00K","1.24%"
"19/06/2025","45.040","44.600","46.380","44.600","278.58K","0.00%"
"18/06/2025","45.040","45.600","45.600","44.280","154.42K","-1.40%"
"17/06/2025","45.680","45.760","46.340","44.800","284.21K","-0.13%"
"16/06/2025","45.740","45.100","47.040","44.480","242.56K","1.64%"
"13/06/2025","45.000","43.540","46.900","43.540","321.36K","-6.13%"
"12/06/2025","47.940","49.500","49.500","47.520","284.27K","-3.54%"
"11/06/2025","49.700","49.900","50.450","48.500","249.11K","1.30%"
"10/06/2025","49.060","47.740","49.620","47.600","403.95K","3.94%"
"05/06/2025","47.200","47.540","47.800","46.840","212.27K","-1.05%"
"04/06/2025","47.700","47.000","47.940","46.200","446.68K","1.84%"
"03/06/2025","46.840","47.820","48.440","46.680","451.08K","-2.05%"
"02/06/2025","47.820","49.840","50.500","47.740","394.38K","-4.46%"
"30/05/2025","50.050","51.200","52.650","49.460","425.56K","-2.25%"
"29/05/2025","51.200","51.850","53.000","50.900","216.36K","-1.63%"
"28/05/2025","52.050","52.200","53.850","52.050","387.60K","-0.29%"
"27/05/2025","52.200","54.150","55.150","52.000","258.99K","-3.60%"
"26/05/2025","54.150","51.150","54.500","50.350","617.00K","6.28%"
"23/05/2025","50.950","54.050","54.250","50.100","313.90K","-5.74%"
"22/05/2025","54.050","52.050","55.950","51.650","642.67K","4.14%"
"21/05/2025","51.900","54.100","54.750","51.900","313.86K","-2.81%"
"20/05/2025","53.400","52.150","56.050","52.150","537.07K","2.40%"
"16/05/2025","52.150","54.100","54.950","51.900","377.76K","-4.31%"
"15/05/2025","54.500","52.500","55.450","52.400","474.88K","1.77%"
"14/05/2025","53.550","53.550","57.000","52.700","852.29K","0.00%"
