"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","9.110","9.230","9.230","9.020","6.80M","-0.65%"
"29/09/2025","9.170","9.240","9.310","9.120","7.74M","-0.86%"
"26/09/2025","9.250","9.530","9.540","9.150","18.41M","-3.14%"
"25/09/2025","9.550","10.010","10.100","9.420","36.10M","-4.21%"
"24/09/2025","9.970","10.220","10.270","9.930","11.23M","-1.87%"
"23/09/2025","10.160","10.020","10.200","9.950","8.79M","0.69%"
"22/09/2025","10.090","10.260","10.450","10.060","11.14M","-1.08%"
"19/09/2025","10.200","10.110","10.530","10.110","11.11M","-1.35%"
"18/09/2025","10.340","10.020","10.420","10.020","10.59M","3.50%"
"17/09/2025","9.990","10.030","10.350","9.980","7.98M","0.00%"
"16/09/2025","9.990","9.910","10.040","9.810","15.92M","0.91%"
"15/09/2025","9.900","9.350","10.150","9.270","18.43M","6.45%"
"12/09/2025","9.300","8.810","9.650","8.740","24.75M","5.68%"
"11/09/2025","8.800","9.050","9.110","8.800","7.70M","-2.65%"
"10/09/2025","9.040","9.340","9.480","8.930","17.42M","-3.11%"
"09/09/2025","9.330","9.350","9.590","9.330","7.19M","0.00%"
"08/09/2025","9.330","9.200","9.450","9.130","10.53M","-1.27%"
"05/09/2025","9.450","9.890","9.890","9.340","9.48M","-3.96%"
"04/09/2025","9.840","9.970","10.140","9.610","31.40M","-1.11%"
"03/09/2025","9.950","10.050","10.230","9.850","8.94M","-1.00%"
"02/09/2025","10.050","10.760","10.860","9.750","18.01M","-6.60%"
"01/09/2025","10.760","10.260","10.940","10.250","18.53M","4.87%"
"29/08/2025","10.260","10.510","10.600","10.200","13.82M","0.59%"
"28/08/2025","10.200","10.530","10.600","9.980","19.68M","-2.30%"
"27/08/2025","10.440","10.900","10.950","10.200","21.36M","-2.25%"
"26/08/2025","10.680","9.770","10.680","9.750","44.01M","9.99%"
"25/08/2025","9.710","9.600","9.750","9.550","10.77M","2.10%"
"22/08/2025","9.510","9.660","9.800","9.510","11.34M","0.00%"
"21/08/2025","9.510","9.400","9.620","9.270","17.17M","1.82%"
"20/08/2025","9.340","9.370","9.680","9.300","14.49M","-0.64%"
"19/08/2025","9.400","9.600","9.900","9.400","21.05M","-1.57%"
"18/08/2025","9.550","8.950","9.600","8.950","21.64M","6.82%"
"15/08/2025","8.940","8.810","9.040","8.790","7.59M","1.48%"
"14/08/2025","8.810","9.000","9.130","8.810","6.24M","-2.11%"
"13/08/2025","9.000","8.850","9.130","8.720","10.78M","1.69%"
"12/08/2025","8.850","8.920","8.960","8.780","8.06M","-0.78%"
"11/08/2025","8.920","8.870","9.090","8.730","14.19M","-3.04%"
"08/08/2025","9.200","9.440","9.470","9.200","6.26M","-2.85%"
"07/08/2025","9.470","9.770","9.950","9.430","12.96M","-0.32%"
"06/08/2025","9.500","9.560","9.670","9.450","7.94M","-0.42%"
"05/08/2025","9.540","9.680","9.780","9.420","16.82M","-1.85%"
"04/08/2025","9.720","9.260","9.850","9.240","21.86M","6.11%"
"01/08/2025","9.160","9.030","9.200","8.920","11.18M","1.55%"
"31/07/2025","9.020","8.880","9.180","8.850","17.10M","2.97%"
"30/07/2025","8.760","8.830","8.910","8.660","8.09M","-0.68%"
"29/07/2025","8.820","9.000","9.070","8.820","12.05M","1.03%"
"28/07/2025","8.730","8.900","8.990","8.690","9.36M","0.34%"
"25/07/2025","8.700","8.700","8.930","8.650","16.43M","1.16%"
"24/07/2025","8.600","8.530","8.680","8.470","10.87M","0.82%"
"23/07/2025","8.530","8.690","8.690","8.510","10.58M","-1.73%"
"22/07/2025","8.680","8.730","8.800","8.540","10.84M","-0.46%"
"21/07/2025","8.720","8.520","8.800","8.450","12.53M","2.71%"
"18/07/2025","8.490","8.270","8.530","8.130","12.32M","3.28%"
"17/07/2025","8.220","8.100","8.260","8.050","5.91M","2.62%"
"16/07/2025","8.010","8.250","8.340","7.970","9.36M","-2.79%"
"14/07/2025","8.240","8.370","8.430","8.190","4.44M","-1.32%"
"11/07/2025","8.350","8.390","8.430","8.240","4.00M","0.12%"
"10/07/2025","8.340","8.370","8.450","8.330","3.29M","0.12%"
"09/07/2025","8.330","8.300","8.430","8.270","4.70M","0.36%"
"08/07/2025","8.300","8.520","8.530","8.300","4.19M","-1.07%"
"07/07/2025","8.390","8.680","8.710","8.390","6.63M","-4.11%"
"04/07/2025","8.750","8.940","8.950","8.730","5.40M","-1.02%"
"03/07/2025","8.840","8.690","8.950","8.650","8.35M","2.55%"
"02/07/2025","8.620","8.850","8.960","8.420","8.18M","-2.49%"
"01/07/2025","8.840","8.640","9.050","8.550","11.53M","2.43%"
"30/06/2025","8.630","8.380","8.650","8.240","10.21M","3.23%"
"27/06/2025","8.360","8.290","8.600","8.090","9.55M","1.21%"
"26/06/2025","8.260","8.070","8.720","8.000","31.04M","2.48%"
"25/06/2025","8.060","8.170","8.270","8.040","7.12M","0.37%"
"24/06/2025","8.030","7.850","8.090","7.700","7.77M","5.10%"
"23/06/2025","7.640","7.690","7.740","7.510","2.33M","-1.42%"
"20/06/2025","7.750","7.700","7.750","7.620","2.31M","1.84%"
"19/06/2025","7.610","7.770","7.790","7.520","2.62M","-1.04%"
"18/06/2025","7.690","7.950","7.970","7.660","3.03M","-2.41%"
"17/06/2025","7.880","7.980","8.020","7.860","3.26M","-0.63%"
"16/06/2025","7.930","7.990","8.040","7.820","3.85M","-0.75%"
"13/06/2025","7.990","7.700","8.000","7.700","4.53M","-2.68%"
"12/06/2025","8.210","8.480","8.550","8.150","4.22M","-4.65%"
"11/06/2025","8.610","8.590","8.680","8.430","7.01M","0.23%"
"10/06/2025","8.590","8.630","8.720","8.550","6.48M","-0.12%"
"05/06/2025","8.600","8.390","8.620","8.310","3.24M","2.14%"
"04/06/2025","8.420","8.100","8.430","8.020","5.87M","4.47%"
"03/06/2025","8.060","7.850","8.120","7.850","4.28M","2.94%"
"02/06/2025","7.830","7.950","8.030","7.820","2.60M","-1.51%"
"30/05/2025","7.950","8.020","8.160","7.860","3.69M","-1.12%"
"29/05/2025","8.040","8.260","8.320","7.990","4.46M","-1.71%"
"28/05/2025","8.180","8.250","8.320","8.150","2.96M","-1.09%"
"27/05/2025","8.270","8.540","8.610","8.260","3.37M","-3.05%"
"26/05/2025","8.530","8.800","8.830","8.530","3.15M","-2.40%"
"23/05/2025","8.740","8.620","8.900","8.570","8.75M","1.27%"
"22/05/2025","8.630","8.630","8.720","8.520","4.30M","0.12%"
"21/05/2025","8.620","8.810","8.870","8.560","5.05M","-2.27%"
"20/05/2025","8.820","9.030","9.050","8.820","4.71M","-2.33%"
"16/05/2025","9.030","9.000","9.110","8.940","5.39M","0.33%"
"15/05/2025","9.000","9.160","9.250","8.940","5.00M","-1.75%"
"14/05/2025","9.160","9.460","9.520","9.120","7.09M","-3.07%"
"13/05/2025","9.450","9.660","9.770","9.400","11.00M","-1.77%"
"12/05/2025","9.620","9.690","9.690","9.460","14.67M","4.00%"
"09/05/2025","9.250","9.600","9.640","9.250","15.87M","0.65%"
"08/05/2025","9.190","9.290","9.290","9.030","18.66M","4.31%"
"07/05/2025","8.810","8.800","8.950","8.610","9.11M","-2.65%"
"06/05/2025","9.050","8.720","9.200","8.670","13.69M","4.02%"
"05/05/2025","8.700","8.840","8.950","8.560","10.17M","-1.02%"
"02/05/2025","8.790","8.140","8.830","8.140","11.94M","8.12%"
