"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","173.200","168.600","173.400","168.600","308.68K","2.79%"
"29/09/2025","168.500","170.000","172.100","167.500","289.35K","-0.88%"
"26/09/2025","170.000","175.800","175.900","170.000","238.28K","-3.30%"
"25/09/2025","175.800","179.800","181.400","174.400","357.21K","-1.79%"
"24/09/2025","179.000","177.100","179.800","174.700","483.67K","1.07%"
"23/09/2025","177.100","177.100","178.500","174.800","350.73K","-0.23%"
"22/09/2025","177.500","180.500","182.100","177.000","484.48K","-0.67%"
"19/09/2025","178.700","171.900","178.700","168.700","377.54K","4.08%"
"18/09/2025","171.700","174.200","177.200","171.500","299.18K","-1.60%"
"17/09/2025","174.500","179.200","180.200","174.000","347.26K","-2.57%"
"16/09/2025","179.100","178.100","181.300","177.300","484.81K","0.62%"
"15/09/2025","178.000","171.600","182.500","168.900","678.13K","3.49%"
"12/09/2025","172.000","170.800","172.900","168.100","707.46K","0.64%"
"11/09/2025","170.900","173.100","176.300","168.400","962.16K","2.27%"
"10/09/2025","167.100","164.100","168.100","163.000","472.51K","2.33%"
"09/09/2025","163.300","164.800","167.900","163.300","309.80K","-2.16%"
"08/09/2025","166.900","161.200","167.000","161.200","437.24K","-0.18%"
"05/09/2025","167.200","175.400","175.400","167.200","381.03K","-3.91%"
"04/09/2025","174.000","174.000","177.100","172.700","343.88K","-0.06%"
"03/09/2025","174.100","175.700","177.000","172.400","411.66K","-0.97%"
"02/09/2025","175.800","180.900","183.700","172.200","558.99K","-2.71%"
"01/09/2025","180.700","182.400","184.000","180.300","294.51K","-0.93%"
"29/08/2025","182.400","184.900","185.800","181.000","346.75K","-1.35%"
"28/08/2025","184.900","180.500","185.800","180.500","279.93K","2.55%"
"27/08/2025","180.300","188.000","191.400","179.700","649.31K","-4.10%"
"26/08/2025","188.000","183.200","194.900","179.300","748.31K","2.62%"
"25/08/2025","183.200","179.600","185.000","179.600","533.49K","2.81%"
"22/08/2025","178.200","178.400","180.000","177.000","364.03K","0.11%"
"21/08/2025","178.000","175.900","184.200","175.900","1.06M","2.48%"
"20/08/2025","173.700","170.200","174.300","169.000","390.97K","2.06%"
"19/08/2025","170.200","171.300","173.200","168.900","422.17K","-0.64%"
"18/08/2025","171.300","171.700","172.700","167.500","635.78K","1.78%"
"15/08/2025","168.300","172.000","175.400","167.000","600.28K","-1.58%"
"14/08/2025","171.000","169.800","172.500","166.500","1.14M","0.59%"
"13/08/2025","170.000","173.900","177.400","166.400","1.35M","2.10%"
"12/08/2025","166.500","173.100","175.100","166.500","528.89K","-3.76%"
"11/08/2025","173.000","171.500","177.000","169.100","500.80K","2.61%"
"08/08/2025","168.600","168.600","171.000","167.100","482.27K","0.06%"
"07/08/2025","168.500","165.100","169.200","165.100","344.06K","2.12%"
"06/08/2025","165.000","164.700","166.900","163.400","572.22K","0.24%"
"05/08/2025","164.600","167.100","169.700","163.400","672.82K","-1.50%"
"04/08/2025","167.100","160.400","169.700","160.400","627.87K","4.24%"
"01/08/2025","160.300","159.900","162.500","157.600","302.32K","0.19%"
"31/07/2025","160.000","155.600","160.000","155.600","576.74K","3.29%"
"30/07/2025","154.900","152.600","156.200","152.400","412.90K","1.51%"
"29/07/2025","152.600","152.000","155.700","150.000","414.82K","-0.07%"
"28/07/2025","152.700","154.000","155.000","152.700","233.56K","-0.84%"
"25/07/2025","154.000","155.400","159.000","153.600","624.77K","-0.90%"
"24/07/2025","155.400","153.000","157.000","153.000","801.90K","1.70%"
"23/07/2025","152.800","158.700","158.900","151.700","1.01M","-3.23%"
"22/07/2025","157.900","163.900","163.900","157.700","1.16M","-3.66%"
"21/07/2025","163.900","166.000","166.600","162.600","583.31K","-0.97%"
"18/07/2025","165.500","164.500","167.400","164.100","831.51K","0.67%"
"17/07/2025","164.400","163.700","165.400","162.300","1.08M","0.00%"
"16/07/2025","164.400","161.800","166.500","161.800","1.03M","1.61%"
"14/07/2025","161.800","158.300","163.300","157.000","460.23K","2.34%"
"11/07/2025","158.100","155.700","162.800","155.000","724.80K","2.00%"
"10/07/2025","155.000","160.700","161.200","153.500","754.43K","-2.58%"
"09/07/2025","159.100","158.500","161.100","156.700","571.57K","0.25%"
"08/07/2025","158.700","154.000","162.500","152.600","1.22M","3.19%"
"07/07/2025","153.800","154.000","155.300","150.700","586.64K","-1.41%"
"04/07/2025","156.000","159.200","160.000","156.000","285.83K","-2.01%"
"03/07/2025","159.200","158.900","163.100","156.000","635.54K","0.19%"
"02/07/2025","158.900","158.100","162.400","155.800","740.44K","0.51%"
