"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","16.72","17.15","17.24","16.61","8.11M","-2.22%"
"29/09/2025","17.10","17.35","17.46","17.04","7.83M","-1.33%"
"26/09/2025","17.33","17.67","17.79","17.24","7.62M","-1.81%"
"25/09/2025","17.65","18.00","18.09","17.59","7.17M","-1.56%"
"24/09/2025","17.93","18.21","18.30","17.87","8.19M","-1.43%"
"23/09/2025","18.19","18.72","18.72","18.12","11.05M","-2.88%"
"22/09/2025","18.73","18.90","19.20","18.58","23.37M","1.24%"
"19/09/2025","18.50","18.40","18.74","18.16","15.30M","0.71%"
"18/09/2025","18.37","18.79","18.98","18.19","16.02M","-2.18%"
"17/09/2025","18.78","19.55","19.55","18.75","21.45M","-3.94%"
"16/09/2025","19.55","17.85","19.60","17.84","40.05M","9.71%"
"15/09/2025","17.82","16.83","17.92","16.48","14.33M","5.88%"
"12/09/2025","16.83","17.25","17.44","16.62","10.97M","-2.43%"
"11/09/2025","17.25","18.15","18.17","17.25","9.74M","-4.64%"
"10/09/2025","18.09","18.31","18.67","18.04","11.12M","-0.77%"
"09/09/2025","18.23","18.50","18.66","18.08","13.73M","-0.71%"
"08/09/2025","18.36","18.18","19.29","17.80","26.25M","0.60%"
"05/09/2025","18.25","18.72","18.83","18.17","9.50M","-2.25%"
"04/09/2025","18.67","18.82","18.99","18.61","8.93M","-0.69%"
"03/09/2025","18.80","18.80","19.00","18.51","10.63M","-0.11%"
"02/09/2025","18.82","19.88","19.99","18.40","18.64M","-5.28%"
"01/09/2025","19.87","20.40","20.48","19.84","9.24M","-1.83%"
"29/08/2025","20.24","21.40","21.48","19.96","23.22M","1.10%"
"28/08/2025","20.02","20.24","20.50","19.33","20.13M","-0.10%"
"27/08/2025","20.04","19.99","21.00","19.97","25.96M","0.75%"
"26/08/2025","19.89","20.92","21.40","19.69","36.26M","-4.01%"
"25/08/2025","20.72","18.86","20.72","18.86","50.77M","9.98%"
"22/08/2025","18.84","17.96","19.69","17.77","52.96M","4.90%"
"21/08/2025","17.96","18.20","18.25","17.87","14.43M","-0.77%"
"20/08/2025","18.10","18.61","18.70","17.73","24.81M","-2.79%"
"19/08/2025","18.62","18.72","18.84","18.35","16.49M","-0.11%"
"18/08/2025","18.64","19.82","19.90","18.41","22.99M","-5.86%"
"15/08/2025","19.80","19.57","19.96","19.45","12.73M","1.18%"
"14/08/2025","19.57","19.96","20.10","19.51","17.08M","-1.95%"
"13/08/2025","19.96","20.60","21.20","19.84","21.28M","-3.11%"
"12/08/2025","20.60","21.76","21.96","20.32","15.49M","-5.33%"
"11/08/2025","21.76","21.60","22.38","21.02","23.20M","-0.55%"
"08/08/2025","21.88","22.44","22.52","21.82","12.13M","-2.50%"
"07/08/2025","22.44","23.00","23.26","22.40","14.33M","-1.41%"
"06/08/2025","22.76","23.10","23.74","21.80","36.29M","-1.81%"
"05/08/2025","23.18","24.76","26.00","23.18","82.27M","-9.95%"
"04/08/2025","25.74","28.58","28.88","25.74","72.10M","-9.94%"
"01/08/2025","28.58","30.08","31.02","28.58","21.03M","-1.38%"
"31/07/2025","28.98","25.90","28.98","25.02","10.68M","9.94%"
"30/07/2025","26.36","27.90","28.40","25.94","12.53M","-8.54%"
"29/07/2025","28.82","29.00","29.50","28.62","2.48M","-0.62%"
"28/07/2025","29.00","29.62","29.86","28.48","3.18M","-2.03%"
"25/07/2025","29.60","29.70","30.06","29.00","2.93M","-0.27%"
"24/07/2025","29.68","29.90","30.40","29.56","3.30M","-0.74%"
"23/07/2025","29.90","30.10","30.80","29.80","4.03M","-0.66%"
"22/07/2025","30.10","30.54","30.60","29.96","3.47M","-1.44%"
"21/07/2025","30.54","30.52","31.64","30.02","4.87M","0.00%"
"18/07/2025","30.54","30.20","30.92","29.68","4.15M","1.13%"
"17/07/2025","30.20","29.94","30.52","29.22","5.24M","-1.31%"
"16/07/2025","30.60","28.92","31.46","28.34","7.93M","5.81%"
"14/07/2025","28.92","28.00","29.02","27.40","3.58M","3.21%"
"11/07/2025","28.02","28.64","29.24","27.36","4.88M","-3.38%"
"10/07/2025","29.00","30.12","30.28","29.00","2.92M","-3.72%"
"09/07/2025","30.12","30.00","31.02","29.38","4.59M","-1.63%"
"08/07/2025","30.62","28.16","30.80","27.20","7.83M","8.74%"
"07/07/2025","28.16","29.00","29.28","28.12","3.24M","-4.48%"
"04/07/2025","29.48","29.50","29.92","27.16","5.93M","-0.07%"
"03/07/2025","29.50","30.44","30.48","28.92","5.40M","-2.96%"
"02/07/2025","30.40","31.28","31.48","30.30","4.94M","-3.80%"
"01/07/2025","31.60","31.62","32.52","31.00","3.78M","-0.06%"
"30/06/2025","31.62","33.00","33.40","29.14","36.13M","-1.80%"
"27/06/2025","32.20","30.88","33.96","30.86","33.11M","4.27%"
"26/06/2025","30.88","31.36","31.84","30.26","10.84M","-1.53%"
"25/06/2025","31.36","31.42","32.24","30.74","14.34M","-0.19%"
"24/06/2025","31.42","33.18","33.18","30.02","28.82M","-5.36%"
"23/06/2025","33.20","32.00","34.48","32.00","26.35M","3.75%"
"20/06/2025","32.00","35.54","36.52","32.00","22.69M","-9.96%"
"19/06/2025","35.54","37.38","37.46","35.54","20.66M","-4.92%"
"18/06/2025","37.38","40.06","40.50","36.90","42.81M","-3.01%"
"17/06/2025","38.54","35.14","38.54","34.46","40.54M","9.99%"
"16/06/2025","35.04","34.26","36.00","34.14","20.32M","2.28%"
"13/06/2025","34.26","36.36","38.10","34.10","37.55M","-5.72%"
"12/06/2025","36.34","38.24","40.60","36.34","30.67M","-4.87%"
"11/06/2025","38.20","41.42","42.00","38.14","20.87M","-6.69%"
"10/06/2025","40.94","39.66","42.14","39.66","18.93M","4.01%"
"05/06/2025","39.36","39.46","40.10","38.90","6.98M","-0.25%"
"04/06/2025","39.46","38.98","40.38","38.02","19.66M","3.03%"
"03/06/2025","38.30","35.64","38.30","35.34","22.93M","7.64%"
"02/06/2025","35.58","34.34","37.24","33.98","26.49M","4.77%"
"30/05/2025","33.96","34.32","34.80","33.20","16.41M","3.22%"
"29/05/2025","32.90","32.30","33.26","31.76","12.15M","2.05%"
"28/05/2025","32.24","33.34","34.12","32.16","7.51M","-4.67%"
"27/05/2025","33.82","33.44","34.78","31.88","15.04M","1.68%"
"26/05/2025","33.26","33.34","34.00","32.24","8.05M","-0.12%"
"23/05/2025","33.30","33.98","35.08","32.24","30.15M","0.91%"
"22/05/2025","33.00","30.00","33.00","29.60","25.85M","10.00%"
"21/05/2025","30.00","30.94","32.36","30.00","13.68M","-3.23%"
"20/05/2025","31.00","33.26","33.94","30.48","14.99M","-6.79%"
"16/05/2025","33.26","33.70","34.74","33.12","12.94M","-1.77%"
"15/05/2025","33.86","35.24","35.50","33.70","11.26M","-3.26%"
"14/05/2025","35.00","34.26","36.58","32.90","31.23M","2.22%"
"13/05/2025","34.24","32.22","36.26","31.52","31.67M","-0.87%"
"12/05/2025","34.54","38.38","38.98","34.54","20.02M","-9.96%"
"09/05/2025","38.36","40.70","41.00","36.56","18.39M","-5.56%"
"08/05/2025","40.62","40.80","41.30","39.84","12.51M","0.05%"
"07/05/2025","40.60","40.22","41.80","39.78","20.70M","1.35%"
"06/05/2025","40.06","41.10","41.60","39.62","26.56M","0.15%"
"05/05/2025","40.00","42.00","44.22","39.90","45.56M","-0.50%"
"02/05/2025","40.20","40.06","42.08","39.20","22.67M","0.45%"
"30/04/2025","40.02","42.06","45.08","38.32","64.61M","-5.48%"
"29/04/2025","42.34","40.00","42.34","39.32","30.96M","9.97%"
"28/04/2025","38.50","36.20","38.50","35.88","23.66M","10.00%"
"25/04/2025","35.00","36.06","36.20","34.98","10.52M","-2.56%"
"24/04/2025","35.92","36.00","36.50","34.66","17.33M","-0.22%"
"22/04/2025","36.00","35.90","36.50","35.52","17.91M","1.98%"
"21/04/2025","35.30","33.26","36.38","33.10","24.49M","4.38%"
"18/04/2025","33.82","36.16","36.90","33.82","31.12M","-2.37%"
"17/04/2025","34.64","31.64","34.64","31.64","14.85M","9.97%"
"16/04/2025","31.50","32.10","33.52","29.60","33.63M","-3.08%"
"15/04/2025","32.50","35.06","35.34","32.00","23.28M","-7.30%"
"14/04/2025","35.06","36.16","37.84","34.50","17.37M","-3.31%"
"11/04/2025","36.26","37.00","38.60","36.02","6.20M","-2.00%"
"10/04/2025","37.00","35.40","38.00","34.02","7.42M","5.11%"
"09/04/2025","35.20","36.48","36.48","34.40","6.94M","-3.56%"
"08/04/2025","36.50","37.72","38.14","35.84","7.90M","-3.18%"
"07/04/2025","37.70","35.50","39.50","35.50","8.22M","-0.21%"
"04/04/2025","37.78","37.08","38.86","35.24","12.43M","3.28%"
"03/04/2025","36.58","34.10","36.58","34.10","11.40M","9.98%"
"02/04/2025","33.26","30.00","33.26","27.22","9.86M","9.99%"
"28/03/2025","30.24","32.90","32.90","30.24","7.89M","-10.00%"
"27/03/2025","33.60","36.38","37.52","33.06","10.17M","-7.69%"
"26/03/2025","36.40","36.98","38.24","33.40","15.03M","2.59%"
"25/03/2025","35.48","33.58","35.48","33.10","12.43M","9.98%"
"24/03/2025","32.26","29.32","32.26","29.18","13.09M","9.95%"
"21/03/2025","29.34","29.80","30.50","27.00","13.32M","0.76%"
"20/03/2025","29.12","26.00","29.12","25.00","14.01M","9.97%"
"19/03/2025","26.48","26.12","30.70","26.02","17.77M","-6.56%"
"18/03/2025","28.34","26.00","28.34","25.94","14.43M","9.93%"
"17/03/2025","25.78","23.52","25.78","23.52","10.89M","9.98%"
"14/03/2025","23.44","22.52","24.06","22.02","7.99M","2.90%"
"13/03/2025","22.78","22.30","23.00","20.40","10.93M","2.15%"
"12/03/2025","22.30","22.56","24.14","21.46","55.84M","-1.15%"
"11/03/2025","22.56","21.02","22.56","20.88","57.86M","9.94%"
"10/03/2025","20.52","18.65","20.52","18.22","26.44M","9.91%"
"07/03/2025","18.67","19.80","20.34","17.86","59.47M","-3.11%"
"06/03/2025","19.27","18.28","19.27","18.28","35.17M","9.99%"
"05/03/2025","17.52","16.40","17.52","16.12","44.80M","9.98%"
"04/03/2025","15.93","14.71","15.93","14.47","24.29M","9.94%"
"03/03/2025","14.49","13.80","14.71","13.80","18.10M","5.54%"
"28/02/2025","13.73","13.96","14.70","13.70","24.77M","0.22%"
"27/02/2025","13.70","12.46","13.70","12.46","18.55M","9.95%"
"26/02/2025","12.46","12.38","12.88","11.90","7.68M","1.30%"
"25/02/2025","12.30","12.80","12.85","12.17","4.87M","-3.83%"
"24/02/2025","12.79","13.20","13.28","12.73","4.66M","-2.37%"
"21/02/2025","13.10","13.23","13.60","12.76","6.12M","-1.73%"
"20/02/2025","13.33","13.20","13.60","12.90","5.34M","1.76%"
"19/02/2025","13.10","13.58","13.90","13.03","7.08M","-2.96%"
"18/02/2025","13.50","13.48","13.75","13.12","5.55M","0.22%"
"17/02/2025","13.47","13.85","14.03","13.30","4.57M","-2.74%"
"14/02/2025","13.85","13.84","14.07","13.48","8.47M","0.29%"
"13/02/2025","13.81","14.36","14.64","13.41","16.70M","-2.06%"
"12/02/2025","14.10","13.90","14.22","13.55","15.96M","6.02%"
"11/02/2025","13.30","12.60","13.59","12.50","19.86M","6.66%"
"10/02/2025","12.47","12.45","12.75","12.38","4.82M","0.24%"
"07/02/2025","12.44","12.48","12.58","12.04","5.24M","1.80%"
"06/02/2025","12.22","11.73","12.50","11.62","8.64M","4.44%"
"05/02/2025","11.70","11.85","11.90","11.35","3.65M","-0.93%"
"04/02/2025","11.81","11.80","12.10","11.80","3.45M","0.08%"
"03/02/2025","11.80","12.08","12.21","11.77","3.75M","-2.24%"
"31/01/2025","12.07","12.36","12.76","11.95","5.54M","-1.95%"
"30/01/2025","12.31","12.58","12.80","12.31","4.76M","-2.15%"
"29/01/2025","12.58","12.68","13.07","12.58","6.93M","-0.79%"
"28/01/2025","12.68","13.03","13.14","12.68","4.41M","-2.69%"
"27/01/2025","13.03","13.32","13.32","12.88","4.98M","-0.91%"
"24/01/2025","13.15","13.23","13.42","13.07","7.12M","-0.60%"
"23/01/2025","13.23","13.40","13.46","13.16","4.44M","0.38%"
"22/01/2025","13.18","13.32","13.51","13.08","7.76M","-1.64%"
"21/01/2025","13.40","13.60","13.65","13.27","7.75M","-1.33%"
"20/01/2025","13.58","13.09","13.81","12.89","16.15M","3.74%"
"17/01/2025","13.09","12.55","13.60","12.51","22.24M","4.55%"
"16/01/2025","12.52","12.77","12.84","12.49","6.90M","-2.03%"
"15/01/2025","12.78","12.89","13.11","12.63","6.06M","-0.23%"
"14/01/2025","12.81","13.13","13.25","12.80","6.81M","-2.51%"
"13/01/2025","13.14","13.57","13.68","13.10","5.21M","-3.17%"
"10/01/2025","13.57","13.82","14.02","13.48","7.99M","-2.16%"
"09/01/2025","13.87","14.16","14.25","13.68","9.34M","0.43%"
"08/01/2025","13.81","13.45","14.46","13.29","38.23M","2.91%"
"07/01/2025","13.42","13.37","13.95","13.26","12.48M","0.45%"
"06/01/2025","13.36","12.97","13.49","12.94","8.93M","3.01%"
"03/01/2025","12.97","13.14","13.24","12.91","4.91M","-1.29%"
"02/01/2025","13.14","13.25","13.61","13.10","9.36M","-0.83%"
"31/12/2024","13.25","12.64","13.52","12.60","15.56M","4.00%"
"30/12/2024","12.74","12.50","13.33","12.50","14.52M","1.76%"
"27/12/2024","12.52","12.63","12.80","12.51","4.93M","-1.42%"
"26/12/2024","12.70","12.84","12.98","12.56","10.02M","-0.94%"
"25/12/2024","12.82","13.16","13.21","12.82","6.04M","-2.21%"
"24/12/2024","13.11","13.56","13.68","13.05","6.22M","-2.53%"
"23/12/2024","13.45","13.50","14.09","13.06","22.88M","0.90%"
"20/12/2024","13.33","12.71","13.65","12.43","20.32M","4.88%"
"19/12/2024","12.71","12.98","13.00","12.68","6.67M","-2.68%"
"18/12/2024","13.06","13.13","13.43","12.88","10.58M","-0.53%"
"17/12/2024","13.13","13.40","13.75","12.96","15.15M","-1.57%"
"16/12/2024","13.34","13.42","13.77","13.25","12.43M","-0.60%"
"13/12/2024","13.42","13.63","13.63","13.21","8.13M","-1.54%"
"12/12/2024","13.63","13.54","13.87","13.40","10.49M","0.66%"
"11/12/2024","13.54","13.69","14.20","13.35","19.29M","-1.38%"
"10/12/2024","13.73","14.29","14.54","13.70","23.88M","-3.99%"
"09/12/2024","14.30","14.70","14.78","14.19","31.82M","-2.32%"
"06/12/2024","14.64","14.97","15.10","14.25","28.58M","-1.74%"
"05/12/2024","14.90","15.10","15.95","14.49","36.92M","-1.32%"
"04/12/2024","15.10","16.20","17.19","14.24","73.94M","-4.49%"
"03/12/2024","15.81","15.09","15.81","15.09","12.08M","9.94%"
"02/12/2024","14.38","13.08","14.38","13.08","41.28M","9.94%"
"29/11/2024","13.08","13.80","13.99","12.90","47.98M","1.63%"
"28/11/2024","12.87","12.11","12.87","12.11","11.07M","10.00%"
"27/11/2024","11.70","10.74","11.70","10.74","7.35M","9.94%"
"26/11/2024","10.64","10.38","10.72","10.28","12.58M","2.49%"
"25/11/2024","10.38","10.40","10.66","10.16","12.73M","0.32%"
"22/11/2024","10.35","10.01","10.73","10.00","23.53M","4.12%"
"21/11/2024","9.94","10.22","10.28","9.73","14.51M","-1.88%"
"20/11/2024","10.13","10.47","10.50","10.12","7.08M","-2.69%"
"19/11/2024","10.41","10.42","10.78","10.25","18.00M","0.39%"
"18/11/2024","10.37","10.50","10.62","10.33","6.30M","-0.48%"
"15/11/2024","10.42","10.24","10.75","10.21","11.05M","2.06%"
"14/11/2024","10.21","10.50","10.58","10.18","8.35M","-1.64%"
"13/11/2024","10.38","10.33","11.04","10.33","15.79M","1.76%"
"12/11/2024","10.20","10.48","10.67","10.17","12.32M","-6.68%"
"11/11/2024","10.93","10.85","11.13","10.77","8.66M","1.20%"
"08/11/2024","10.80","10.59","10.88","10.52","10.84M","2.08%"
"07/11/2024","10.58","10.94","11.03","10.45","12.29M","-3.29%"
"06/11/2024","10.94","11.34","11.41","10.88","13.12M","-3.70%"
"05/11/2024","11.36","11.73","11.84","11.17","9.93M","-3.15%"
"04/11/2024","11.73","12.30","12.40","11.70","11.91M","-4.63%"
"01/11/2024","12.30","12.23","12.66","12.14","19.40M","0.57%"
"31/10/2024","12.23","12.33","12.45","12.17","11.33M","-0.73%"
"30/10/2024","12.32","12.34","12.57","12.26","12.68M","-0.08%"
"28/10/2024","12.33","12.33","12.80","12.28","7.55M","0.00%"
"25/10/2024","12.33","12.49","12.55","12.23","7.43M","-1.44%"
"24/10/2024","12.51","12.66","12.81","12.43","12.08M","-0.24%"
"23/10/2024","12.54","12.28","13.32","12.08","27.34M","2.03%"
"22/10/2024","12.29","12.41","12.47","12.08","8.63M","-0.49%"
"21/10/2024","12.35","12.80","12.98","12.28","9.46M","-4.11%"
"18/10/2024","12.88","12.61","13.29","12.53","21.20M","2.38%"
"17/10/2024","12.58","12.38","13.05","12.17","11.98M","1.62%"
"16/10/2024","12.38","12.58","12.74","12.16","7.59M","-1.51%"
"15/10/2024","12.57","12.58","13.31","12.33","16.98M","-0.08%"
"14/10/2024","12.58","11.89","13.08","11.85","31.18M","5.80%"
"11/10/2024","11.89","12.20","12.26","11.83","6.28M","-3.02%"
"10/10/2024","12.26","12.50","12.82","12.17","7.64M","-3.24%"
"09/10/2024","12.67","12.81","13.28","12.51","3.28M","-2.31%"
"08/10/2024","12.97","12.75","13.08","12.31","4.05M","1.09%"
"07/10/2024","12.83","13.22","13.22","12.69","4.12M","-2.95%"
"04/10/2024","13.22","13.17","13.49","12.83","5.04M","-3.01%"
"03/10/2024","13.63","13.22","14.17","12.79","8.50M","3.10%"
"02/10/2024","13.22","12.02","13.22","11.64","9.10M","9.98%"
"01/10/2024","12.02","12.04","12.28","11.50","4.01M","-3.22%"
"30/09/2024","12.42","11.91","12.67","11.34","5.41M","4.99%"
"27/09/2024","11.83","12.32","12.32","11.71","2.85M","-4.06%"
"26/09/2024","12.33","12.71","12.92","12.25","3.74M","-3.45%"
"25/09/2024","12.77","13.19","13.19","12.58","4.28M","-3.40%"
"24/09/2024","13.22","13.13","13.67","12.98","4.18M","1.46%"
"23/09/2024","13.03","13.43","13.52","12.88","3.59M","-2.98%"
"20/09/2024","13.43","13.69","13.69","13.33","3.84M","-4.00%"
"19/09/2024","13.99","14.50","14.65","13.40","6.45M","-0.71%"
"18/09/2024","14.09","12.93","14.09","12.83","7.25M","9.91%"
"17/09/2024","12.82","13.30","13.30","12.82","4.51M","-3.83%"
"16/09/2024","13.33","13.41","14.37","13.04","4.90M","-2.42%"
"13/09/2024","13.66","13.63","14.11","13.08","5.55M","-4.81%"
"12/09/2024","14.35","14.83","15.58","14.35","9.43M","-9.97%"
"11/09/2024","15.94","13.67","16.39","13.43","11.91M","6.91%"
"10/09/2024","14.91","16.39","16.39","14.91","4.36M","-9.96%"
"09/09/2024","16.56","15.42","16.56","15.42","29.14M","9.96%"
"06/09/2024","15.06","14.17","15.06","14.11","62.36M","10.01%"
"05/09/2024","13.69","13.02","13.69","12.70","37.62M","9.96%"
"04/09/2024","12.45","10.20","12.45","10.20","51.76M","9.89%"
"03/09/2024","11.33","11.33","11.33","11.33","2.62M","-9.94%"
"02/09/2024","12.58","12.58","12.58","12.58","4.07M","-10.01%"
"29/08/2024","13.98","15.48","15.48","13.98","37.55M","-9.98%"
"28/08/2024","15.53","15.92","16.98","15.53","24.70M","-9.97%"
"27/08/2024","17.25","19.08","19.13","17.25","18.80M","-10.02%"
"26/08/2024","19.17","20.17","20.57","19.17","6.13M","-4.86%"
"23/08/2024","20.15","21.23","21.72","19.63","6.99M","-4.95%"
"22/08/2024","21.20","21.33","22.13","20.82","5.92M","-0.61%"
"21/08/2024","21.33","21.90","22.12","20.90","7.29M","-2.60%"
"20/08/2024","21.90","22.50","22.57","21.90","2.43M","-2.67%"
"19/08/2024","22.50","23.32","23.33","22.50","3.51M","-1.83%"
"16/08/2024","22.92","22.33","22.97","22.12","5.74M","3.38%"
"15/08/2024","22.17","21.97","22.38","20.88","4.13M","0.91%"
"14/08/2024","21.97","22.33","22.53","21.77","3.36M","-1.48%"
"13/08/2024","22.30","22.67","22.78","22.00","3.69M","-0.09%"
"12/08/2024","22.32","22.67","23.07","22.13","5.53M","-0.80%"
"09/08/2024","22.50","23.50","23.52","22.13","7.10M","-3.56%"
"08/08/2024","23.33","24.47","24.47","23.33","5.56M","-4.97%"
"07/08/2024","24.55","24.48","25.02","23.72","8.12M","0.29%"
"06/08/2024","24.48","23.90","25.00","23.88","9.58M","2.43%"
"05/08/2024","23.90","22.17","24.27","21.47","7.80M","1.83%"
"02/08/2024","23.47","24.58","25.15","23.13","9.80M","-4.48%"
"01/08/2024","24.57","25.35","25.47","23.55","14.10M","-3.00%"
"31/07/2024","25.33","23.98","26.02","23.70","19.35M","5.98%"
"30/07/2024","23.90","23.20","24.27","23.03","7.44M","1.79%"
"29/07/2024","23.48","23.32","24.15","23.28","9.01M","1.87%"
"26/07/2024","23.05","21.98","23.10","21.70","7.71M","4.77%"
"25/07/2024","22.00","21.83","22.07","21.38","4.58M","0.78%"
"24/07/2024","21.83","21.80","21.98","21.33","4.60M","0.23%"
"23/07/2024","21.78","21.80","22.00","21.48","3.79M","1.07%"
"22/07/2024","21.55","21.75","22.28","21.05","6.22M","-1.01%"
"19/07/2024","21.77","22.15","22.25","21.47","4.70M","-1.58%"
"18/07/2024","22.12","22.92","23.03","22.00","6.16M","-3.49%"
"17/07/2024","22.92","22.58","23.57","22.55","6.96M","1.55%"
"16/07/2024","22.57","23.24","23.57","22.16","9.24M","-2.88%"
"12/07/2024","23.24","23.84","24.07","22.82","8.48M","-2.52%"
"11/07/2024","23.84","25.31","25.54","22.64","24.31M","-5.06%"
"10/07/2024","25.11","26.24","26.84","25.11","7.80M","-4.31%"
"09/07/2024","26.24","26.16","26.82","25.86","10.09M","0.88%"
"08/07/2024","26.01","25.09","26.01","24.54","8.02M","3.75%"
"05/07/2024","25.07","26.19","26.41","24.97","6.48M","-4.17%"
"04/07/2024","26.16","25.81","26.76","25.22","10.87M","1.95%"
"03/07/2024","25.66","25.21","26.82","25.21","14.38M","2.80%"
"02/07/2024","24.96","23.71","25.12","22.52","8.22M","4.13%"
"01/07/2024","23.97","24.67","25.34","22.99","7.18M","-2.64%"
"28/06/2024","24.62","23.87","24.84","23.32","8.22M","3.14%"
